cohort,unit,unit_type,genotype,stage,injury,independence,seed,group,n_cells,module,kind,n_genes,total_genes,coverage,score,interpretable,label_overlap
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.10473922362467254,True,Cldn4;Slc4a11
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.0962389918746655,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.08797221929916867,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.34461074370576633,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.30795496603350087,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2997322972684845,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.09200603318250378,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.12247054229735624,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06888909409917814,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,221,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.12648905716132608,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.08460571223280045,True,Cldn4;Slc4a11
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.0862178924493138,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.07941642730118006,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3319955818249334,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3526928821713913,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.3010022065737449,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.04264674230544537,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11812881816866502,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06633594310337364,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10841,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.11719728016656342,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.109874686716792,True,Cldn4;Slc4a11
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.10148489503328215,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.09174972314507196,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.34465201465201467,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3046613896218118,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.29913986537023185,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.08333333333333333,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.12192409958907421,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06982507288629737,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,210,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.12589893100097183,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.08418724659049023,True,Cldn4;Slc4a11
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.0858005461557059,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.07906483854653307,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.33223439848025177,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3527543042538272,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.30108161595420924,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.043402137854773315,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11791505834850438,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06655502230379805,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10852,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.11687067934435108,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.10484011447057363,True,Cldn4;Slc4a11
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.09634205241617733,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.08953213480675132,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3652421652421653,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3179513089691049,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.3298491205921305,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.08313632781717888,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11936734228558399,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06809958025763498,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,423,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.11337868480725623,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.0818591320694632,True,Cldn4;Slc4a11
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10247,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.08329109700085312,True,
