Cluster,n_cells,Proposed identity,Runner-up,Panel score,Runner-up score,DE corroboration,Supporting markers,Conflicting markers,Top data-derived genes,Confidence,Notes
0,354,AT2 (candidate),Endothelial_cap,6.654,0.791,1.5,"SFTPC, SFTPB, ABCA3, LAMP3, SLC34A2, NAPSA",,"LAMP3, SFTPC, NAPSA, NPC2, SFTPA1, PGC, SFTPD, LRRK2, ABCA3, SFTPA2",High,
1,487,Transitional (candidate),Basal,2.906,2.785,0.75,"KRT18, KRT19, KRT17, SFN","KRT5, TP63, DAPL1","KRT5, S100A2, KRT15, GAPDH, IL33, SFN, RHOC, EEF1B2, AQP3, FHL2",Moderate,co-expresses markers of more than one lineage - check for doublets
2,177,Mono_Mac (candidate),Neutrophil,6.034,5.693,0.75,"LYZ, CD68, CSF1R, ITGAM, C1QA","S100A8, S100A9, PTPRC","SRGN, S100A9, S100A8, TYROBP, FCER1G, ALOX5AP, NAMPT, LST1, LCP1, S100A4",Moderate,co-expresses markers of more than one lineage - check for doublets
3,644,Club (candidate),Pan_epithelial,3.325,1.416,0.75,"SCGB3A2, SCGB3A1, MGP",,"HLA-DRB5, CYB5A, KLK11, SCGB3A2, SFTPB, MDK, CXCL17, CP, MGST1, LY6E",High,
4,328,AT2 (candidate),B_cell,4.665,0.865,1.25,"SFTPC, SFTPB, ABCA3, LAMP3, SLC34A2, NAPSA",,"MUC1, SFTPB, HSD17B6, SLC34A2, SFTPD, CLDN18, MALL, SLPI, NAPSA, NPC2",High,
5,258,Transitional (candidate),Basal,2.148,0.935,0.5,"KRT18, KRT19, KRT17, SFN",,"SERPINF1, C1R, MGST1, BTF3, IFITM3, S100A2, KRT17, GAPDH, DUSP23, HNRNPA1",High,
6,255,Ciliated (candidate),CD4_T,2.601,0.95,0.25,"FOXJ1, TPPP3, DNAH5, CAPS",,"TMEM190, TSPAN19, CAPS, C1orf194, TSPAN1, PRDX5, ATP5IF1, C20orf85, CD59, OMG",Moderate,
7,385,Mesothelium (candidate),AT1,3.74,3.684,1.0,"MSLN, UPK3B","AGER, HOPX, CAV1","S100A10, AGER, TMSB4X, B2M, HOPX, CAV1, EMP2, S100A6, ACTB, MYL9",Moderate,co-expresses markers of more than one lineage - check for doublets
8,227,Plasma (candidate),Fibroblast,2.794,2.699,0.333,XBP1,"COL1A1, SCGB1A1, SCGB3A1","LCN2, WFDC2, BPIFB1, MDK, PRSS23, CTSC, SLPI, TSPAN8, TGM2, CYP2F1",Low,co-expresses markers of more than one lineage - check for doublets
9,416,Ciliated (candidate),Erythroid,2.177,0.305,0.5,"FOXJ1, TPPP3, CAPS",,"CAPS, FTH1, C20orf85, GSTP1, C9orf24, DYNLL1, PRDX5, CALM1, S100A11, RSPH1",High,
10,88,NK (candidate),Pan_immune,6.585,5.789,1.0,"NKG7, KLRD1, GNLY","PTPRC, CD3D, CD3E, CD3G, TRBC2","SRGN, CD69, CXCR4, CORO1A, PTPRC, BTG1, HCST, RAC2, S100A4, TXNIP",High,co-expresses markers of more than one lineage - check for doublets
11,516,Ciliated (candidate),CD4_T,4.301,2.302,1.0,"FOXJ1, TPPP3, DNAH5, CAPS",,"DNAAF1, RP1, DNAH12, CFAP70, SYNE1, TOGARAM2, DNAH11, CEP126, HYDIN, DNAH7",High,
12,1430,Ciliated (candidate),CD4_T,3.648,2.388,0.75,"FOXJ1, TPPP3, DNAH5, CAPS",,"CETN2, FABP6, IK, TPPP3, CFAP53, FAM183A, ODF3B, CCDC146, C11orf88, CFAP126",High,
13,31,Neuroendocrine (candidate),Lymphatic_EC,5.915,2.902,0.667,"ASCL1, CALCA, CHGA",,"SEC11C, PROX1, PCSK1N, SCG2, BEX1, TFF3, SCGN, CPE, BEX2, HEPACAM2",High,
14,95,Endothelial (candidate),Endothelial_cap,6.335,3.57,1.0,"PECAM1, CDH5, KDR, EMCN, CLDN5",,"PECAM1, EPAS1, SPARCL1, CLDN5, CALCRL, EGFL7, HLA-E, TMEM100, AQP1, TNFSF10",High,
15,498,Basal (candidate),Transitional,1.932,1.182,0.25,"KRT5, TP63",,"IGFBP2, KRT17, SOD3, IER3, SNHG8, S100A2, SERPINF1, EIF1, TP63, IL33",Moderate,
16,463,Club (candidate),Transitional,3.172,1.77,0.75,"SCGB1A1, SCGB3A2, SCGB3A1, MGP",,"SCGB3A2, NCOA7, SCGB1A1, STEAP4, KLF6, DUSP5, TM4SF1, PMAIP1, SOCS2, SOX4",High,
17,547,Club (candidate),AT2,4.416,0.54,1.0,"SCGB1A1, SCGB3A2, SCGB3A1, MGP",,"SCGB3A2, PIGR, SCGB1A1, MET, STEAP4, TM4SF1, C16orf89, FAM129A, KLK11, CRACR2B",High,
18,159,AT1 (candidate),Mesothelium,3.468,1.781,0.75,"AGER, PDPN, HOPX, CAV1, RTKN2",,"RTKN2, LMO7, EMP2, GPRC5A, VEGFA, COL4A3, RAB11FIP1, NTM, AGER, WWC2",High,
19,88,Mesothelium (candidate),AT1,4.566,4.364,0.5,"MSLN, UPK3B","AGER, PDPN, HOPX, CAV1, RTKN2","HOPX, PAPSS2, TMSB4X, EMP2, GGTLC1, KRT7, ANKRD29, SPOCK2, CAV1, CLDN18",Moderate,co-expresses markers of more than one lineage - check for doublets
