sample_id,sacrifice_day,sex,author_celltype,n_cells
EEM-scRNA-113,6.0,f,AT1,11
EEM-scRNA-113,6.0,f,AT1_AT2,19
EEM-scRNA-113,6.0,f,AT2,120
EEM-scRNA-113,6.0,f,Alveolar_transitional,4
EEM-scRNA-116,11.0,m,AT1,35
EEM-scRNA-116,11.0,m,AT1_AT2,4
EEM-scRNA-116,11.0,m,AT2,40
EEM-scRNA-116,11.0,m,Alveolar_transitional,23
EEM-scRNA-117,19.0,m,AT1,51
EEM-scRNA-117,19.0,m,AT1_AT2,13
EEM-scRNA-117,19.0,m,AT2,152
EEM-scRNA-117,19.0,m,Alveolar_transitional,14
EEM-scRNA-118,25.0,m,AT1,60
EEM-scRNA-118,25.0,m,AT1_AT2,18
EEM-scRNA-118,25.0,m,AT2,109
EEM-scRNA-118,25.0,m,Alveolar_transitional,4
EEM-scRNA-124,42.0,f,AT1,34
EEM-scRNA-124,42.0,f,AT1_AT2,1
EEM-scRNA-124,42.0,f,AT2,52
EEM-scRNA-124,42.0,f,Alveolar_transitional,3
EEM-scRNA-125,42.0,m,AT1,76
EEM-scRNA-125,42.0,m,AT1_AT2,15
EEM-scRNA-125,42.0,m,AT2,136
EEM-scRNA-125,42.0,m,Alveolar_transitional,2
EEM-scRNA-126,42.0,m,AT1,24
EEM-scRNA-126,42.0,m,AT1_AT2,54
EEM-scRNA-126,42.0,m,AT2,88
EEM-scRNA-126,42.0,m,Alveolar_transitional,1
EEM-scRNA-127,42.0,m,AT1,48
EEM-scRNA-127,42.0,m,AT1_AT2,7
EEM-scRNA-127,42.0,m,AT2,71
EEM-scRNA-127,42.0,m,Alveolar_transitional,4
EEM-scRNA-158,0.0,f,AT1,118
EEM-scRNA-158,0.0,f,AT1_AT2,21
EEM-scRNA-158,0.0,f,AT2,235
EEM-scRNA-158,0.0,f,Alveolar_transitional,3
EEM-scRNA-162,6.0,m,AT1,23
EEM-scRNA-162,6.0,m,AT1_AT2,16
EEM-scRNA-162,6.0,m,AT2,150
EEM-scRNA-162,6.0,m,Alveolar_transitional,11
EEM-scRNA-166,0.0,f,AT1,145
EEM-scRNA-166,0.0,f,AT1_AT2,18
EEM-scRNA-166,0.0,f,AT2,39
EEM-scRNA-166,0.0,f,Alveolar_transitional,2
EEM-scRNA-167,11.0,m,AT1,104
EEM-scRNA-167,11.0,m,AT1_AT2,8
EEM-scRNA-167,11.0,m,AT2,149
EEM-scRNA-167,11.0,m,Alveolar_transitional,127
EEM-scRNA-170,19.0,f,AT1,99
EEM-scRNA-170,19.0,f,AT1_AT2,21
EEM-scRNA-170,19.0,f,AT2,111
EEM-scRNA-170,19.0,f,Alveolar_transitional,10
EEM-scRNA-172,25.0,f,AT1,96
EEM-scRNA-172,25.0,f,AT1_AT2,40
EEM-scRNA-172,25.0,f,AT2,223
EEM-scRNA-172,25.0,f,Alveolar_transitional,8
EEM-scRNA-179,42.0,m,AT1,66
EEM-scRNA-179,42.0,m,AT1_AT2,4
EEM-scRNA-179,42.0,m,AT2,79
EEM-scRNA-180,42.0,f,AT1,43
EEM-scRNA-180,42.0,f,AT1_AT2,2
EEM-scRNA-180,42.0,f,AT2,51
EEM-scRNA-180,42.0,f,Alveolar_transitional,1
EEM-scRNA-181,42.0,f,AT1,53
EEM-scRNA-181,42.0,f,AT1_AT2,20
EEM-scRNA-181,42.0,f,AT2,88
EEM-scRNA-181,42.0,f,Alveolar_transitional,3
EEM-scRNA-182,42.0,m,AT1,91
EEM-scRNA-182,42.0,m,AT1_AT2,25
EEM-scRNA-182,42.0,m,AT2,92
EEM-scRNA-182,42.0,m,Alveolar_transitional,2
EEM-scRNA-236,90.0,m,AT1,75
EEM-scRNA-236,90.0,m,AT1_AT2,16
EEM-scRNA-236,90.0,m,AT2,114
EEM-scRNA-236,90.0,m,Alveolar_transitional,5
EEM-scRNA-237,90.0,m,AT1,46
EEM-scRNA-237,90.0,m,AT1_AT2,4
EEM-scRNA-237,90.0,m,AT2,100
EEM-scRNA-237,90.0,m,Alveolar_transitional,1
EEM-scRNA-238,90.0,m,AT1,125
EEM-scRNA-238,90.0,m,AT1_AT2,19
EEM-scRNA-238,90.0,m,AT2,221
EEM-scRNA-238,90.0,m,Alveolar_transitional,1
EEM-scRNA-239,90.0,m,AT1,64
EEM-scRNA-239,90.0,m,AT1_AT2,9
EEM-scRNA-239,90.0,m,AT2,278
EEM-scRNA-239,90.0,m,Alveolar_transitional,1
EEM-scRNA-310,366.0,m,AT1,117
EEM-scRNA-310,366.0,m,AT1_AT2,42
EEM-scRNA-310,366.0,m,AT2,252
EEM-scRNA-310,366.0,m,Alveolar_transitional,1
EEM-scRNA-311,366.0,f,AT1,100
EEM-scRNA-311,366.0,f,AT1_AT2,19
EEM-scRNA-311,366.0,f,AT2,202
EEM-scRNA-311,366.0,f,Alveolar_transitional,1
EEM-scRNA-312,366.0,f,AT1,56
EEM-scRNA-312,366.0,f,AT1_AT2,14
EEM-scRNA-312,366.0,f,AT2,147
EEM-scRNA-312,366.0,f,Alveolar_transitional,1
