cohort,unit,unit_type,genotype,stage,injury,independence_two_marker,seed,group_two_marker,n_two_marker,module,kind,n_genes_two_marker,total_genes_two_marker,coverage_two_marker,score_two_marker,interpretable_two_marker,label_overlap_two_marker,independence_reference,group_reference,n_reference,n_genes_reference,total_genes_reference,coverage_reference,score_reference,interpretable_reference,label_overlap_reference,difference,interpretable
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.4043956043956044,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10880,5,5,1.0,0.07920955882352941,True,Cldn4;Krt8,0.325186045572075,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,AT1_early_panel,paper_marker_panel,3,3,1.0,0.2948717948717949,True,,same-laboratory studies; not independent replication,reference,10880,3,3,1.0,0.28581495098039217,True,,0.00905684389140271,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,AT1_late_panel,paper_marker_panel,4,4,1.0,0.10302197802197803,True,,same-laboratory studies; not independent replication,reference,10880,4,4,1.0,0.17635569852941177,True,,-0.07333372050743374,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.35714285714285715,True,Cldn4,same-laboratory studies; not independent replication,reference,10880,3,3,1.0,0.030698529411764708,True,Cldn4,0.32644432773109244,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.007326007326007327,True,,same-laboratory studies; not independent replication,reference,10880,3,3,1.0,0.009865196078431372,True,,-0.0025391887524240453,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,AT2_common_panel,repository_marker_panel,8,8,1.0,0.6593406593406594,True,,same-laboratory studies; not independent replication,reference,10880,8,8,1.0,0.7336397058823529,True,,-0.0742990465416935,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.07692307692307693,True,,same-laboratory studies; not independent replication,reference,10880,6,6,1.0,0.04388786764705882,True,,0.03303520927601811,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.3458594976452119,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,10880,392,400,0.98,0.33131072741596634,True,Cldn4;Krt8,0.014548770229245556,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3425049309664694,True,,same-laboratory studies; not independent replication,reference,10880,390,398,0.9798994974874372,0.3320701357466063,True,,0.010434795219863069,True
GSE247130,P9_control,pooled_library,control,P9,uninjured,same-laboratory studies; not independent replication,17,two_marker,182,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.30829800121138706,True,Sftpc,same-laboratory studies; not independent replication,reference,10880,381,400,0.9525,0.3539949050486336,True,Sftpc,-0.04569690383724656,True
