cluster,epithelial_score,pan_epithelial_fraction,selected
0,-0.407,0.006,False
1,-0.752,0.004,False
2,-0.606,0.012,False
3,-0.746,0.003,False
4,0.031,0.005,False
5,-0.225,0.073,False
6,-0.198,0.034,False
7,-0.911,0.015,False
8,-0.679,0.005,False
9,-0.647,0.005,False
10,1.918,0.873,True
11,-0.373,0.438,False
12,0.292,0.006,False
13,-0.281,0.047,False
14,-0.375,0.004,False
15,-1.133,0.006,False
16,1.839,0.599,True
17,-0.125,0.209,False
18,2.61,0.932,True
19,1.944,0.819,True
20,-0.286,0.005,False
21,-0.819,0.004,False
22,0.07,0.006,False
23,0.331,0.094,False
24,-0.31,0.007,False
25,-0.532,0.003,False
26,-0.155,0.013,False
27,0.303,0.0,False
28,0.222,0.327,False
