sample_id,day,phase,subcluster,n_cells,n_subset_cells_animal,pct_of_subset
EEM-scRNA-158,0,baseline,0,0,511,0.0
EEM-scRNA-158,0,baseline,1,12,511,2.348
EEM-scRNA-158,0,baseline,10,20,511,3.914
EEM-scRNA-158,0,baseline,11,18,511,3.523
EEM-scRNA-158,0,baseline,12,6,511,1.174
EEM-scRNA-158,0,baseline,13,12,511,2.348
EEM-scRNA-158,0,baseline,14,10,511,1.957
EEM-scRNA-158,0,baseline,15,4,511,0.783
EEM-scRNA-158,0,baseline,2,111,511,21.722
EEM-scRNA-158,0,baseline,3,41,511,8.023
EEM-scRNA-158,0,baseline,4,71,511,13.894
EEM-scRNA-158,0,baseline,5,77,511,15.068
EEM-scRNA-158,0,baseline,6,51,511,9.98
EEM-scRNA-158,0,baseline,7,47,511,9.198
EEM-scRNA-158,0,baseline,8,11,511,2.153
EEM-scRNA-158,0,baseline,9,20,511,3.914
EEM-scRNA-166,0,baseline,0,0,573,0.0
EEM-scRNA-166,0,baseline,1,1,573,0.175
EEM-scRNA-166,0,baseline,10,8,573,1.396
EEM-scRNA-166,0,baseline,11,2,573,0.349
EEM-scRNA-166,0,baseline,12,10,573,1.745
EEM-scRNA-166,0,baseline,13,13,573,2.269
EEM-scRNA-166,0,baseline,14,9,573,1.571
EEM-scRNA-166,0,baseline,15,5,573,0.873
EEM-scRNA-166,0,baseline,2,37,573,6.457
EEM-scRNA-166,0,baseline,3,79,573,13.787
EEM-scRNA-166,0,baseline,4,48,573,8.377
EEM-scRNA-166,0,baseline,5,70,573,12.216
EEM-scRNA-166,0,baseline,6,238,573,41.536
EEM-scRNA-166,0,baseline,7,20,573,3.49
EEM-scRNA-166,0,baseline,8,12,573,2.094
EEM-scRNA-166,0,baseline,9,21,573,3.665
EEM-scRNA-113,6,active repair,0,94,186,50.538
EEM-scRNA-113,6,active repair,1,9,186,4.839
EEM-scRNA-113,6,active repair,10,2,186,1.075
EEM-scRNA-113,6,active repair,11,1,186,0.538
EEM-scRNA-113,6,active repair,12,1,186,0.538
EEM-scRNA-113,6,active repair,13,0,186,0.0
EEM-scRNA-113,6,active repair,14,0,186,0.0
EEM-scRNA-113,6,active repair,15,0,186,0.0
EEM-scRNA-113,6,active repair,2,8,186,4.301
EEM-scRNA-113,6,active repair,3,3,186,1.613
EEM-scRNA-113,6,active repair,4,44,186,23.656
EEM-scRNA-113,6,active repair,5,9,186,4.839
EEM-scRNA-113,6,active repair,6,5,186,2.688
EEM-scRNA-113,6,active repair,7,5,186,2.688
EEM-scRNA-113,6,active repair,8,1,186,0.538
