set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.7056589132104804,2.253540026261117,0.0,0.0,Lap3;Ly6e;Tent5a;Nmi;Psma3;Casp8;B2m;Ifi44;C1s1;Trim12c;Lgals3bp;Psmb8;Psmb9;Il15;Tap1;Rtp4;Psme1;Gbp3;Cxcl10;Eif2ak2;Cxcl11;Irf7;Ifitm3;Ifit3;Bst2;Ogfr;Adar;Oas1a;Psme2;Usp18;Gmpr;Plscr1;Parp9;Dhx58;Cd74;Parp14;Ifih1;Ifit2;Irf2;Trafd1;Uba7;Ube2l6;Irf9;Isg15;Rsad2;Pnpt1;Isg20;Mvb12a;Cnp;Slc25a28;Ddx60;Batf2;Stat2;Herc6;Oasl1;Procr;Parp12;Sp110;Tdrd7;Nub1;Trim26;Ripk2;Mov10;Samd9l;Il4ra;Ifi35;Ifitm1;Cmpk2;Mx2,92
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6680436803512,2.197283769230978,0.0,0.0,Lap3;Psmb2;Vcam1;Psma2;Ly6e;Cfb;Nmi;Psma3;Zbp1;Casp8;Stat1;Serping1;B2m;Ifi44;C1s1;Casp7;Lgals3bp;Psmb8;Psmb9;Hif1a;Il15;Tap1;Rtp4;Upp1;Psme1;Sri;Cxcl9;Gbp3;Ptpn2;Cxcl10;Eif2ak2;Cxcl11;Sod2;Ptpn6;Casp4;Irf7;Il18bp;Ifitm3;Oas2;Ifit3;Xaf1;Bst2;Ogfr;Ptgs2;Adar;Oas3;Rnf213;Ptpn1;Nup93;Psme2;Usp18;Plscr1;Pfkp;Selp;Ido1;Ifnar2;Dhx58;Cd74;Parp14;Ifih1;Ifit2;Irf2;Psmb10;Trafd1;Cd274;Ube2l6;Irf9;Isg15;Eif4e3;Btg1;Samhd1;Rsad2;Pnpt1;Irf5;Isg20;Pml;Mvp;Ciita;Cd40;H2-Aa;Fgl2;Lysmd2;Slc25a28;Ddx60;Batf2;Stat2;Herc6;Oasl1;Rbck1;Pim1;Nlrc5;Parp12;Sp110;Il6;Tdrd7;Tnfaip6;Socs1;Ccl7;Tnfaip2;Cmklr1;Trim26;Irf8;Ripk2;Icam1;Tnfsf10;Jak2;Samd9l;Il4ra;Ifi35;Cmpk2;Tapbp;Il15ra;Mthfd2;Mx2;Tnfaip3;Pnp;Gch1;Ccl5;Nampt;Vamp8;H2-DMa,171
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6084979785919925,1.9064528983966529,0.0,0.0,Il13ra1;Il2rg;Il3ra;Ltb;Bak1;Stat1;Tnfrsf1a;Cxcl9;Ptpn2;Cxcl10;Cxcl11;Tlr2;Hmox1;Csf2ra;Ptpn1;Tnf;Il17ra;Itgb3;Irf9;Il1b;Acvr1b;Il18r1;Stat2;Pim1;Il6;Socs1;Ccl7;Grb2;Il4ra;Ltbr;Il15ra;Itga4;Crlf2;Stat3;Osmr;Csf1,69
HALLMARK_ALLOGRAFT_REJECTION,0.5770140950662784,1.8800042771334298,0.0,0.0,Il2rg;Mrpl3;Ltb;Timp1;C2;Stat1;B2m;Ctss;Hif1a;Il15;Tap1;Galnt1;Capg;Cxcl9;Tap2;Bcl3;Ptpn6;Irf7;Tlr2;Ube2n;Zap70;Ly86;H2-DMb2;Ifnar2;Tnf;Eif5a;Cd74;Il27ra;Cd3g;Spi1;Psmb10;F2r;Il1b;Elf4;Cd247;Cd40;Nme1;H2-Aa;Hcls1;Il6;Socs1;Lif;Cd79a;Ccl7;Akt1;Ptprc;Bcl10;Tlr3;Irf8;Ripk2;Icam1;Jak2;Il4ra;Itgal;Tapbp;Eif3d;Il2;Ccl5;H2-DMa;Lck;Inhba;Glmn;Csf1;Srgn;Lcp2;Ube2d1;Itgb2;Ccnd2,121
HALLMARK_INFLAMMATORY_RESPONSE,0.5291856891255894,1.7164708934260322,0.0,0.0005914486384359469,Slc31a1;Cd82;Sele;Ly6e;Timp1;Nmi;Has2;Tpbg;Hif1a;Il15;Rtp4;Slc11a2;Sri;Cxcl9;Cxcl10;Eif2ak2;Cxcl11;Gabbr1;Irf7;Myc;Tlr2;Bst2;Slc31a2;Scarf1;Selenos;Rgs1;Adrm1;Itgb3;Il1b;Acvr1b;Il18r1;Cd40;Pdpn;Cybb;Mmp14;Il6;Tnfaip6;Lif;Ccl7;F3;Serpine1;Cmklr1;Tlr3;Ccr7;Ripk2;Icam1;Tnfsf10;Il4ra;Ifitm1;Mxd1;Tapbp;Il15ra;Sphk1;Sell;Gch1;Ccl5;Nampt;Lck;Axl;Inhba;Osmr;Adm;Csf1,132
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.506052694277372,1.6732917343455302,0.0,0.0009857477307265781,Acat1;Mtx2;Atp6v1d;Idh3a;Pdhx;Sdhd;Timm17a;Slc25a5;Cox5b;Cox11;Ndufs3;Casp7;Pdhb;Ndufc2;Vdac2;Ndufa9;Ndufs2;Ndufv2;Slc25a3;Cs;Ndufs4;Uqcrfs1;Etfa;Oat;Sdhb;Atp6v1g1;Timm50;Iscu;Oxa1l;Fdx1;Mrpl11;Mdh2;Tcirg1;Acadvl;Mrps30;Mrps11;Mpc1;Uqcrc1;Prdx3;Hadhb;Atp6v1h;Idh3g;Slc25a4;Fxn;Bckdha;Surf1;Ndufa8;Bax;Atp6v0c;Uqcrb;Nnt;Mrpl35;Phb2;Ndufs8;Mrps15;Mgst3;Atp6v1f;Ndufs1;Mdh1;Atp5pb;Alas1;Slc25a11;Sucla2;Cyc1;Ndufb7;Vdac1;Gpi1;Cox5a;Atp6v0b;Atp6ap1;Dlst;Suclg1;Tomm22;Etfdh;Ndufb6;Ldha;Timm8b;Decr1;Acaa2;Hadha;Grpel1;Rhot2;Cox7a2;Htra2;Ndufa5;Mrps22;Etfb;Uqcrc2;Cox8a;Cox7b;Ndufb8;Dlat;Ndufs6;Eci1;Phyh;Slc25a20;Ndufv1;Idh3b;Mfn2;Ndufa2;Uqcrq;Supv3l1;Timm9;Sdhc;Ndufa7;Cox6b1,180
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.489042816385445,1.6081560879049297,0.0,0.002534779879011201,P3h1;Rgs4;Lamc1;Tgfbi;Vcam1;Fn1;Col1a2;Timp1;Fuca1;Wnt5a;Vcan;Fstl3;Serpine2;Pcolce;Il15;Capg;Fbn1;Fgf2;Lox;Myl9;Sfrp1;Lgals1;Mmp2;Pmepa1;Cdh2;Sgcb;Plod3;Col3a1;Col5a1;Tfpi2;Itgb3;Tnc;Lrp1;Col1a1;Slc6a8;Ecm1;Mgp;Fstl1;Mmp14;Efemp2;Bgn;Tpm2;Il6;Timp3;Spp1;Slit2;Basp1;Loxl1;Acta2;Serpine1;Col16a1;Ppib;Col6a2;Pdlim4;Col5a2;Lama2;Tnfaip3;Col4a2;Gem;Col6a3;Mcm7,160
HALLMARK_COAGULATION,0.49066298026228783,1.5640789990319766,0.0,0.004435864788269603,Fn1;Timp1;C2;Cfb;Serping1;Lamp2;C1s1;Rabif;Fbn1;Anxa1;Mmp2;Adam9;Gnb2;Ctsk;Iscu;C3;Capn5;Furin;Tfpi2;Itgb3;Cpq;Lrp1;Ctsh;Csrp1;Mmp14;Timp3;F8;Sirt2;F3;Pef1;Serpine1;Lgmn;S100a1,91
HALLMARK_ANGIOGENESIS,0.547072875681202,1.5480664323594324,0.007345225603357817,0.005366848756178037,Timp1;Vcan;Pglyrp1;Slco2a1;Col3a1;Lrpap1;Lpl;Fstl1;Spp1;Col5a2;Fgfr1;Postn;Ccnd2;S100a4;App;Pdgfa,28
HALLMARK_GLYCOLYSIS,0.46172519519836047,1.5170236110522102,0.0,0.008280280938103256,Gfus;Il13ra1;Psmc4;Tgfbi;Gale;Pmm2;Vcan;Tpbg;Pkm;Srd5a3;Galk2;Gmppb;Cln6;Pgm2;Pgk1;Chpf2;Nanp;Med24;Pfkp;Aldh7a1;Sdc3;Nol3;Capn5;Glrx;Gmppa;Ecd;Col5a1;Pdk3;Tpst1;Arpp19;Eno1b;Vldlr;Mdh2;Isg20;Aurka;Ppia;Txn1;Got1;Kdelr3;Alg1;Rbck1;B4galt1;Galk1;Hk2;Cog2;Cdk1;Nsdhl;Aldoa;Mdh1;Slc25a10;Gpc4;Ndufv3;B3gnt3;Pgam1;Nt5e;Agl;Pgls;Me2;Phka2;Ldha;Sox9;Akr1a1;G6pdx;Pcx;Angptl4;B4galt2;Gpc3;Mpi;Pfkfb1;Tpi1;Ext2;Dcn;Hdlbp;Hs2st1;Mif;Qsox1;Sdhc;Agrn;Irs2;Slc25a13;Gnpda1;Hax1;Bik;Gclc;Slc16a3,161
