compartment,animal,day,phase,cells,kept,counts
myeloid,EEM-scRNA-113,6,active repair,186,True,2013357
myeloid,EEM-scRNA-116,11,active repair,253,True,2505091
myeloid,EEM-scRNA-117,19,active repair,288,True,3726593
myeloid,EEM-scRNA-118,25,active repair,209,True,2555014
myeloid,EEM-scRNA-124,42,injury resolution,143,True,1744000
myeloid,EEM-scRNA-125,42,injury resolution,217,True,1766683
myeloid,EEM-scRNA-126,42,injury resolution,263,True,2744456
myeloid,EEM-scRNA-127,42,injury resolution,215,True,3296021
myeloid,EEM-scRNA-158,0,baseline,510,True,5395643
myeloid,EEM-scRNA-162,6,active repair,589,True,4932447
myeloid,EEM-scRNA-166,0,baseline,573,True,5086446
myeloid,EEM-scRNA-167,11,active repair,671,True,6982117
myeloid,EEM-scRNA-170,19,active repair,651,True,8139041
myeloid,EEM-scRNA-172,25,active repair,437,True,5724687
myeloid,EEM-scRNA-179,42,injury resolution,724,True,9679168
myeloid,EEM-scRNA-180,42,injury resolution,685,True,9626094
myeloid,EEM-scRNA-181,42,injury resolution,516,True,6042380
myeloid,EEM-scRNA-182,42,injury resolution,663,True,8198238
myeloid,EEM-scRNA-236,90,injury resolution,218,True,3351668
myeloid,EEM-scRNA-237,90,injury resolution,422,True,4892054
myeloid,EEM-scRNA-238,90,injury resolution,279,True,3337659
myeloid,EEM-scRNA-239,90,injury resolution,569,True,5185282
myeloid,EEM-scRNA-310,366,long-term,240,True,2622431
myeloid,EEM-scRNA-311,366,long-term,235,True,2329261
myeloid,EEM-scRNA-312,366,long-term,228,True,3436441
capillary,EEM-scRNA-113,6,active repair,1058,True,6861123
capillary,EEM-scRNA-116,11,active repair,1641,True,15134220
capillary,EEM-scRNA-117,19,active repair,1769,True,17588351
capillary,EEM-scRNA-118,25,active repair,1595,True,14375857
capillary,EEM-scRNA-124,42,injury resolution,1539,True,15985054
capillary,EEM-scRNA-125,42,injury resolution,1565,True,10098299
capillary,EEM-scRNA-126,42,injury resolution,1758,True,12096688
capillary,EEM-scRNA-127,42,injury resolution,2417,True,20659399
capillary,EEM-scRNA-158,0,baseline,1464,True,9252205
capillary,EEM-scRNA-162,6,active repair,2308,True,11404733
capillary,EEM-scRNA-166,0,baseline,1981,True,10852629
capillary,EEM-scRNA-167,11,active repair,1657,True,10140870
capillary,EEM-scRNA-170,19,active repair,1518,True,13704872
capillary,EEM-scRNA-172,25,active repair,1287,True,10201566
capillary,EEM-scRNA-179,42,injury resolution,2173,True,14670556
capillary,EEM-scRNA-180,42,injury resolution,2516,True,17851533
capillary,EEM-scRNA-181,42,injury resolution,2277,True,14070665
capillary,EEM-scRNA-182,42,injury resolution,1794,True,13473349
capillary,EEM-scRNA-236,90,injury resolution,1366,True,10873153
capillary,EEM-scRNA-237,90,injury resolution,1869,True,10477553
capillary,EEM-scRNA-238,90,injury resolution,1744,True,11697874
capillary,EEM-scRNA-239,90,injury resolution,2119,True,12431160
capillary,EEM-scRNA-310,366,long-term,1626,True,9378071
capillary,EEM-scRNA-311,366,long-term,1399,True,8347744
capillary,EEM-scRNA-312,366,long-term,919,True,7396524
