well,cell_set,pair,role,p_a,p_b,observed_both,expected,ratio,null_mean,null_sd,null_pairs,percentile,z,clears
wildtype_PBS,AT2,Axin2|Il1r1,primary,0.0767,0.0952,0.0084,0.0073,1.1438,1.0438,0.2426,268,0.7351,0.412,False
wildtype_PBS,AT2,WNT_MODULE|Il1r1,"primary, module form",0.2872,0.0952,0.0275,0.0273,1.0056,1.0438,0.2426,268,0.4776,-0.157,False
wildtype_PBS,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.0489,0.0675,0.0043,0.0033,1.318,1.0438,0.2426,268,0.8993,1.13,False
wildtype_PBS,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.1712,0.0983,0.0167,0.0168,0.9925,1.0438,0.2426,268,0.4366,-0.211,False
wildtype_SeV,AT2,Axin2|Il1r1,primary,0.0607,0.0994,0.0061,0.006,1.0059,1.0195,0.2582,246,0.4797,-0.053,False
wildtype_SeV,AT2,WNT_MODULE|Il1r1,"primary, module form",0.2409,0.0994,0.0236,0.0239,0.9862,1.0195,0.2582,246,0.4472,-0.129,False
wildtype_SeV,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.0362,0.07,0.0025,0.0025,0.9767,1.0195,0.2582,246,0.435,-0.166,False
wildtype_SeV,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.1556,0.0981,0.0187,0.0153,1.2231,1.0195,0.2582,246,0.8171,0.788,False
AP1mut_PBS,AT2,Axin2|Il1r1,primary,0.0766,0.1122,0.0079,0.0086,0.914,1.0325,0.1438,228,0.1798,-0.824,False
AP1mut_PBS,AT2,WNT_MODULE|Il1r1,"primary, module form",0.336,0.1122,0.0345,0.0377,0.9145,1.0325,0.1438,228,0.1842,-0.821,False
AP1mut_PBS,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.0552,0.0864,0.0052,0.0048,1.0857,1.0325,0.1438,228,0.6974,0.37,False
AP1mut_PBS,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.2061,0.1476,0.0339,0.0304,1.1152,1.0325,0.1438,228,0.7719,0.575,False
AP1mut_SeV,AT2,Axin2|Il1r1,primary,0.0857,0.1216,0.0116,0.0104,1.1099,1.0318,0.1779,245,0.7265,0.439,False
AP1mut_SeV,AT2,WNT_MODULE|Il1r1,"primary, module form",0.3492,0.1216,0.0451,0.0425,1.063,1.0318,0.1779,245,0.6082,0.176,False
AP1mut_SeV,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.062,0.0916,0.0058,0.0057,1.0278,1.0318,0.1779,245,0.4939,-0.023,False
AP1mut_SeV,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.2299,0.1569,0.0378,0.0361,1.0477,1.0318,0.1779,245,0.5592,0.09,False
7wk_control,AT2,Axin2|Il1r1,primary,0.1478,0.1918,0.0274,0.0283,0.9675,1.0203,0.1002,295,0.2441,-0.527,False
7wk_control,AT2,WNT_MODULE|Il1r1,"primary, module form",0.5475,0.1918,0.1117,0.105,1.0643,1.0203,0.1002,295,0.722,0.439,False
7wk_control,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.1271,0.2021,0.0283,0.0257,1.101,1.0203,0.1002,295,0.8339,0.806,False
7wk_control,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.3597,0.2466,0.0923,0.0887,1.0401,1.0203,0.1002,295,0.6,0.197,False
7wk_Cebpa_mutant,AT2,Axin2|Il1r1,primary,0.1473,0.1745,0.0237,0.0257,0.9207,1.0374,0.0876,294,0.068,-1.333,False
7wk_Cebpa_mutant,AT2,WNT_MODULE|Il1r1,"primary, module form",0.52,0.1745,0.092,0.0907,1.0141,1.0374,0.0876,294,0.4048,-0.266,False
7wk_Cebpa_mutant,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.1173,0.1798,0.0263,0.0211,1.2486,1.0374,0.0876,294,0.983,2.41,False
7wk_Cebpa_mutant,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.3216,0.1991,0.069,0.064,1.0768,1.0374,0.0876,294,0.6973,0.449,False
SeV_control,AT2,Axin2|Il1r1,primary,0.1294,0.2071,0.0246,0.0268,0.9173,1.0314,0.1131,273,0.1026,-1.009,False
SeV_control,AT2,WNT_MODULE|Il1r1,"primary, module form",0.4969,0.2071,0.1061,0.1029,1.0311,1.0314,0.1131,273,0.5348,-0.002,False
SeV_control,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.1267,0.1707,0.0241,0.0216,1.1149,1.0314,0.1131,273,0.8535,0.739,False
SeV_control,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.3555,0.2465,0.0982,0.0876,1.1206,1.0314,0.1131,273,0.8571,0.789,False
SeV_Cebpa_mutant,AT2,Axin2|Il1r1,primary,0.1807,0.2811,0.0488,0.0508,0.9595,1.0253,0.0937,298,0.1779,-0.702,False
SeV_Cebpa_mutant,AT2,WNT_MODULE|Il1r1,"primary, module form",0.6215,0.2811,0.1788,0.1747,1.0236,1.0253,0.0937,298,0.5503,-0.018,False
SeV_Cebpa_mutant,AT2,Krt8|Krt18,"control, physical (24 kb apart)",0.1752,0.2414,0.0513,0.0423,1.2136,1.0253,0.0937,298,0.9732,2.01,False
SeV_Cebpa_mutant,AT2,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.4647,0.28,0.134,0.1301,1.0301,1.0253,0.0937,298,0.5906,0.051,False
SeV_Cebpa_mutant,transitional,Axin2|Il1r1,primary,0.3001,0.5304,0.1669,0.1592,1.0483,1.0131,0.0919,299,0.6823,0.383,False
SeV_Cebpa_mutant,transitional,WNT_MODULE|Il1r1,"primary, module form",0.8318,0.5304,0.4541,0.4412,1.0292,1.0131,0.0919,299,0.5786,0.175,False
SeV_Cebpa_mutant,transitional,Krt8|Krt18,"control, physical (24 kb apart)",0.3338,0.5175,0.1979,0.1727,1.146,1.0131,0.0919,299,0.9365,1.447,False
SeV_Cebpa_mutant,transitional,Etv5|Abca3,"control, biological (AT2 identity, different chromosomes)",0.6675,0.4243,0.2794,0.2832,0.9865,1.0131,0.0919,299,0.3344,-0.289,False
