well,arm,gene,distal_peaks,atac_delta,rna_delta
wildtype_SeV,AT2_identity,Etv5,31,0.0005040322580645161,-0.22724141074104648
wildtype_SeV,AT2_identity,Abca3,11,-0.007457386363636364,-0.18227825804580916
wildtype_SeV,AT2_identity,Cebpa,3,0.009114583333333334,-0.08371082030628188
wildtype_SeV,AT2_identity,Lamp3,18,-0.00043402777777777775,-0.15956216835172693
wildtype_SeV,AT2_identity,Sftpb,13,-0.00030048076923076925,-0.11046215190272501
wildtype_SeV,AT2_identity,Slc34a2,12,0.0048828125,-0.2713039894842626
wildtype_SeV,AT2_identity,Lyz2,4,-0.0048828125,-0.0691957353640148
wildtype_SeV,AT2_identity,Napsa,7,-0.017299107142857144,-0.27218632997037184
wildtype_SeV,AT2_identity,Pon1,30,-0.004036458333333334,2.617994856827892e-05
wildtype_SeV,transitional,Ndrg1,10,0.01484375,0.059651226711337005
wildtype_SeV,transitional,Sprr1a,1,0.0,0.08911360678989155
wildtype_SeV,transitional,AW112010,6,-0.005208333333333333,0.0560225047080182
wildtype_SeV,transitional,Sfn,7,0.03571428571428571,0.2421085654421285
wildtype_SeV,transitional,Krt19,13,0.002403846153846154,0.3420579971446236
wildtype_SeV,transitional,Lgals3,13,0.010516826923076924,0.2318476238586441
wildtype_SeV,AT1,Ager,1,0.0078125,-0.14924587718978832
wildtype_SeV,AT1,Hopx,4,-0.0048828125,0.18949041231861086
wildtype_SeV,AT1,Pdpn,13,0.0033052884615384615,0.039524670982156174
wildtype_SeV,AT1,Cav1,5,0.00390625,-0.034732485051560805
wildtype_SeV,AT1,Akap5,4,0.005859375,0.04224584717875632
7wk_Cebpa_mutant,AT2_identity,Etv5,30,-0.0011160714285714285,-0.10944531828887649
7wk_Cebpa_mutant,AT2_identity,Abca3,10,-0.00625,-0.10768688415948124
7wk_Cebpa_mutant,AT2_identity,Lamp3,18,-0.001736111111111111,-0.043307275558819525
7wk_Cebpa_mutant,AT2_identity,Sftpb,10,-0.0031249999999999993,-0.0013417612208462826
7wk_Cebpa_mutant,AT2_identity,Slc34a2,10,-0.0008928571428571426,-0.007740637377151138
7wk_Cebpa_mutant,AT2_identity,Lyz2,3,0.0,-0.05305426606494468
7wk_Cebpa_mutant,AT2_identity,Napsa,6,-0.005208333333333333,-0.07777486076592122
7wk_Cebpa_mutant,AT2_identity,Pon1,27,0.0018187830687830685,-0.0012048397704021545
7wk_Cebpa_mutant,transitional,Ndrg1,7,0.003826530612244898,0.022691659741599937
7wk_Cebpa_mutant,transitional,Sprr1a,1,0.0,0.019479520188829744
7wk_Cebpa_mutant,transitional,AW112010,4,-0.0005580357142857149,0.020259685891720718
7wk_Cebpa_mutant,transitional,Sfn,5,0.006696428571428577,0.057596846449752055
7wk_Cebpa_mutant,transitional,Krt19,13,0.0037774725274725275,0.08906038601401599
7wk_Cebpa_mutant,transitional,Lgals3,8,0.0005580357142857149,0.11015092756741006
7wk_Cebpa_mutant,AT1,Ager,1,0.02232142857142857,-0.009767119405597824
7wk_Cebpa_mutant,AT1,Hopx,3,-0.002232142857142857,0.06102149103187074
7wk_Cebpa_mutant,AT1,Pdpn,13,0.0015453296703296703,-0.010917987558072814
7wk_Cebpa_mutant,AT1,Cav1,4,-0.0016741071428571428,0.027858875698643676
7wk_Cebpa_mutant,AT1,Akap5,4,0.01060267857142857,0.039509683827376046
SeV_Cebpa_mutant,AT2_identity,Etv5,43,0.0019440406976744182,-0.23905573329864704
SeV_Cebpa_mutant,AT2_identity,Abca3,11,-0.006463068181818182,-0.21188014278013534
SeV_Cebpa_mutant,AT2_identity,Lamp3,19,-0.0010279605263157892,-0.11472847999251101
SeV_Cebpa_mutant,AT2_identity,Sftpb,13,0.0036658653846153846,-0.017099366684988127
SeV_Cebpa_mutant,AT2_identity,Slc34a2,18,-0.00043402777777777835,-0.18872442102610976
SeV_Cebpa_mutant,AT2_identity,Lyz2,5,0.0010937499999999997,-0.06473241304988296
SeV_Cebpa_mutant,AT2_identity,Napsa,6,-0.02005208333333333,-0.16668798518966743
SeV_Cebpa_mutant,AT2_identity,Pon1,37,0.0015202702702702704,-0.0021974955394631537
SeV_Cebpa_mutant,transitional,Ndrg1,14,0.010937500000000001,0.039374197312283546
SeV_Cebpa_mutant,transitional,Sprr1a,2,0.009765625,0.09523160998559893
SeV_Cebpa_mutant,transitional,AW112010,6,0.0006510416666666668,0.007002547919414195
SeV_Cebpa_mutant,transitional,Sfn,7,0.0002232142857142832,0.2270730668000647
SeV_Cebpa_mutant,transitional,Krt19,13,0.0037259615384615387,0.16538098198807039
SeV_Cebpa_mutant,transitional,Lgals3,14,0.005580357142857142,0.1463566981144559
SeV_Cebpa_mutant,AT1,Ager,1,-0.005468750000000001,-0.017514541525571192
SeV_Cebpa_mutant,AT1,Hopx,4,0.0029296875,0.06074767115569005
SeV_Cebpa_mutant,AT1,Pdpn,14,-0.0025111607142857145,-0.028176865577023022
SeV_Cebpa_mutant,AT1,Cav1,10,-0.0022656250000000003,-0.02263482875118515
SeV_Cebpa_mutant,AT1,Akap5,5,-0.002499999999999996,0.033543728764022174
