library,marker_set,n_genes,n_absent,absent
PBS_AT2_Tomato,DATP,5,0,
PBS_AT2_Tomato,DATP_negative_condition,3,0,
PBS_AT2_Tomato,primed_AT2_loss_of_identity,3,0,
PBS_AT2_Tomato,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
PBS_AT2_Tomato,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
PBS_AT2_Tomato,DATP_programmes_from_gene_ontology.hypoxia,2,0,
PBS_AT2_Tomato,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
PBS_AT2_Tomato,glycolysis_downstream_of_HIF1alpha,3,0,
PBS_AT2_Tomato,responder_subset_marker,1,0,
PBS_AT2_nonTomato,DATP,5,0,
PBS_AT2_nonTomato,DATP_negative_condition,3,0,
PBS_AT2_nonTomato,primed_AT2_loss_of_identity,3,0,
PBS_AT2_nonTomato,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
PBS_AT2_nonTomato,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
PBS_AT2_nonTomato,DATP_programmes_from_gene_ontology.hypoxia,2,0,
PBS_AT2_nonTomato,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
PBS_AT2_nonTomato,glycolysis_downstream_of_HIF1alpha,3,0,
PBS_AT2_nonTomato,responder_subset_marker,1,0,
Day14_AT2_Tomato,DATP,5,0,
Day14_AT2_Tomato,DATP_negative_condition,3,0,
Day14_AT2_Tomato,primed_AT2_loss_of_identity,3,0,
Day14_AT2_Tomato,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
Day14_AT2_Tomato,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
Day14_AT2_Tomato,DATP_programmes_from_gene_ontology.hypoxia,2,0,
Day14_AT2_Tomato,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
Day14_AT2_Tomato,glycolysis_downstream_of_HIF1alpha,3,0,
Day14_AT2_Tomato,responder_subset_marker,1,0,
Day14_AT2_nonTomato,DATP,5,0,
Day14_AT2_nonTomato,DATP_negative_condition,3,0,
Day14_AT2_nonTomato,primed_AT2_loss_of_identity,3,0,
Day14_AT2_nonTomato,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
Day14_AT2_nonTomato,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
Day14_AT2_nonTomato,DATP_programmes_from_gene_ontology.hypoxia,2,0,
Day14_AT2_nonTomato,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
Day14_AT2_nonTomato,glycolysis_downstream_of_HIF1alpha,3,0,
Day14_AT2_nonTomato,responder_subset_marker,1,0,
Day28_AT2_Tomato,DATP,5,0,
Day28_AT2_Tomato,DATP_negative_condition,3,0,
Day28_AT2_Tomato,primed_AT2_loss_of_identity,3,0,
Day28_AT2_Tomato,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
Day28_AT2_Tomato,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
Day28_AT2_Tomato,DATP_programmes_from_gene_ontology.hypoxia,2,0,
Day28_AT2_Tomato,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
Day28_AT2_Tomato,glycolysis_downstream_of_HIF1alpha,3,0,
Day28_AT2_Tomato,responder_subset_marker,1,0,
Day28_AT2_nonTomato,DATP,5,0,
Day28_AT2_nonTomato,DATP_negative_condition,3,0,
Day28_AT2_nonTomato,primed_AT2_loss_of_identity,3,0,
Day28_AT2_nonTomato,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
Day28_AT2_nonTomato,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
Day28_AT2_nonTomato,DATP_programmes_from_gene_ontology.hypoxia,2,0,
Day28_AT2_nonTomato,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
Day28_AT2_nonTomato,glycolysis_downstream_of_HIF1alpha,3,0,
Day28_AT2_nonTomato,responder_subset_marker,1,0,
Control_Organoids,DATP,5,0,
Control_Organoids,DATP_negative_condition,3,0,
Control_Organoids,primed_AT2_loss_of_identity,3,0,
Control_Organoids,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
Control_Organoids,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
Control_Organoids,DATP_programmes_from_gene_ontology.hypoxia,2,0,
Control_Organoids,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
Control_Organoids,glycolysis_downstream_of_HIF1alpha,3,0,
Control_Organoids,responder_subset_marker,1,0,
Il1b_Organoids,DATP,5,0,
Il1b_Organoids,DATP_negative_condition,3,0,
Il1b_Organoids,primed_AT2_loss_of_identity,3,0,
Il1b_Organoids,DATP_programmes_from_gene_ontology.p53_signalling,4,0,
Il1b_Organoids,DATP_programmes_from_gene_ontology.proliferation_arrest,2,0,
Il1b_Organoids,DATP_programmes_from_gene_ontology.hypoxia,2,0,
Il1b_Organoids,DATP_programmes_from_gene_ontology.interferon_gamma_response,4,0,
Il1b_Organoids,glycolysis_downstream_of_HIF1alpha,3,0,
Il1b_Organoids,responder_subset_marker,1,0,
