subset,floor,day,cell_type,animals_present,animals_eligible
all_genotypes,20,0.0,AF1,2,2
all_genotypes,20,0.0,AF2,2,2
all_genotypes,20,0.0,AT1,2,2
all_genotypes,20,0.0,AT1_AT2,2,1
all_genotypes,20,0.0,AT2,2,2
all_genotypes,20,0.0,Adventitial_fibroblast,2,2
all_genotypes,20,0.0,Peribronchial_fibroblast,2,2
all_genotypes,20,6.0,AF1,2,2
all_genotypes,20,6.0,AF2,2,2
all_genotypes,20,6.0,AT1,2,1
all_genotypes,20,6.0,AT1_AT2,2,0
all_genotypes,20,6.0,AT2,2,2
all_genotypes,20,6.0,Adventitial_fibroblast,2,2
all_genotypes,20,6.0,Peribronchial_fibroblast,2,2
all_genotypes,20,11.0,AF1,2,2
all_genotypes,20,11.0,AF2,2,2
all_genotypes,20,11.0,AT1,2,2
all_genotypes,20,11.0,AT1_AT2,2,0
all_genotypes,20,11.0,AT2,2,2
all_genotypes,20,11.0,Adventitial_fibroblast,2,2
all_genotypes,20,11.0,Peribronchial_fibroblast,2,2
all_genotypes,20,19.0,AF1,2,2
all_genotypes,20,19.0,AF2,2,2
all_genotypes,20,19.0,AT1,2,2
all_genotypes,20,19.0,AT1_AT2,2,1
all_genotypes,20,19.0,AT2,2,2
all_genotypes,20,19.0,Adventitial_fibroblast,2,2
all_genotypes,20,19.0,Peribronchial_fibroblast,2,2
all_genotypes,20,25.0,AF1,2,2
all_genotypes,20,25.0,AF2,2,2
all_genotypes,20,25.0,AT1,2,2
all_genotypes,20,25.0,AT1_AT2,2,1
all_genotypes,20,25.0,AT2,2,2
all_genotypes,20,25.0,Adventitial_fibroblast,2,2
all_genotypes,20,25.0,Peribronchial_fibroblast,2,2
all_genotypes,20,42.0,AF1,8,8
all_genotypes,20,42.0,AF2,8,8
all_genotypes,20,42.0,AT1,8,8
all_genotypes,20,42.0,AT1_AT2,8,3
all_genotypes,20,42.0,AT2,8,8
all_genotypes,20,42.0,Adventitial_fibroblast,8,8
all_genotypes,20,42.0,Peribronchial_fibroblast,8,8
all_genotypes,20,90.0,AF1,4,4
all_genotypes,20,90.0,AF2,4,4
all_genotypes,20,90.0,AT1,4,4
all_genotypes,20,90.0,AT1_AT2,4,0
all_genotypes,20,90.0,AT2,4,4
all_genotypes,20,90.0,Adventitial_fibroblast,4,4
all_genotypes,20,90.0,Peribronchial_fibroblast,4,3
all_genotypes,20,366.0,AF1,3,3
all_genotypes,20,366.0,AF2,3,3
all_genotypes,20,366.0,AT1,3,3
all_genotypes,20,366.0,AT1_AT2,3,1
all_genotypes,20,366.0,AT2,3,3
all_genotypes,20,366.0,Adventitial_fibroblast,3,3
all_genotypes,20,366.0,Peribronchial_fibroblast,3,1
all_genotypes,50,0.0,AF1,2,2
all_genotypes,50,0.0,AF2,2,2
all_genotypes,50,0.0,AT1,2,2
all_genotypes,50,0.0,AT1_AT2,2,0
all_genotypes,50,0.0,AT2,2,1
all_genotypes,50,0.0,Adventitial_fibroblast,2,2
all_genotypes,50,0.0,Peribronchial_fibroblast,2,1
all_genotypes,50,6.0,AF1,2,2
all_genotypes,50,6.0,AF2,2,2
all_genotypes,50,6.0,AT1,2,0
all_genotypes,50,6.0,AT1_AT2,2,0
all_genotypes,50,6.0,AT2,2,2
all_genotypes,50,6.0,Adventitial_fibroblast,2,2
all_genotypes,50,6.0,Peribronchial_fibroblast,2,0
all_genotypes,50,11.0,AF1,2,2
all_genotypes,50,11.0,AF2,2,2
all_genotypes,50,11.0,AT1,2,1
all_genotypes,50,11.0,AT1_AT2,2,0
all_genotypes,50,11.0,AT2,2,1
all_genotypes,50,11.0,Adventitial_fibroblast,2,2
all_genotypes,50,11.0,Peribronchial_fibroblast,2,2
all_genotypes,50,19.0,AF1,2,2
all_genotypes,50,19.0,AF2,2,1
all_genotypes,50,19.0,AT1,2,2
all_genotypes,50,19.0,AT1_AT2,2,0
all_genotypes,50,19.0,AT2,2,2
all_genotypes,50,19.0,Adventitial_fibroblast,2,2
all_genotypes,50,19.0,Peribronchial_fibroblast,2,1
all_genotypes,50,25.0,AF1,2,2
all_genotypes,50,25.0,AF2,2,2
all_genotypes,50,25.0,AT1,2,2
all_genotypes,50,25.0,AT1_AT2,2,0
all_genotypes,50,25.0,AT2,2,2
all_genotypes,50,25.0,Adventitial_fibroblast,2,2
all_genotypes,50,25.0,Peribronchial_fibroblast,2,1
all_genotypes,50,42.0,AF1,8,8
all_genotypes,50,42.0,AF2,8,5
all_genotypes,50,42.0,AT1,8,4
all_genotypes,50,42.0,AT1_AT2,8,1
all_genotypes,50,42.0,AT2,8,8
all_genotypes,50,42.0,Adventitial_fibroblast,8,8
all_genotypes,50,42.0,Peribronchial_fibroblast,8,2
all_genotypes,50,90.0,AF1,4,4
all_genotypes,50,90.0,AF2,4,4
all_genotypes,50,90.0,AT1,4,3
all_genotypes,50,90.0,AT1_AT2,4,0
all_genotypes,50,90.0,AT2,4,4
all_genotypes,50,90.0,Adventitial_fibroblast,4,4
all_genotypes,50,90.0,Peribronchial_fibroblast,4,2
all_genotypes,50,366.0,AF1,3,3
all_genotypes,50,366.0,AF2,3,3
all_genotypes,50,366.0,AT1,3,3
all_genotypes,50,366.0,AT1_AT2,3,0
all_genotypes,50,366.0,AT2,3,3
all_genotypes,50,366.0,Adventitial_fibroblast,3,3
all_genotypes,50,366.0,Peribronchial_fibroblast,3,0
all_genotypes,100,0.0,AF1,2,2
all_genotypes,100,0.0,AF2,2,2
all_genotypes,100,0.0,AT1,2,2
all_genotypes,100,0.0,AT1_AT2,2,0
all_genotypes,100,0.0,AT2,2,1
all_genotypes,100,0.0,Adventitial_fibroblast,2,2
all_genotypes,100,0.0,Peribronchial_fibroblast,2,0
all_genotypes,100,6.0,AF1,2,2
all_genotypes,100,6.0,AF2,2,2
all_genotypes,100,6.0,AT1,2,0
all_genotypes,100,6.0,AT1_AT2,2,0
all_genotypes,100,6.0,AT2,2,2
all_genotypes,100,6.0,Adventitial_fibroblast,2,1
all_genotypes,100,6.0,Peribronchial_fibroblast,2,0
all_genotypes,100,11.0,AF1,2,2
all_genotypes,100,11.0,AF2,2,0
all_genotypes,100,11.0,AT1,2,1
all_genotypes,100,11.0,AT1_AT2,2,0
all_genotypes,100,11.0,AT2,2,1
all_genotypes,100,11.0,Adventitial_fibroblast,2,2
all_genotypes,100,11.0,Peribronchial_fibroblast,2,0
all_genotypes,100,19.0,AF1,2,2
all_genotypes,100,19.0,AF2,2,0
all_genotypes,100,19.0,AT1,2,0
all_genotypes,100,19.0,AT1_AT2,2,0
all_genotypes,100,19.0,AT2,2,2
all_genotypes,100,19.0,Adventitial_fibroblast,2,2
all_genotypes,100,19.0,Peribronchial_fibroblast,2,0
all_genotypes,100,25.0,AF1,2,2
all_genotypes,100,25.0,AF2,2,1
all_genotypes,100,25.0,AT1,2,0
all_genotypes,100,25.0,AT1_AT2,2,0
all_genotypes,100,25.0,AT2,2,2
all_genotypes,100,25.0,Adventitial_fibroblast,2,2
all_genotypes,100,25.0,Peribronchial_fibroblast,2,0
all_genotypes,100,42.0,AF1,8,8
all_genotypes,100,42.0,AF2,8,0
all_genotypes,100,42.0,AT1,8,0
all_genotypes,100,42.0,AT1_AT2,8,0
all_genotypes,100,42.0,AT2,8,1
all_genotypes,100,42.0,Adventitial_fibroblast,8,8
all_genotypes,100,42.0,Peribronchial_fibroblast,8,0
all_genotypes,100,90.0,AF1,4,4
all_genotypes,100,90.0,AF2,4,3
all_genotypes,100,90.0,AT1,4,1
all_genotypes,100,90.0,AT1_AT2,4,0
all_genotypes,100,90.0,AT2,4,4
all_genotypes,100,90.0,Adventitial_fibroblast,4,4
all_genotypes,100,90.0,Peribronchial_fibroblast,4,1
all_genotypes,100,366.0,AF1,3,3
all_genotypes,100,366.0,AF2,3,1
all_genotypes,100,366.0,AT1,3,2
all_genotypes,100,366.0,AT1_AT2,3,0
all_genotypes,100,366.0,AT2,3,3
all_genotypes,100,366.0,Adventitial_fibroblast,3,3
all_genotypes,100,366.0,Peribronchial_fibroblast,3,0
heterozygous_only,20,0.0,AF1,2,2
heterozygous_only,20,0.0,AF2,2,2
heterozygous_only,20,0.0,AT1,2,2
heterozygous_only,20,0.0,AT1_AT2,2,1
heterozygous_only,20,0.0,AT2,2,2
heterozygous_only,20,0.0,Adventitial_fibroblast,2,2
heterozygous_only,20,0.0,Peribronchial_fibroblast,2,2
heterozygous_only,20,6.0,AF1,1,1
heterozygous_only,20,6.0,AF2,1,1
heterozygous_only,20,6.0,AT1,1,1
heterozygous_only,20,6.0,AT1_AT2,1,0
heterozygous_only,20,6.0,AT2,1,1
heterozygous_only,20,6.0,Adventitial_fibroblast,1,1
heterozygous_only,20,6.0,Peribronchial_fibroblast,1,1
heterozygous_only,20,11.0,AF1,1,1
heterozygous_only,20,11.0,AF2,1,1
heterozygous_only,20,11.0,AT1,1,1
heterozygous_only,20,11.0,AT1_AT2,1,0
heterozygous_only,20,11.0,AT2,1,1
heterozygous_only,20,11.0,Adventitial_fibroblast,1,1
heterozygous_only,20,11.0,Peribronchial_fibroblast,1,1
heterozygous_only,20,19.0,AF1,2,2
heterozygous_only,20,19.0,AF2,2,2
heterozygous_only,20,19.0,AT1,2,2
