cell_type,day,gene,mean_log2_cpm,animals,mean_detection_1000
AF1,0.0,Axin2,5.956675489939942,2,0.06193069669406706
AF1,0.0,Lef1,0.5267792616830724,2,0.0004248223361886529
AF1,0.0,Porcn,4.136185036855948,2,0.01637812108612368
AF1,0.0,Wls,6.288938332038978,2,0.069618429968717
AF1,0.0,Wnt2,6.892443246515914,2,0.11767841424018707
AF1,0.0,Wnt2b,0.12332083683895224,2,5.199203316038896e-05
AF1,0.0,Wnt4,4.686351897072562,2,0.026906887241317092
AF1,0.0,Wnt5a,5.372265042280306,2,0.034307196682871785
AF1,0.0,Wnt7b,0.0,2,0.0
AF1,0.0,Wnt9a,3.0209740732237194,2,0.006248464868773101
AF1,6.0,Axin2,5.404543144417696,2,0.04834925227977739
AF1,6.0,Lef1,0.5760679156670815,2,0.0004180507724669331
AF1,6.0,Porcn,4.747900829352968,2,0.021282154881999922
AF1,6.0,Wls,5.863598755856997,2,0.046464199422455
AF1,6.0,Wnt2,5.814631952646227,2,0.0532435837578118
AF1,6.0,Wnt2b,0.20304449889888918,2,0.00014311704340494701
AF1,6.0,Wnt4,4.582065138844974,2,0.029206063036983282
AF1,6.0,Wnt5a,4.965895371379187,2,0.023274017203888095
AF1,6.0,Wnt7b,0.0,2,0.0
AF1,6.0,Wnt9a,2.726883207492566,2,0.006242008597433751
AF1,11.0,Axin2,5.095167249903589,2,0.03903119371324732
AF1,11.0,Lef1,1.9056611695545738,2,0.00238119868317075
AF1,11.0,Porcn,4.534172004154211,2,0.02216152278177652
AF1,11.0,Wls,6.67958396369686,2,0.08658333459130235
AF1,11.0,Wnt2,6.287899903866734,2,0.09300226350793682
AF1,11.0,Wnt2b,0.1829833952245864,2,0.00015379887543642403
AF1,11.0,Wnt4,4.557955886310715,2,0.026396712207852596
AF1,11.0,Wnt5a,6.141573134986572,2,0.06353968534089341
AF1,11.0,Wnt7b,0.22919360809556605,2,0.00017512915786422576
AF1,11.0,Wnt9a,2.9481433169631184,2,0.00810929603505368
AF1,19.0,Axin2,5.754998122837536,2,0.052808686193641305
AF1,19.0,Lef1,1.574622552167217,2,0.002290293641590191
AF1,19.0,Porcn,4.194075513300675,2,0.018446848945518776
AF1,19.0,Wls,6.898097173803547,2,0.10882509253209474
AF1,19.0,Wnt2,6.014293345752346,2,0.06546965486276732
AF1,19.0,Wnt2b,0.0,2,0.0
AF1,19.0,Wnt4,4.745437508455364,2,0.02645258316861258
AF1,19.0,Wnt5a,6.743921577827502,2,0.09602782273133575
AF1,19.0,Wnt7b,0.14078741349828008,2,9.490407461375846e-05
AF1,19.0,Wnt9a,2.8864877783950647,2,0.006277652576101338
AF1,25.0,Axin2,5.63318356401088,2,0.049148687227988125
AF1,25.0,Lef1,0.6219928582949831,2,0.0006428184288287673
AF1,25.0,Porcn,4.096278421247859,2,0.015688294335750634
AF1,25.0,Wls,6.930727032925552,2,0.10543937143843429
AF1,25.0,Wnt2,5.830263003569591,2,0.05719374344717996
AF1,25.0,Wnt2b,0.29267171751719856,2,0.00030364055769333464
AF1,25.0,Wnt4,4.718380852491193,2,0.026748625398453088
AF1,25.0,Wnt5a,6.819747904010763,2,0.10381243196669564
AF1,25.0,Wnt7b,0.0,2,0.0
AF1,25.0,Wnt9a,3.3290975135884198,2,0.009161416652519747
AF1,42.0,Axin2,5.979647959739143,8,0.062451998339367494
AF1,42.0,Lef1,0.7559595841758253,8,0.000875445937737145
AF1,42.0,Porcn,3.95120977303111,8,0.014594478096648846
AF1,42.0,Wls,6.686819971042197,8,0.09116976528152028
AF1,42.0,Wnt2,5.73651219827557,8,0.05346614293934378
AF1,42.0,Wnt2b,0.21545274342842194,8,0.00015927523184213903
AF1,42.0,Wnt4,4.7233517452142895,8,0.0264253177968468
AF1,42.0,Wnt5a,5.894007711506447,8,0.05487324132807355
AF1,42.0,Wnt7b,0.08665957325967272,8,6.932323251370822e-05
AF1,42.0,Wnt9a,3.139745973846002,8,0.007746376182246488
AF1,90.0,Axin2,5.704178866446712,4,0.05202556738459313
AF1,90.0,Lef1,0.3277459986277478,4,0.0003139688873791084
AF1,90.0,Porcn,4.039913310421229,4,0.015248827762230821
AF1,90.0,Wls,6.613135276033324,4,0.08695245998776989
AF1,90.0,Wnt2,5.606567901431545,4,0.04771730380840035
