accession,Col1a2,Pdgfra,Wnt1,Wnt2,Wnt2b,Wnt3,Wnt3a,Wnt4,Wnt5a,Wnt5b,Wnt6,Wnt7a,Wnt7b,Wnt8a,Wnt8b,Wnt9a,Wnt9b,Wnt10a,Wnt10b,Wnt11,Wnt16,Axin2,Ppia,Actb,Ubc,Mgp,Col1a1,Gapdh,Porcn,Wls,Epcam,Pecam1,Ptprc,Sftpc,Ager
GSM2943007,247.151,23.258,0,0,7.98455,0,0,0,266.128,0,0,0,0,0,0,0,0,0,0,0,0,0,288.774,2149.43,599.403,3953.17,71.746,41.3146,0,136.37,0,0,0,5.27331,0
GSM2943008,196.032,0,0,0,0,0,0,0,56.7678,0,0,0,0,0,0,0,0,0,0,0,0,0,190.347,1921.91,1008.06,3502.27,54.4,5.27121,0,60.5323,0,0,0,4.68681,0
GSM2943009,88.253,0,0,0,68.5862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41766,0,15.6281,205.659,1857.34,100.23,3291.36,9.34993,63.8197,0,57.6517,0,0,0,22.8855,0
GSM2943010,142.356,29.3739,0,0,0,0,0,0,3.29113,0.935067,0,0,0,0,0,0,0,0,0,0,0,0,265.142,1467.27,354.474,4760.6,66.8469,11.3323,0,51.328,0,0,0,17.788,0
GSM2943011,40.8908,0.922052,0,0,0,0,0,0,0,0.990744,0,0,0,0,0,0.171688,0,0,0,7.25491,0,0,747.799,4257.53,556.893,3986.91,91.1161,57.6041,0,365.756,0,0,0,45.9059,0
GSM2943012,199.738,3.95449,0,0,7.32103,0,0,0,0,3.23083,0,0,0,0,0,0,0,0,0,0,0,0,451.097,3620.82,170.049,2492.5,9.88323,33.0833,0,271.667,0,0,0,12.0798,0
GSM2943013,58.2685,13.4669,0,0,0,0,0,0.0111609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238918,217.019,1960.81,230.672,12510.8,74.5745,18.3595,0,79.5136,0,0,0,8.42609,0
GSM2943014,192.267,13.7772,0,0,0,0,0,0,20.9114,0,0,0,0,0,0,0,0,0,0,0,0,0,141.585,1419.01,108.132,6960.4,30.0903,35.5983,0,2.56712,0,0,0,13.1857,0
GSM2943015,263.847,48.6267,0,0,0,0,0,0,71.4727,0,0,0,0,0,0,3.75691,0,0,0,0.82457,0,0,339.042,4677.86,262.598,6132.45,68.1044,13.2832,0,61.9983,0,0,0,125.054,0
GSM2943016,427.516,30.1811,0,0,0,0,0,0,30.7446,0,0,0,0,0,0,11.7374,0,0,0,0,0,1.0741,104.395,3330.9,1231.96,3041.01,143.358,12.8124,0,187.246,0,0,0,2.84869,0
GSM2943017,39.4084,207.743,0,0,0,0,0,0,7.54219,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0456,2504.42,178.406,1768,6.25783,6.23139,0,0.748445,0,0,0,12.6509,0
GSM2943018,335.989,0,0,0,1.04684,0,0,0,92.1941,0,1.91117,0,0,0,0,0,0,0,0,0,0,0,115.033,3297.62,566.893,941.623,110.606,0.882567,0,3.20873,0,0,0,6.24533,0
GSM2943019,649.528,25.7758,0,0,4.61598,0,0,0,1.83617,0,0,0,0,0,0,0,0,0,0,0,0,0,360.717,4009.15,859.063,6680.72,40.8245,8.21113,0,3.14387,0,0,0,59.5981,0
GSM2943020,380.376,27.8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.898,2930.67,611.017,7236.26,78.7005,4.61386,0,0,0,0,0,9.75535,0
GSM2943021,155.445,12.3024,0,0.628486,0,0,0,4.1284,7.62603,0,0,0,0.943632,0,0,0,0,0,0,2.54958,0,0,103.394,880.069,242.567,1146.11,10.4947,48.4838,245.077,185.407,15.2034,0,0,11.2811,0
GSM2943022,549.93,24.7517,0,0,0,0,0,0,119.854,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4867,1348.75,932.364,7239.28,229.947,16.3421,0,0.814054,0,0,0,5.25048,0
GSM2943023,72.6046,134.819,0,0,1.81969,0,0,0,22.5905,0,0,0,0,0,0,0,0,0,0,0,0,0,296.013,3067.54,184.158,9251.61,72.8096,1.1582,0.371703,0,0,0,0,19.9775,0
GSM2943024,165.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.678,1529.22,1107.12,928.679,7.52771,23.0955,0,234.847,0,0,0,4.78982,0
GSM2943025,117.096,8.4442,0,0,0,0,0,0,0.672789,0,0,0,0,0,0,0,0,0,0,0,0,0,125.369,2019.83,224.048,2568.16,39.8956,25.6902,0,140.062,0,0,0,4.87106,0
GSM2943026,23.5521,0,0,0,0.473978,0,0,0,0.15087,0,0,0,0,0,0,0,0,0,0,0,0,0,304.226,2353.66,68.5544,3634.02,5.6758,14.3256,0,44.891,0,0,0,11.0003,0
GSM2943027,128.95,4.66169,0,0,7.19035,0,0,0,3.10646,0,0.246809,0,0,0,0,0.88124,0,0,0,0.886576,0,0,221.11,1799.32,1000.15,3566,29.5874,5.66143,0.277778,19.8371,41.127,0,0,8.71794,0
GSM2943028,67.4956,2.96801,0,12.1409,0,0,0,0,0.383442,0,0,0,0.213621,0,0,0.434917,0,0,0,0,0,0,267.8,1801.85,380.294,8502.05,83.2424,11.6343,0,6.5629,0,0,0,25.0174,0
GSM2943029,128.045,1.92832,0,46.2828,47.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26078,294.376,2769.4,227.529,3878.77,37.2284,47.9097,0,59.4626,0,0,0,35.2245,0
GSM2943030,115.435,0.285417,0,0,0,0,0,0,2.57702,0,0,0,0,0,0,0,0,0,0,0,0,0,127.964,3058.17,189.126,6502.19,36.7553,6.38435,0,85.5038,0,0,0,22.3756,0
GSM2943031,611.684,61.9353,0,0,0,0,0,0,0,0,0,0,0.197978,0,0,0,0,0,0,1.46039,0,0,188.463,1242.92,76.2813,15410.6,438.793,12.6565,0,143.891,0,0,0,109.136,0
GSM2943032,424.445,0.806862,0,0,0,0,0,0,0.145602,0,0,0,0,0,0,0.165033,0,0,0,0,0,0,340.425,4143.1,162.686,16125,99.6426,35.5951,0.311432,0.621635,0,0,0,18.4976,0
GSM2943033,368.873,0.365942,0,0,0,0,0,0,6.11187,0,0,0,0,0,0,0,0,0,0,0,0,0,354.72,3459.6,792.235,185.018,52.5596,49.4515,0,11.5248,0,0,0,6.03123,0
GSM2943034,585.312,4.6704,0,0,0,0,0,0,8.29318,0.969671,0,0,0,0,0,0,0,0,102.03,2.83934,0,0,200.384,2278.81,854.395,9149.29,196.793,75.7506,0,24.4853,0,0,0,20.0759,0
