subcluster,n_cells,n_labelled,labelled_fraction,top_label,purity,label_entropy,entropy_flag,n_samples,max_sample_fraction,dominant_sample
0,780,562,0.721,iMON,0.842,0.658,HIGH,12,0.75,EEM-scRNA-162
1,1279,976,0.763,cMON,0.963,0.185,low,33,0.205,EEM-scRNA-166
2,939,724,0.771,pMON,0.968,0.181,low,33,0.092,EEM-scRNA-158
3,98,41,0.418,iMAC,0.512,1.411,HIGH,26,0.082,EEM-scRNA-311
4,573,374,0.653,cDC2,0.864,0.549,low,33,0.106,EEM-scRNA-250
5,235,159,0.677,cDC1,0.887,0.439,low,32,0.089,EEM-scRNA-167
6,523,430,0.822,iMON,0.888,0.38,low,32,0.476,EEM-scRNA-167
7,1050,742,0.707,iMAC,0.95,0.215,low,33,0.072,EEM-scRNA-180
8,451,326,0.723,cDC1,0.954,0.241,low,33,0.1,EEM-scRNA-250
9,126,94,0.746,maDC,0.936,0.278,low,32,0.135,EEM-scRNA-162
10,147,98,0.667,cDC2,0.276,1.878,HIGH,30,0.102,EEM-scRNA-170
11,164,129,0.787,iMAC,0.256,1.776,HIGH,30,0.091,EEM-scRNA-180
12,97,82,0.845,cDC2,0.988,0.066,low,29,0.113,EEM-scRNA-162
