sub_r0.5,AF1,CAP1,Neutrophil,Plasma_cell,T_lymphocyte,Venous_endothelium,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,0,0,1,0,0,0,0,8,16,43,16,473,5,0
1,0,0,1,0,0,0,0,0,1,940,0,7,0,27
10,0,0,1,0,8,0,0,17,27,6,7,7,2,23
11,0,1,0,0,1,1,0,26,10,23,33,7,0,27
12,0,0,1,0,0,0,0,0,81,0,0,0,0,0
2,1,0,0,1,0,0,0,1,2,15,2,1,0,701
3,0,0,0,0,0,0,0,10,2,2,21,2,1,3
4,0,0,0,0,0,0,0,9,323,4,1,33,3,1
5,0,0,0,0,0,0,0,141,14,1,1,2,0,0
6,0,0,0,0,0,0,0,0,2,1,45,382,0,0
7,0,0,0,0,0,0,0,2,0,1,705,34,0,0
8,0,0,1,0,0,0,2,311,6,0,0,0,6,0
9,0,0,0,0,0,0,0,2,4,0,0,0,88,0
