accession,library,panel,gene,detected_in_fraction_of_cells,gene_absent_from_reference
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar fibroblast (Fig. 1d),Pdgfra,0.5789,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar fibroblast (Fig. 1d),Col13a1,0.4242,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar fibroblast (Fig. 1d),Tcf21,0.5944,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar fibroblast (Fig. 1d),Npnt,0.6598,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar fibroblast (Fig. 1d),Scube2,0.3529,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,adventitial fibroblast (Fig. 1d),Col14a1,0.3549,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,adventitial fibroblast (Fig. 1d),Pi16,0.1493,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,adventitial fibroblast (Fig. 1d),Dcn,0.4556,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.1145,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0426,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.22,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0303,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.489,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.1709,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.0062,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0068,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.2025,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.3699,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar macrophage (Fig. 1h),Itgax,0.003,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar macrophage (Fig. 1h),Siglecf,0.0008,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar macrophage (Fig. 1h),Pparg,0.0587,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar macrophage (Fig. 1h),Mertk,0.2073,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,alveolar macrophage (Fig. 1h),Car4,0.0085,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed AM (Fig. 1h),Msr1,0.0008,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed AM (Fig. 1h),Cdh1,0.007,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed AM (Fig. 1h),Ch25h,0.027,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed AM (Fig. 1h),Ear6,0.0,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed AM (Fig. 1h),Fstl1,0.75,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,reprogrammed AM (Fig. 1h),Cxcl2,0.023,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,monocyte/IM (Fig. 1h),Itgam,0.0026,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,monocyte/IM (Fig. 1h),Ly6c2,0.0016,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,monocyte/IM (Fig. 1h),Ccr2,0.0006,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,monocyte/IM (Fig. 1h),Cx3cr1,0.0974,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,monocyte/IM (Fig. 1h),Mmp19,0.1125,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.1145,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0838,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,EGF axis (ED Fig. 5f-h),Areg,0.0075,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,EGF axis (ED Fig. 5f-h),Ereg,0.0109,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,EGF axis (ED Fig. 5f-h),Hbegf,0.0375,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,EGF axis (ED Fig. 5f-h),Tgfa,0.0222,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,EGF axis (ED Fig. 5f-h),Egfr,0.3596,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.1694,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.4384,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.0249,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Sftpc,0.0213,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Etv5,0.0336,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Lamp3,0.0012,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Cd177,0.0011,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Cldn4,0.0016,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Itga2,0.0339,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Ndrg1,0.1678,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Sox9,0.025,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Mki67,0.0047,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Ager,0.0042,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,mutant epithelial states (Fig. 4l),Hopx,0.1184,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,compartment,Epcam,0.0075,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,compartment,Ptprc,0.0089,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,compartment,Col1a1,0.8146,False
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,compartment,Pecam1,0.1029,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar fibroblast (Fig. 1d),Pdgfra,0.415,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar fibroblast (Fig. 1d),Col13a1,0.2129,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar fibroblast (Fig. 1d),Tcf21,0.3867,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar fibroblast (Fig. 1d),Npnt,0.4167,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar fibroblast (Fig. 1d),Scube2,0.1309,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,adventitial fibroblast (Fig. 1d),Col14a1,0.33,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,adventitial fibroblast (Fig. 1d),Pi16,0.143,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,adventitial fibroblast (Fig. 1d),Dcn,0.4905,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.1998,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.1237,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.3895,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.1112,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.5266,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.2038,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.0764,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0694,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.2765,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.4368,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar macrophage (Fig. 1h),Itgax,0.043,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar macrophage (Fig. 1h),Siglecf,0.0206,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar macrophage (Fig. 1h),Pparg,0.0685,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar macrophage (Fig. 1h),Mertk,0.1405,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,alveolar macrophage (Fig. 1h),Car4,0.0645,False
