cluster,n_cells,n_double_positive,fraction_of_cluster,fraction_of_all_double_positive,enrichment_over_library,mean_score_pathological
4,196,159,0.8112,0.4195,5.888,1.6707
9,256,80,0.3125,0.2111,2.268,0.8177
7,281,86,0.306,0.2269,2.221,0.866
10,126,11,0.0873,0.029,0.634,0.4306
0,407,24,0.059,0.0633,0.428,0.4335
1,262,8,0.0305,0.0211,0.222,0.6437
2,231,5,0.0216,0.0132,0.157,0.408
3,226,3,0.0133,0.0079,0.096,0.1773
6,531,3,0.0056,0.0079,0.041,0.3805
5,69,0,0.0,0.0,0.0,-0.0989
8,166,0,0.0,0.0,0.0,0.9857
