pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
APP to CD74,26,3.0,APP,CD74,1,cellphonedb
MDK to LRP1,26,3.0,MDK,LRP1,2,cellphonedb
FGFR2 to CD44,26,5.0,FGFR2,CD44,3,cellphonedb
AREG to EGFR,26,7.5,AREG,EGFR,4,cellphonedb
FGFR2 to FGFR1,26,7.5,FGFR2,FGFR1,5,cellphonedb
COPA to CD74,26,8.0,COPA,CD74,6,cellphonedb
COL4A2 to ITGA1_ITGB1,25,9.0,COL4A2,ITGA1_ITGB1,7,cellphonedb
GAS6 to AXL,26,12.0,GAS6,AXL,8,cellphonedb
FN1 to ITGAV_ITGB1,26,13.0,FN1,ITGAV_ITGB1,9,cellphonedb
FN1 to ITGA8_ITGB1,23,14.0,FN1,ITGA8_ITGB1,10,cellphonedb
GRN to EGFR,26,14.5,GRN,EGFR,11,cellphonedb
COL6A2 to ITGA1_ITGB1,21,15.0,COL6A2,ITGA1_ITGB1,12,cellphonedb
TGFB2 to TGFBR3,26,16.5,TGFB2,TGFBR3,13,cellphonedb
TGFB1 to TGFBR3,26,19.0,TGFB1,TGFBR3,14,cellphonedb
COL8A1 to ITGA1_ITGB1,26,19.0,COL8A1,ITGA1_ITGB1,15,cellphonedb
FAM3C to HLA-C,26,19.5,FAM3C,HLA-C,16,cellphonedb
VEGFA to NRP1,25,22.0,VEGFA,NRP1,17,cellphonedb
GRN to TNFRSF1A,26,23.0,GRN,TNFRSF1A,18,cellphonedb
COL4A1 to ITGA1_ITGB1,25,24.0,COL4A1,ITGA1_ITGB1,19,cellphonedb
COL1A2 to ITGA1_ITGB1,19,26.0,COL1A2,ITGA1_ITGB1,20,cellphonedb
COL21A1 to ITGA1_ITGB1,26,26.0,COL21A1,ITGA1_ITGB1,21,cellphonedb
HBEGF to CD44,26,26.0,HBEGF,CD44,22,cellphonedb
PROS1 to AXL,26,26.5,PROS1,AXL,23,cellphonedb
TGFB1 to EGFR,26,28.0,TGFB1,EGFR,24,cellphonedb
TNC to ITGA8_ITGB1,23,29.0,TNC,ITGA8_ITGB1,25,cellphonedb
COL1A1 to ITGA1_ITGB1,24,33.0,COL1A1,ITGA1_ITGB1,26,cellphonedb
COL4A5 to ITGA1_ITGB1,26,35.0,COL4A5,ITGA1_ITGB1,27,cellphonedb
FN1 to ITGA5_ITGB1,24,36.0,FN1,ITGA5_ITGB1,28,cellphonedb
SPP1 to CD44,19,38.0,SPP1,CD44,29,cellphonedb
FAM3C to LAMP1,26,38.0,FAM3C,LAMP1,30,cellphonedb
COL6A1 to ITGA1_ITGB1,20,38.0,COL6A1,ITGA1_ITGB1,31,cellphonedb
JAG1 to NOTCH2,26,39.0,JAG1,NOTCH2,32,cellphonedb
LGALS9 to CD44,23,40.0,LGALS9,CD44,33,cellphonedb
SEMA3A to NRP1,26,41.0,SEMA3A,NRP1,34,cellphonedb
COL5A2 to ITGA1_ITGB1,23,41.0,COL5A2,ITGA1_ITGB1,35,cellphonedb
COL28A1 to ITGA1_ITGB1,26,41.0,COL28A1,ITGA1_ITGB1,36,cellphonedb
JAG1 to CD46,26,42.0,JAG1,CD46,37,cellphonedb
COL18A1 to ITGA1_ITGB1,24,42.0,COL18A1,ITGA1_ITGB1,38,cellphonedb
COL4A4 to ITGA1_ITGB1,23,43.0,COL4A4,ITGA1_ITGB1,39,cellphonedb
COL3A1 to ITGA1_ITGB1,20,44.0,COL3A1,ITGA1_ITGB1,40,cellphonedb
LGALS9 to LRP1,23,45.0,LGALS9,LRP1,41,cellphonedb
COL4A3 to ITGA1_ITGB1,25,48.0,COL4A3,ITGA1_ITGB1,42,cellphonedb
NRG1 to HLA-DPB1,26,48.5,NRG1,HLA-DPB1,43,cellphonedb
COL12A1 to ITGA1_ITGB1,26,51.5,COL12A1,ITGA1_ITGB1,44,cellphonedb
TNFSF10 to TNFRSF10B,26,57.5,TNFSF10,TNFRSF10B,45,cellphonedb
NRG1 to ERBB4,21,59.0,NRG1,ERBB4,46,cellphonedb
TNC to ITGA9_ITGB1,26,61.0,TNC,ITGA9_ITGB1,47,cellphonedb
LGALS9 to MRC2,23,61.0,LGALS9,MRC2,48,cellphonedb
COL5A1 to ITGA1_ITGB1,18,62.0,COL5A1,ITGA1_ITGB1,49,cellphonedb
DLL1 to NOTCH2,25,62.0,DLL1,NOTCH2,50,cellphonedb
FGFR2 to XPR1,26,68.0,FGFR2,XPR1,51,cellphonedb
COL14A1 to ITGA1_ITGB1,21,69.0,COL14A1,ITGA1_ITGB1,52,cellphonedb
VEGFB to NRP1,25,69.0,VEGFB,NRP1,53,cellphonedb
SEMA3C to NRP2,21,69.0,SEMA3C,NRP2,54,cellphonedb
COL17A1 to ITGA1_ITGB1,22,69.5,COL17A1,ITGA1_ITGB1,55,cellphonedb
SEMA3A to NRP1_PLXNA2,25,70.0,SEMA3A,NRP1_PLXNA2,56,cellphonedb
