pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
TIMP1 to CD63,26,1.5,TIMP1,CD63,1,italk
FGF14 to FGFR1,26,5.5,FGF14,FGFR1,2,italk
HSP90AA1 to EGFR,26,5.5,HSP90AA1,EGFR,3,italk
VIM to CD44,26,6.5,VIM,CD44,4,italk
CALM1 to CACNA1C,26,8.5,CALM1,CACNA1C,5,italk
CALM1 to EGFR,26,14.0,CALM1,EGFR,6,italk
SLIT3 to ROBO2,22,15.0,SLIT3,ROBO2,7,italk
ANXA1 to EGFR,26,15.0,ANXA1,EGFR,8,italk
UBA52 to EGFR,26,15.0,UBA52,EGFR,9,italk
C3 to LRP1,26,16.5,C3,LRP1,10,italk
CDH1 to EGFR,26,16.5,CDH1,EGFR,11,italk
MMP7 to CD44,24,16.5,MMP7,CD44,12,italk
UBA52 to TGFBR2,26,16.5,UBA52,TGFBR2,13,italk
PKM to CD44,26,16.5,PKM,CD44,14,italk
A2M to LRP1,18,17.0,A2M,LRP1,15,italk
APP to LRP1,26,17.5,APP,LRP1,16,italk
PSAP to LRP1,26,19.5,PSAP,LRP1,17,italk
HLA-A to APLP2,26,20.0,HLA-A,APLP2,18,italk
FN1 to CD44,26,21.0,FN1,CD44,19,italk
CNTN4 to PTPRG,26,21.5,CNTN4,PTPRG,20,italk
CALM1 to ABCA1,26,27.5,CALM1,ABCA1,21,italk
CALM1 to MYLK,24,29.5,CALM1,MYLK,22,italk
CDH1 to IGF1R,26,30.0,CDH1,IGF1R,23,italk
APP to CD74,26,31.0,APP,CD74,24,italk
SERPING1 to LRP1,26,31.5,SERPING1,LRP1,25,italk
CDH1 to PTPRM,26,32.5,CDH1,PTPRM,26,italk
SERPINA1 to LRP1,26,33.0,SERPINA1,LRP1,27,italk
HSP90B1 to LRP1,26,34.0,HSP90B1,LRP1,28,italk
MDK to LRP1,26,34.5,MDK,LRP1,29,italk
APOE to LRP1,26,36.0,APOE,LRP1,30,italk
C3 to CD81,26,37.0,C3,CD81,31,italk
COL1A2 to CD44,19,38.0,COL1A2,CD44,32,italk
RIMS1 to CACNA1C,25,44.0,RIMS1,CACNA1C,33,italk
FN1 to ITGA8,23,46.0,FN1,ITGA8,34,italk
SLIT2 to ROBO2,26,47.5,SLIT2,ROBO2,35,italk
CXCL8 to SDC2,26,49.5,CXCL8,SDC2,36,italk
COL1A1 to CD44,24,51.0,COL1A1,CD44,37,italk
HLA-B to CANX,26,51.5,HLA-B,CANX,38,italk
ANOS1 to FGFR1,26,53.0,ANOS1,FGFR1,39,italk
AREG to EGFR,26,53.5,AREG,EGFR,40,italk
APP to CAV1,26,56.0,APP,CAV1,41,italk
PSEN1 to CD44,26,56.0,PSEN1,CD44,42,italk
LIPH to LPAR1,26,58.5,LIPH,LPAR1,43,italk
