cluster,n_cells,fraction_Red2Kras,median_counts,median_genes,median_pct_mt,median_doublet_score,score_alveolar fibroblast,score_adventitial fibroblast,score_reprogrammed fibroblast,score_inflammatory fibroblast,score_peri-bronchial fibroblast,score_smooth muscle,score_pericyte,score_mesothelium,score_mesothelial-like,score_proliferating
0,1709,0.414,5821,2441,1.09,0.0363,0.5211,0.3172,-0.1345,-0.1765,-0.2993,-0.4722,-0.0896,-0.0804,-0.0365,-0.0158
1,2017,0.223,4306,2093,1.1,0.0354,1.4417,-0.5525,-0.2391,-0.3408,-0.4697,-0.4793,-0.1603,-0.1892,-0.0426,-0.0209
2,1547,0.556,3588,1700,0.83,0.0351,-0.173,2.055,-0.124,0.1771,-0.2491,-0.4019,0.0154,-0.1553,-0.0274,-0.0076
3,733,0.501,5000,2322,1.69,0.0226,-0.4309,0.5102,-0.3207,-0.1981,-0.3189,0.0317,-0.1555,2.142,0.1043,-0.0255
4,331,0.988,11637,3718,0.94,0.0513,-0.4995,0.1346,-0.0119,0.0512,-0.4946,-0.1453,-0.1472,0.4661,0.6106,0.1026
5,702,0.527,3169,1585,1.27,0.0249,-0.5026,0.315,0.4196,-0.1784,1.8059,0.5601,0.0378,-0.1569,-0.0452,-0.0076
6,1519,0.504,5161,2235,1.73,0.0292,-0.3444,-0.4581,0.6837,-0.2023,-0.3011,2.6744,0.4901,-0.1564,-0.0418,-0.0174
7,201,0.517,2223,1214,1.63,0.0163,-0.0722,-0.3088,0.479,-0.2834,-0.1489,0.3734,1.7278,-0.1514,-0.038,-0.0205
8,79,0.747,2170,1190,1.4,0.0531,-0.4077,-0.4313,0.0651,-0.3077,-0.3146,-0.2802,-0.1265,-0.1254,-0.0381,0.0282
9,1008,0.192,4441,2143,1.4,0.0403,0.6398,0.3594,-0.2128,-0.0223,-0.2188,-0.426,-0.1109,-0.1557,-0.045,-0.0225
10,288,0.951,8207,2654,2.24,0.0283,-0.5135,-0.4928,0.0446,-0.356,-0.4455,-0.4185,-0.1911,-0.2095,0.1289,0.1845
11,184,0.989,15473,3676,1.05,0.0615,-0.4627,-0.5264,-0.1246,-0.1094,-0.465,-0.2705,-0.1706,-0.0628,0.0213,0.0124
12,39,0.436,12961,4219,1.95,0.069,-0.5049,-0.5539,-0.0335,-0.4374,-0.4804,-0.3655,-0.1429,-0.1554,-0.0734,-0.0622
13,86,0.523,5160,2352,1.45,0.0515,-0.4001,-0.5372,-0.1884,-0.0714,-0.4119,-0.3994,0.0528,0.1443,-0.0438,-0.0744
14,937,0.996,3863,1860,1.56,0.0366,0.4401,-0.1421,0.3279,0.4356,0.3008,-0.0254,0.0712,-0.1527,-0.0253,-0.0081
15,167,0.874,2569,1232,1.03,0.0615,-0.343,-0.3321,0.1015,-0.2561,-0.2982,-0.1592,-0.0931,-0.1659,-0.0163,0.02
16,143,0.965,4424,2148,0.94,0.0639,-0.0655,-0.0622,0.2226,0.1087,-0.1487,0.1489,0.094,-0.0644,0.0051,0.5862
