0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Fosb,Macf1,Dcn,Gpm6a,Ccdc80,Hhip,Acta2,Gucy1b1,Fau,Nbl1,Ccl6,Cystm1,Ccdc153,Calcrl,Fn1,Srgn,H2afz
Jun,Npnt,Col1a2,Msln,Wt1,Enpp2,Tagln,Gucy1a1,Arhgap15,Pid1,Lyz2,Krt18,Fam183b,Cd36,Mgp,Cd52,Stmn1
Egr1,Limch1,Ly6a,C3,Gm12840,Csmd1,Myl9,Cox4i2,Srgn,Macf1,Chil3,Krt8,3300002A11Rik,Cdh5,Igfbp7,Lyn,Hmgb2
Fos,Dock4,Serpinf1,Igfbp5,Abi1,Grem2,Myl6,Pdzd2,Rps24,Cped1,Plet1,Areg,Wfdc2,Cyyr1,Sparc,Btg1,Cenpa
Junb,Nebl,Fbln1,Upk3b,Efna5,Aspn,Tpm1,Postn,Rpl18a,Prex2,Fcer1g,Sdc1,Sntn,Ramp2,Hbb-bs,Fau,Cks2
Ifrd1,Prex2,Col14a1,Gpc3,Snrpg,Mustn1,Myh11,Pde5a,Rps7,Hmcn1,Cd9,Cldn18,Dynlrb2,Ly6a,Tmem176b,Tyrobp,Hmgb1
Atf3,Plxdc2,Gsn,Crip1,Gpr39,Lum,Dmd,Trpc6,Rps11,Limch1,Tyrobp,Abhd2,Sec14l3,Hpgd,Tmem176a,Plek,Ppia
Pim1,Itga8,Igfbp4,Rarres2,Rpl11,Pdzrn3,Mustn1,Itga1,Rpl18,Lama2,Ftl1,Tspan8,1700094D03Rik,Adgrf5,Ppic,Fcer1g,Selenoh
Jund,Hsd11b1,Col3a1,Nkain4,Bicd1,Igfbp5,Dstn,Ndufa4l2,Rpl19,Mamdc2,Ear2,2200002D01Rik,Calm1,Tspan7,Hba-a1,Dennd4a,Hmgn2
Ppp1r15a,Gyg,Pi16,Ezr,Fn1,Malat1,Cnn1,Lhfp,Rps10,Pbx1,Ctss,Clu,Cd24a,Epas1,Bgn,Dock2,Ran
Zfp36,Pcolce2,Clec3b,Igfbp6,Rpl41,Cacna2d3,Ctnna3,Ebf1,Cd52,Gsn,Ctsd,Ctsh,1110017D15Rik,Tspan13,Col5a2,Alox5ap,Clic1
Ier2,Cacna1d,Gpc6,Aqp1,Cxadr,Cdh4,Lpp,Kcnq5,Rpl30,Sptbn1,Lpl,Wfdc2,Ank3,Ctla2a,Hba-a2,Cd74,Smc4
