cluster,n_cells,call,mode_fraction,confident,n_Areg-flox/+,n_Areg-flox/flox,BSD_detected_fraction
0,1495,AT1_like,0.44,False,1014,481,0.26
1,1823,DATP_like,0.936,True,1712,111,0.399
2,806,cycling,0.491,False,368,438,0.418
3,2701,AT2,0.999,True,431,2270,0.621
4,2174,AT2,0.894,True,1363,811,0.533
5,67,DATP_like,0.463,False,36,31,0.254
6,1370,DATP_like,0.981,True,473,897,0.279
7,814,DATP_like,0.695,True,675,139,0.291
8,65,cycling,0.769,True,54,11,0.108
9,11,AT1_like,0.636,True,5,6,0.273
10,24,AT2,0.417,False,4,20,0.0
