cluster,n_cells,call,mode_fraction,confident,n_Areg-flox/+,n_Areg-flox/flox,BSD_detected_fraction
0,1786,adventitial fibroblast,0.979,True,804,982,0.026
1,851,smooth muscle,0.924,True,316,535,0.028
2,1716,proliferating,0.427,False,668,1048,0.025
3,1521,reprogrammed fibroblast,0.375,False,647,874,0.019
4,761,adventitial fibroblast,0.65,True,225,536,0.064
5,156,monocyte/interstitial macrophage,0.308,False,53,103,0.019
6,611,monocyte/interstitial macrophage,0.448,False,428,183,0.137
7,495,monocyte/interstitial macrophage,0.491,False,165,330,0.03
8,487,mesothelium,0.996,True,224,263,0.029
9,644,monocyte/interstitial macrophage,0.696,True,229,415,0.051
10,1895,alveolar fibroblast,0.614,True,803,1092,0.037
11,478,monocyte/interstitial macrophage,0.659,True,151,327,0.01
12,278,adventitial fibroblast,0.986,True,181,97,0.047
13,118,smooth muscle,0.305,False,99,19,0.271
14,387,mesothelium,0.429,False,353,34,0.075
15,1800,proliferating,0.538,True,589,1211,0.011
16,1155,alveolar fibroblast,0.998,True,251,904,0.023
17,255,reprogrammed fibroblast,0.384,False,210,45,0.133
18,71,alveolar fibroblast,0.831,True,33,38,0.0
19,343,alveolar macrophage,0.86,True,310,33,0.079
20,105,mesothelium,0.448,False,26,79,0.067
21,497,peri-bronchial fibroblast,0.825,True,157,340,0.03
