gene,reference_difference,replicates,diff_Bleo1_GFPp,diff_Bleo2_GFPp
Piezo2,0.6942,True,0.4501,0.464
Kif26b,0.6941,False,0.509,0.307
Ltbp2,0.6647,True,0.5041,0.4295
Chst11,0.6089,False,0.0978,0.0249
Rnf149,0.5919,True,0.4426,0.4871
Basp1,0.5913,True,0.7051,0.4152
Lhfpl2,0.5905,False,0.223,0.1342
Dock5,0.5795,False,0.2369,0.01
Bmper,0.5794,False,0.2115,0.4082
Rftn1,0.5736,False,0.1583,0.25
Elk3,0.5733,False,0.3594,0.2703
Sdc1,0.5692,True,0.538,0.3395
Ctsc,0.5623,False,0.4846,0.2285
Gtf2ird1,0.5545,False,0.221,0.2402
Rab31,0.5526,False,0.2978,0.1248
Rai14,0.552,False,0.0983,0.0556
Cemip2,0.5431,False,,
P4ha3,0.5404,True,0.5269,0.4549
Prrx2,0.5395,True,0.364,0.4513
Ror2,0.5373,False,0.2077,0.1118
Fkbp5,0.5373,False,0.2087,0.1573
Fam78b,0.5324,False,0.045,0.0358
Bmp1,0.5268,False,0.2063,0.2427
Enc1,0.5224,False,0.2376,0.2442
Lrrc4,0.5198,False,-0.0019,0.0222
Megf11,0.5155,True,0.3194,0.3174
Cotl1,0.5141,True,0.5404,0.4145
AI506816,0.5114,False,,
Sept9,0.511,False,0.3793,0.2399
1110038B12Rik,0.5099,False,,
