gene,det_double_positive,det_double_negative,difference
Piezo2,0.8786,0.1844,0.6942
Kif26b,0.7916,0.0974,0.6941
Ltbp2,0.876,0.2112,0.6647
Chst11,0.7731,0.1642,0.6089
Rnf149,0.6913,0.0994,0.5919
Basp1,0.7757,0.1844,0.5913
Lhfpl2,0.7573,0.1668,0.5905
Dock5,0.7784,0.1988,0.5795
Bmper,0.8443,0.2649,0.5794
Rftn1,0.847,0.2734,0.5736
Elk3,0.81,0.2368,0.5733
Sdc1,0.6438,0.0746,0.5692
Ctsc,0.905,0.3427,0.5623
Gtf2ird1,0.752,0.1975,0.5545
Rab31,0.8364,0.2838,0.5526
Rai14,0.6939,0.1419,0.552
Cemip2,0.723,0.1799,0.5431
P4ha3,0.6332,0.0929,0.5404
Prrx2,0.686,0.1465,0.5395
Ror2,0.8153,0.278,0.5373
Fkbp5,0.81,0.2727,0.5373
Fam78b,0.6939,0.1615,0.5324
Bmp1,0.8074,0.2806,0.5268
Enc1,0.6675,0.1452,0.5224
Lrrc4,0.6702,0.1504,0.5198
Megf11,0.5541,0.0386,0.5155
Cotl1,0.6148,0.1007,0.5141
AI506816,0.7625,0.2511,0.5114
Sept9,0.715,0.2041,0.511
1110038B12Rik,0.7388,0.2289,0.5099
