subtype,det_AREG,det_EREG,det_HBEGF,det_TGFA,det_EGFR,n_donors
Alveolar Mac,0.2975,0.3232,0.7118,0.0139,0.0096,4
CD163+CD14+ DCs,0.4314,0.549,0.6549,0.0413,0.0177,5
CD1c+ DCs,0.6183,0.3588,0.5524,0.0382,0.0,5
mo-Mac,0.1587,0.2117,0.4233,0.0423,0.0018,11
tS2,0.5318,0.2364,0.4204,0.2052,0.5953,6
Monocytes,0.4915,0.697,0.4172,0.023,0.0,4
tS1,0.5554,0.0204,0.2436,0.0294,0.3054,4
COL13A1+ matrix FBs,0.029,0.0028,0.087,0.0015,0.2158,4
MALT B cells,0.2418,0.0112,0.039,0.0,0.0,5
Treg,0.07,0.0,0.0152,0.0,0.0,10
CD4+ Th,0.1346,0.005,0.0135,0.0011,0.0034,10
Naive CD4+ T,0.1356,0.003,0.009,0.001,0.0,8
MAST,0.3944,0.0064,0.0068,0.0225,0.0,10
Exhausted CD8+ T,0.0953,0.0,0.0066,0.0,0.0079,7
Follicular B cells,0.2034,0.003,0.0046,0.0,0.0,7
CD8+/CD4+ Mixed Th,0.1733,0.0025,0.0041,0.0027,0.0014,3
CD8 low T,0.0909,0.0,0.0,0.0,0.0,9
Cytotoxic CD8+ T,0.0536,0.0,0.0,0.0,0.0,3
NK,0.244,0.0128,0.0,0.0,0.0,5
