gene,bleomycin,untreated,injury_generic
Tnc,"[0.2013, 0.2132]","[0.0263, 0.0254]",True
Fst,"[0.1066, 0.119]","[0.0322, 0.0339]",True
Runx1,"[0.2245, 0.2374]","[0.0783, 0.0884]",True
Runx2,"[0.0273, 0.0334]","[0.0034, 0.0031]",True
Acta2,"[0.3421, 0.3478]","[0.2973, 0.4234]",False
Pdgfrb,"[0.2253, 0.2076]","[0.1167, 0.126]",True
Areg,"[0.0055, 0.021]","[0.003, 0.0024]",True
Ereg,"[0.019, 0.0248]","[0.003, 0.0043]",True
Hbegf,"[0.1184, 0.1349]","[0.0719, 0.0621]",True
Tgfa,"[0.0028, 0.003]","[0.003, 0.004]",False
Egfr,"[0.0733, 0.0676]","[0.05, 0.0474]",True
Pdgfra,"[0.3564, 0.2976]","[0.4324, 0.4946]",False
Col13a1,"[0.2724, 0.2707]","[0.3938, 0.4311]",False
