gsm,treatment,endpoint,age,replicate_ordinal,assay_metadata_conflict,animal_id,pool_size,file_triple_present
GSM9057709,Control IgG,3 months post-NNK,7 months,1,True,unresolved,unresolved,True
GSM9057710,anti-PD-1,3 months post-NNK,7 months,1,True,unresolved,unresolved,True
GSM9057711,anti-IL-1β and anti-PD-1,3 months post-NNK,7 months,1,True,unresolved,unresolved,True
GSM9057712,Control IgG,3 months post-NNK,7 months,2,True,unresolved,unresolved,True
GSM9057713,anti-IL-1β,3 months post-NNK,7 months,2,True,unresolved,unresolved,True
GSM9057714,anti-PD-1,3 months post-NNK,7 months,2,True,unresolved,unresolved,True
GSM9057715,anti-IL-1β and anti-PD-1,3 months post-NNK,7 months,2,True,unresolved,unresolved,True
GSM9057716,Control IgG,3 months post-NNK,7 months,3,True,unresolved,unresolved,True
GSM9057717,anti-IL-1β,3 months post-NNK,7 months,3,True,unresolved,unresolved,True
GSM9057718,anti-PD-1,3 months post-NNK,7 months,3,True,unresolved,unresolved,True
GSM9057719,anti-IL-1β and anti-PD-1,3 months post-NNK,7 months,3,True,unresolved,unresolved,True
GSM9057720,Control IgG,3 months post-NNK,7 months,4,True,unresolved,unresolved,True
GSM9057721,anti-IL-1β,3 months post-NNK,7 months,4,True,unresolved,unresolved,True
GSM9057722,anti-PD-1,3 months post-NNK,7 months,4,True,unresolved,unresolved,True
GSM9057723,anti-IL-1β and anti-PD-1,3 months post-NNK,7 months,4,True,unresolved,unresolved,True
GSM9057724,Control IgG,7 months post-NNK,11 months,1,True,unresolved,unresolved,True
GSM9057725,anti-IL-1β,7 months post-NNK,11 months,1,True,unresolved,unresolved,True
GSM9057726,anti-PD-1,7 months post-NNK,11 months,1,True,unresolved,unresolved,True
GSM9057727,anti-IL-1β and anti-PD-1,7 months post-NNK,11 months,1,True,unresolved,unresolved,True
GSM9057728,Control IgG,7 months post-NNK,11 months,2,True,unresolved,unresolved,True
GSM9057729,anti-IL-1β,7 months post-NNK,11 months,2,True,unresolved,unresolved,True
GSM9057730,anti-PD-1,7 months post-NNK,11 months,2,True,unresolved,unresolved,True
GSM9057731,anti-IL-1β and anti-PD-1,7 months post-NNK,11 months,2,True,unresolved,unresolved,True
GSM9057732,Control IgG,7 months post-NNK,11 months,3,True,unresolved,unresolved,True
GSM9057733,anti-IL-1β,7 months post-NNK,11 months,3,True,unresolved,unresolved,True
GSM9057734,anti-PD-1,7 months post-NNK,11 months,3,True,unresolved,unresolved,True
GSM9057735,anti-IL-1β and anti-PD-1,7 months post-NNK,11 months,3,True,unresolved,unresolved,True
GSM9057736,Control IgG,7 months post-NNK,11 months,4,True,unresolved,unresolved,True
GSM9057737,anti-IL-1β,7 months post-NNK,11 months,4,True,unresolved,unresolved,True
GSM9057738,anti-PD-1,7 months post-NNK,11 months,4,True,unresolved,unresolved,True
GSM9057739,anti-IL-1β and anti-PD-1,7 months post-NNK,11 months,4,True,unresolved,unresolved,True
