resource,family,view,ligand,receptor,human_ligand,human_receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_antiIL1B,difference_antiIL1B_minus_IgG,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-1.468222552129952,-1.068953592849859,-1.867491511410044,-1.8363635012473885,-1.0732889204929066,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-1.468222552129952,-1.068953592849859,-1.867491511410044,-1.8363635012473885,-1.0732889204929066,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.7426003073415943,-1.068953592849859,-0.4162470218333296,-0.8415409125024298,-0.6309120064181784,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.7426003073415943,-1.068953592849859,-0.4162470218333296,-0.8415409125024298,-0.6309120064181784,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.6337198646580187,-1.068953592849859,-0.19848613646617874,-0.7920732957803698,-0.5223049750117017,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.6075302368105673,-1.068953592849859,-0.1461068807712751,-0.7500590142122112,-0.4979352403622368,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.6705463726507874,-1.068953592849859,-0.2721391524517154,-0.8132705622242251,-0.5385407565103915,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.6705463726507874,-1.068953592849859,-0.2721391524517154,-0.8132705622242251,-0.5385407565103915,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.3821521396862848,-1.068953592849859,0.3046493134772894,-0.5570785222755288,-0.17022794474361636,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.8018321578806451,-1.068953592849859,-0.5347107229114307,-1.0717931753522798,-0.6290706931703101,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.6976702216771651,-1.068953592849859,-0.32638685050447136,-1.2301708926988126,-0.010836316658185297,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.665876637971674,-1.068953592849859,-0.26279968309348856,-0.9576802173682493,-0.4076953205307776,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.6193578357458609,-1.068953592849859,-0.1697620786418632,-0.7620820253192986,-0.5233534105134687,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.3538726281412701,-1.068953592849859,0.36120833656731843,-0.4782430541753828,-0.21111583162085035,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.566175800785941,-1.068953592849859,-0.06339800872202517,-0.6583494687776006,-0.42282925372257285,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.3821521396862848,-1.068953592849859,0.3046493134772894,-0.5570785222755288,-0.17022794474361636,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.8018321578806451,-1.068953592849859,-0.5347107229114307,-1.0717931753522798,-0.6290706931703101,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp6,WNT10B,FZD4_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.6976702216771651,-1.068953592849859,-0.32638685050447136,-1.2301708926988126,-0.010836316658185297,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp6,WNT10B,FZD10_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.665876637971674,-1.068953592849859,-0.26279968309348856,-0.9576802173682493,-0.4076953205307776,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp6,WNT10B,FZD1_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.49357458254307174,-1.068953592849859,0.0818044277637151,-0.6708416614490478,-0.33252909474388215,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd9_Lrp5,WNT7A,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-1.2520981215922353,-0.6367047317744263,-1.867491511410044,-1.66946416212298,-0.6824309208639832,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd9_Lrp6,WNT7A,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-1.2520981215922353,-0.6367047317744263,-1.867491511410044,-1.66946416212298,-0.6824309208639832,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd6_Lrp5,WNT7A,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.5264758768038783,-0.6367047317744263,-0.4162470218333296,-0.7100924165751766,-0.2603501189467399,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd6_Lrp6,WNT7A,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.5264758768038783,-0.6367047317744263,-0.4162470218333296,-0.7100924165751766,-0.2603501189467399,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd7_Lrp5,WNT7A,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.41759543412030287,-0.6367047317744263,-0.19848613646617874,-0.5634242694284316,-0.10917122725932982,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd7_Lrp6,WNT7A,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.39140580627285093,-0.6367047317744263,-0.1461068807712751,-0.5390545347789668,-0.07752191981791667,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd5_Lrp5,WNT7A,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.4544219421130713,-0.6367047317744263,-0.2721391524517154,-0.6004343553196367,-0.16869273228229686,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd2_Lrp5,WNT7A,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.4544219421130713,-0.6367047317744263,-0.2721391524517154,-0.6004343553196367,-0.16869273228229686,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd8_Lrp5,WNT7A,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.16602770914856846,-0.6367047317744263,0.3046493134772894,-0.34377070060021014,0.15963191450180828,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd3_Lrp5,WNT7A,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.5857077273429289,-0.6367047317744263,-0.5347107229114307,-0.7971252905723514,-0.25504930039723833,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd4_Lrp5,WNT7A,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.4815457911394491,-0.6367047317744263,-0.32638685050447136,-1.0055828216227756,0.06373685901581844,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd10_Lrp5,WNT7A,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.4497522074339575,-0.6367047317744263,-0.26279968309348856,-0.6830123325883204,-0.25295316378044586,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd1_Lrp5,WNT7A,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.403233405208145,-0.6367047317744263,-0.1697620786418632,-0.5321829727797349,-0.10044134974239505,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd5_Lrp6,WNT7A,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.13774819760355372,-0.6367047317744263,0.36120833656731843,-0.31123935045275664,0.17631071010920651,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd2_Lrp6,WNT7A,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.3500513702482255,-0.6367047317744263,-0.06339800872202517,-0.47104476934770956,-0.045897086398536624,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd8_Lrp6,WNT7A,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.16602770914856846,-0.6367047317744263,0.3046493134772894,-0.34377070060021014,0.15963191450180828,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd3_Lrp6,WNT7A,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.5857077273429289,-0.6367047317744263,-0.5347107229114307,-0.7971252905723514,-0.25504930039723833,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd4_Lrp6,WNT7A,FZD4_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.4815457911394491,-0.6367047317744263,-0.32638685050447136,-1.0055828216227756,0.06373685901581844,descriptive_no_p_value
consensus,exploratory,broad,Wnt7a,Fzd10_Lrp6,WNT7A,FZD10_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.4497522074339575,-0.6367047317744263,-0.26279968309348856,-0.6830123325883204,-0.25295316378044586,descriptive_no_p_value
