"compartment","label","cell_floor","genes_tested","eligible_sets","residual_df"
"alveolar","__broad__",50,9814,8,5
"alveolar","__broad__",30,9814,8,5
"alveolar","mixed_AT2_AT1_alveolar",30,6638,8,4
"fibroblast","__broad__",50,11625,6,5
"fibroblast","__broad__",30,11625,6,5
"fibroblast","__broad__",100,11669,6,4
"fibroblast","fibroblast_Gsn",50,9738,6,5
"fibroblast","fibroblast_Gsn",30,9738,6,5
"fibroblast","fibroblast_Itga8",50,7126,6,4
"fibroblast","fibroblast_Itga8",30,7126,6,4
"fibroblast","fibroblast_Pi16",50,10052,6,4
"fibroblast","fibroblast_Pi16",30,10052,6,4
"fibroblast","fibroblast_Pi16",100,10052,6,4
"myeloid","__broad__",50,9667,7,5
"myeloid","__broad__",30,9667,7,5
"myeloid","__broad__",100,9667,7,5
"myeloid","CSF1R_myeloid",50,9047,7,5
"myeloid","CSF1R_myeloid",30,9047,7,5
"myeloid","CSF1R_myeloid",100,8962,7,4
"myeloid","inflammatory_CSF1R_CSF3R_myeloid",30,6699,7,4
