resource,human_ligand,human_receptor,unmapped
consensus,CXCL1,ADRA2A,CXCL1
consensus,CXCL1,CXCR1,CXCL1;CXCR1
consensus,CXCL1,CXCR2,CXCL1;CXCR2
consensus,CXCL1,MTNR1A,CXCL1
consensus,CXCL1,GRM7,CXCL1
consensus,CXCL1,ACKR1,CXCL1
consensus,CCL2,CCR1,CCL2;CCR1
consensus,CCL2,CCR2,CCL2
consensus,CCL2,CCR10,CCL2
consensus,CCL2,CCR3,CCL2
consensus,CCL2,CCR4,CCL2
consensus,CCL2,CCR5,CCL2
consensus,CCL2,ACKR1,CCL2
consensus,CCL2,ACKR4,CCL2
consensus,VEGFA,SIRPA,SIRPA
consensus,CXCL2,CXCR1,CXCL2;CXCR1
consensus,CXCL2,CXCR2,CXCL2;CXCR2
consensus,CXCL2,XCR1,CXCL2
consensus,CXCL2,MTNR1A,CXCL2
consensus,CXCL2,GRM7,CXCL2
consensus,CXCL2,ACKR1,CXCL2
consensus,CCL2,ACKR2,CCL2
consensus,CXCL2,DPP4,CXCL2
cellchatdb,CCL2,CCR2,CCL2
cellchatdb,CXCL1,CXCR2,CXCL1;CXCR2
cellchatdb,CXCL2,CXCR2,CXCL2;CXCR2
cellchatdb,CCL2,ACKR1,CCL2
cellchatdb,CCL2,ACKR2,CCL2
cellchatdb,CXCL1,ACKR1,CXCL1
cellchatdb,CXCL2,ACKR1,CXCL2
cellchatdb,CXCL2,CXCR1,CXCL2;CXCR1
cellchatdb,CXCL1,CXCR1,CXCL1;CXCR1
