comp,case,reference,direction,status,n_patients,mapped_targets,pearson,rank,ranked_ligands
AT2,AAH,normal,up,target_gate_not_met,8.0,1.0,,,0
AT2,AAH,normal,down,target_gate_not_met,8.0,2.0,,,0
AT2,AIS,normal,up,source_receiver_expression_gate_not_met,12.0,30.0,,,0
AT2,AIS,normal,down,target_gate_not_met,12.0,6.0,,,0
AT2,MIA,normal,up,source_receiver_expression_gate_not_met,4.0,117.0,,,0
AT2,MIA,normal,down,source_receiver_expression_gate_not_met,4.0,81.0,,,0
AT2,LUAD,normal,up,eligible,23.0,3013.0,0.030635044710754,12.0,14
AT2,LUAD,normal,down,eligible,23.0,2801.0,-0.0268706973547854,11.0,14
AT2,LUAD,AAH,up,source_receiver_expression_gate_not_met,8.0,908.0,,,0
AT2,LUAD,AAH,down,source_receiver_expression_gate_not_met,8.0,801.0,,,0
AT2,LUAD,AIS,up,source_receiver_expression_gate_not_met,12.0,43.0,,,0
AT2,LUAD,AIS,down,target_gate_not_met,12.0,3.0,,,0
AT2,LUAD,MIA,up,target_gate_not_met,4.0,2.0,,,0
AT2,LUAD,MIA,down,target_gate_not_met,4.0,0.0,,,0
fibroblasts,AAH,normal,up,target_gate_not_met,8.0,0.0,,,0
fibroblasts,AAH,normal,down,target_gate_not_met,8.0,0.0,,,0
fibroblasts,AIS,normal,up,target_gate_not_met,11.0,0.0,,,0
fibroblasts,AIS,normal,down,target_gate_not_met,11.0,0.0,,,0
fibroblasts,MIA,normal,up,target_gate_not_met,4.0,0.0,,,0
fibroblasts,MIA,normal,down,target_gate_not_met,4.0,0.0,,,0
fibroblasts,LUAD,normal,up,eligible,22.0,2115.0,0.0623528096444161,4.0,10
fibroblasts,LUAD,normal,down,eligible,22.0,1873.0,-0.0355680586342007,8.0,10
fibroblasts,LUAD,AAH,up,source_receiver_expression_gate_not_met,8.0,520.0,,,0
fibroblasts,LUAD,AAH,down,source_receiver_expression_gate_not_met,8.0,177.0,,,0
fibroblasts,LUAD,AIS,up,source_receiver_expression_gate_not_met,11.0,49.0,,,0
fibroblasts,LUAD,AIS,down,target_gate_not_met,11.0,9.0,,,0
fibroblasts,LUAD,MIA,up,source_receiver_expression_gate_not_met,4.0,160.0,,,0
fibroblasts,LUAD,MIA,down,source_receiver_expression_gate_not_met,4.0,78.0,,,0
macrophages,AAH,normal,up,target_gate_not_met,5.0,0.0,,,0
macrophages,AAH,normal,down,target_gate_not_met,5.0,0.0,,,0
macrophages,AIS,normal,up,target_gate_not_met,5.0,2.0,,,0
macrophages,AIS,normal,down,target_gate_not_met,5.0,3.0,,,0
macrophages,MIA,normal,up,fewer_than_three_paired_patients,,,,,0
macrophages,MIA,normal,down,fewer_than_three_paired_patients,,,,,0
macrophages,LUAD,normal,up,source_receiver_expression_gate_not_met,12.0,422.0,,,0
macrophages,LUAD,normal,down,source_receiver_expression_gate_not_met,12.0,203.0,,,0
macrophages,LUAD,AAH,up,source_receiver_expression_gate_not_met,8.0,57.0,,,0
macrophages,LUAD,AAH,down,target_gate_not_met,8.0,1.0,,,0
macrophages,LUAD,AIS,up,target_gate_not_met,7.0,9.0,,,0
macrophages,LUAD,AIS,down,target_gate_not_met,7.0,0.0,,,0
macrophages,LUAD,MIA,up,target_gate_not_met,3.0,0.0,,,0
macrophages,LUAD,MIA,down,target_gate_not_met,3.0,0.0,,,0
