comp,label,case,reference,omitted_patient,direction,ligand,pearson,scope,rank,ranked_ligands,planned_omissions
AT2,AT2,AIS,normal,14,up,CXCL12,0.0107246238528159,focused_triad,10.0,11,12
AT2,AT2,AIS,normal,14,up,CXCL2,0.0173964782554882,focused_triad,8.0,11,12
AT2,AT2,AIS,normal,14,up,FGF7,0.015736357766782,focused_triad,9.0,11,12
AT2,AT2,AIS,normal,14,up,HBEGF,0.0248168772666,focused_triad,6.0,11,12
AT2,AT2,AIS,normal,14,up,TGFB1,0.0216446116925878,focused_triad,7.0,11,12
AT2,AT2,AIS,normal,14,up,VEGFA,0.0092752117955266,focused_triad,11.0,11,12
AT2,AT2,AIS,normal,14,up,WNT10B,0.0438946294701621,focused_triad,5.0,11,12
AT2,AT2,AIS,normal,14,up,WNT11,0.043930706819904,focused_triad,4.0,11,12
AT2,AT2,AIS,normal,14,up,WNT2,0.0455678410712179,focused_triad,2.0,11,12
AT2,AT2,AIS,normal,14,up,WNT2B,0.0440504358794724,focused_triad,3.0,11,12
AT2,AT2,AIS,normal,14,up,WNT5A,0.0559784581106659,focused_triad,1.0,11,12
AT2,AT2,AIS,normal,21,up,CXCL12,0.0276094883397407,focused_triad,9.0,10,12
AT2,AT2,AIS,normal,21,up,CXCL2,0.0333667592703735,focused_triad,7.0,10,12
AT2,AT2,AIS,normal,21,up,FGF7,0.0490513268323007,focused_triad,2.0,10,12
AT2,AT2,AIS,normal,21,up,HBEGF,0.0327519111266411,focused_triad,8.0,10,12
AT2,AT2,AIS,normal,21,up,TGFB1,0.0562001839721368,focused_triad,1.0,10,12
AT2,AT2,AIS,normal,21,up,VEGFA,0.0072694681051602,focused_triad,10.0,10,12
AT2,AT2,AIS,normal,21,up,WNT10B,0.0407868564498561,focused_triad,5.0,10,12
AT2,AT2,AIS,normal,21,up,WNT11,0.0434756405820712,focused_triad,4.0,10,12
AT2,AT2,AIS,normal,21,up,WNT2,0.048223752619419,focused_triad,3.0,10,12
AT2,AT2,AIS,normal,21,up,WNT2B,0.0399872063526627,focused_triad,6.0,10,12
AT2,AT2,AIS,normal,22,up,CXCL12,0.013351580783527,focused_triad,11.0,11,12
AT2,AT2,AIS,normal,22,up,CXCL2,0.0180560960499345,focused_triad,9.0,11,12
AT2,AT2,AIS,normal,22,up,FGF7,0.0152013657793149,focused_triad,10.0,11,12
AT2,AT2,AIS,normal,22,up,HBEGF,0.0302189590004134,focused_triad,3.0,11,12
AT2,AT2,AIS,normal,22,up,TGFB1,0.0382382558319953,focused_triad,1.0,11,12
AT2,AT2,AIS,normal,22,up,VEGFA,0.0191253358213207,focused_triad,8.0,11,12
AT2,AT2,AIS,normal,22,up,WNT10B,0.0268430269167367,focused_triad,6.0,11,12
AT2,AT2,AIS,normal,22,up,WNT11,0.0272786992700256,focused_triad,5.0,11,12
AT2,AT2,AIS,normal,22,up,WNT2,0.0305039240325885,focused_triad,2.0,11,12
AT2,AT2,AIS,normal,22,up,WNT2B,0.0257532858439265,focused_triad,7.0,11,12
AT2,AT2,AIS,normal,22,up,WNT5A,0.028423618977272,focused_triad,4.0,11,12
AT2,AT2,AIS,normal,3,up,CXCL12,0.0102186970500003,focused_triad,9.0,11,12
AT2,AT2,AIS,normal,3,up,CXCL2,0.0117303906629797,focused_triad,8.0,11,12
AT2,AT2,AIS,normal,3,up,FGF7,0.0095754500617775,focused_triad,10.0,11,12
AT2,AT2,AIS,normal,3,up,HBEGF,0.0239993905309894,focused_triad,3.0,11,12
AT2,AT2,AIS,normal,3,up,TGFB1,0.0216584174046607,focused_triad,5.0,11,12
AT2,AT2,AIS,normal,3,up,VEGFA,0.0008444207128747,focused_triad,11.0,11,12
AT2,AT2,AIS,normal,3,up,WNT10B,0.0219752578177689,focused_triad,4.0,11,12
AT2,AT2,AIS,normal,3,up,WNT11,0.0214686100749568,focused_triad,7.0,11,12
AT2,AT2,AIS,normal,3,up,WNT2,0.0254829429507177,focused_triad,2.0,11,12
AT2,AT2,AIS,normal,3,up,WNT2B,0.0215415560819736,focused_triad,6.0,11,12
AT2,AT2,AIS,normal,3,up,WNT5A,0.0332999287536092,focused_triad,1.0,11,12
AT2,AT2,AIS,normal,8,up,CXCL12,0.0114308507980379,focused_triad,9.0,11,12
AT2,AT2,AIS,normal,8,up,CXCL2,0.0196495661595118,focused_triad,8.0,11,12
AT2,AT2,AIS,normal,8,up,FGF7,0.0106227024252727,focused_triad,10.0,11,12
AT2,AT2,AIS,normal,8,up,HBEGF,0.0314756747147293,focused_triad,2.0,11,12
AT2,AT2,AIS,normal,8,up,TGFB1,0.0280531008608134,focused_triad,6.0,11,12
AT2,AT2,AIS,normal,8,up,VEGFA,0.005523683161738,focused_triad,11.0,11,12
AT2,AT2,AIS,normal,8,up,WNT10B,0.0283567447820546,focused_triad,5.0,11,12
AT2,AT2,AIS,normal,8,up,WNT11,0.0290368653257639,focused_triad,4.0,11,12
AT2,AT2,AIS,normal,8,up,WNT2,0.0323908550524415,focused_triad,1.0,11,12
AT2,AT2,AIS,normal,8,up,WNT2B,0.027262289572099,focused_triad,7.0,11,12
AT2,AT2,AIS,normal,8,up,WNT5A,0.0309867888385569,focused_triad,3.0,11,12
AT2,AT2,AIS,normal,__none__,up,CXCL12,0.0122086246451156,focused_triad,10.0,11,12
AT2,AT2,AIS,normal,__none__,up,CXCL2,0.0144358659245902,focused_triad,9.0,11,12
AT2,AT2,AIS,normal,__none__,up,FGF7,0.0160954275201006,focused_triad,8.0,11,12
AT2,AT2,AIS,normal,__none__,up,HBEGF,0.0252152084545778,focused_triad,7.0,11,12
AT2,AT2,AIS,normal,__none__,up,TGFB1,0.0252167910398236,focused_triad,6.0,11,12
AT2,AT2,AIS,normal,__none__,up,VEGFA,0.0099384731403452,focused_triad,11.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT10B,0.0329534973188313,focused_triad,4.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT11,0.0331584004854101,focused_triad,3.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT2,0.0350811662733522,focused_triad,2.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT2B,0.0317058560676555,focused_triad,5.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT5A,0.0387800556965084,focused_triad,1.0,11,12
AT2,AT2,AIS,normal,14,up,AREG,0.0327045445105328,source_agnostic_planned_panel,12.0,19,12
AT2,AT2,AIS,normal,14,up,CXCL12,0.0107246238528159,source_agnostic_planned_panel,18.0,19,12
