comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,AREG,AT1,other,False,0,,
AT2,AT2,AIS,normal,AREG,AT2,AT2,False,10,3;8;9;12;16;17;19;21;22;23,EGFR;ERBB2;ERBB3
AT2,AT2,AIS,normal,AREG,Adventitial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,AREG,Alveolar fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,AREG,B cells,other,False,0,,
AT2,AT2,AIS,normal,AREG,Basal resting,other,False,0,,
AT2,AT2,AIS,normal,AREG,CD4 T cells,other,False,0,,
AT2,AT2,AIS,normal,AREG,CD8 T cells,other,False,0,,
AT2,AT2,AIS,normal,AREG,Classical monocytes,other,False,1,23,EGFR;ERBB2;ERBB3
AT2,AT2,AIS,normal,AREG,EC aerocyte capillary,other,False,0,,
AT2,AT2,AIS,normal,AREG,EC arterial,other,False,0,,
AT2,AT2,AIS,normal,AREG,EC general capillary,other,False,0,,
AT2,AT2,AIS,normal,AREG,EC venous pulmonary,other,False,0,,
AT2,AT2,AIS,normal,AREG,EC venous systemic,other,False,0,,
AT2,AT2,AIS,normal,AREG,Goblet (bronchial),other,False,0,,
AT2,AT2,AIS,normal,AREG,Goblet (nasal),other,False,0,,
AT2,AT2,AIS,normal,AREG,Lymphatic EC differentiating,other,False,0,,
AT2,AT2,AIS,normal,AREG,Lymphatic EC mature,other,False,0,,
AT2,AT2,AIS,normal,AREG,Mast cells,other,False,4,17;21;22;23,EGFR;ERBB2;ERBB3
AT2,AT2,AIS,normal,AREG,Monocyte-derived Mph,macrophages,True,0,,
AT2,AT2,AIS,normal,AREG,Multiciliated (non-nasal),other,False,3,3;5;19,EGFR;ERBB2;ERBB3
AT2,AT2,AIS,normal,AREG,Non-classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,AREG,Pericytes,other,False,0,,
AT2,AT2,AIS,normal,AREG,Plasma cells,other,False,1,16,EGFR;ERBB2;ERBB3
AT2,AT2,AIS,normal,AREG,NK cells,other,False,0,,
AT2,AT2,AIS,normal,AREG,Neuroendocrine,other,False,0,,
AT2,AT2,AIS,normal,AREG,Plasmacytoid DCs,other,False,0,,
AT2,AT2,AIS,normal,AREG,SMG serous (bronchial),other,False,0,,
AT2,AT2,AIS,normal,AREG,Smooth muscle,other,False,0,,
AT2,AT2,AIS,normal,AREG,Suprabasal,other,False,0,,
AT2,AT2,AIS,normal,AREG,Alveolar macrophages,macrophages,True,0,,
AT2,AT2,AIS,normal,AREG,Interstitial Mph perivascular,macrophages,True,0,,
AT2,AT2,AIS,normal,AREG,AT0,other,False,0,,
AT2,AT2,AIS,normal,AREG,AT2 proliferating,AT2,False,0,,
AT2,AT2,AIS,normal,AREG,Club (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,AREG,Mesothelium,other,False,0,,
AT2,AT2,AIS,normal,AREG,Migratory DCs,other,False,0,,
AT2,AT2,AIS,normal,AREG,Myofibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,AREG,Peribronchial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,AREG,T cells proliferating,other,False,0,,
AT2,AT2,AIS,normal,AREG,pre-TB secretory,other,False,0,,
AT2,AT2,AIS,normal,AREG,Club (nasal),other,False,0,,
AT2,AT2,AIS,normal,AREG,DC2,other,False,0,,
AT2,AT2,AIS,normal,AREG,Deuterosomal,other,False,0,,
AT2,AT2,AIS,normal,AREG,Goblet (subsegmental),other,False,0,,
AT2,AT2,AIS,normal,AREG,Ionocyte,other,False,0,,
AT2,AT2,AIS,normal,AREG,Multiciliated (nasal),other,False,0,,
AT2,AT2,AIS,normal,AREG,SM activated stress response,other,False,0,,
AT2,AT2,AIS,normal,AREG,Alveolar Mph proliferating,macrophages,True,0,,
AT2,AT2,AIS,normal,AREG,Hillock-like,other,False,0,,
AT2,AT2,AIS,normal,AREG,SMG mucous,other,False,0,,
AT2,AT2,AIS,normal,AREG,SMG duct,other,False,0,,
AT2,AT2,AIS,normal,AREG,SMG serous (nasal),other,False,0,,
AT2,AT2,AIS,normal,AREG,Smooth muscle FAM83D+,other,False,0,,
AT2,AT2,AIS,normal,AREG,Tuft,other,False,0,,
AT2,AT2,AIS,normal,CCL2,AT1,other,False,0,,
AT2,AT2,AIS,normal,CCL2,AT2,AT2,False,0,,
AT2,AT2,AIS,normal,CCL2,Adventitial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CCL2,Alveolar fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CCL2,B cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Basal resting,other,False,0,,
AT2,AT2,AIS,normal,CCL2,CD4 T cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,CD8 T cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,CCL2,EC aerocyte capillary,other,False,0,,
AT2,AT2,AIS,normal,CCL2,EC arterial,other,False,0,,
AT2,AT2,AIS,normal,CCL2,EC general capillary,other,False,0,,
AT2,AT2,AIS,normal,CCL2,EC venous pulmonary,other,False,0,,
AT2,AT2,AIS,normal,CCL2,EC venous systemic,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Goblet (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Goblet (nasal),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Lymphatic EC differentiating,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Lymphatic EC mature,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Mast cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Monocyte-derived Mph,macrophages,True,0,,
AT2,AT2,AIS,normal,CCL2,Multiciliated (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Non-classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Pericytes,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Plasma cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,NK cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Neuroendocrine,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Plasmacytoid DCs,other,False,0,,
AT2,AT2,AIS,normal,CCL2,SMG serous (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Smooth muscle,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Suprabasal,other,False,0,,
