"comp","label","case","reference","omitted_patient","direction","n_patients","mapped_background","mapped_targets","eligible","reason"
"AT2","AT2","AAH","normal","__none__","up",8,12102,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AAH","normal","__none__","down",8,12102,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","__none__","up",12,12523,30,TRUE,"eligible"
"AT2","AT2","AIS","normal","__none__","down",12,12523,6,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","3","up",11,12632,30,TRUE,"eligible"
"AT2","AT2","AIS","normal","3","down",11,12632,11,TRUE,"eligible"
"AT2","AT2","AIS","normal","5","up",11,12426,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","5","down",11,12426,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","8","up",11,12492,45,TRUE,"eligible"
"AT2","AT2","AIS","normal","8","down",11,12492,8,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","9","up",11,12499,5,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","9","down",11,12499,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","12","up",11,12483,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","12","down",11,12483,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","14","up",11,12605,32,TRUE,"eligible"
"AT2","AT2","AIS","normal","14","down",11,12605,8,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","16","up",11,12670,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","16","down",11,12670,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","17","up",11,12392,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","17","down",11,12392,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","19","up",11,12429,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","19","down",11,12429,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","21","up",11,12436,125,TRUE,"eligible"
"AT2","AT2","AIS","normal","21","down",11,12436,21,TRUE,"eligible"
"AT2","AT2","AIS","normal","22","up",11,12510,51,TRUE,"eligible"
"AT2","AT2","AIS","normal","22","down",11,12510,11,TRUE,"eligible"
"AT2","AT2","AIS","normal","23","up",11,12396,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","AIS","normal","23","down",11,12396,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","MIA","normal","__none__","up",4,11283,118,TRUE,"eligible"
"AT2","AT2","MIA","normal","__none__","down",4,11283,80,TRUE,"eligible"
"AT2","AT2","MIA","normal","10","up",3,11129,137,TRUE,"eligible"
"AT2","AT2","MIA","normal","10","down",3,11129,61,TRUE,"eligible"
"AT2","AT2","MIA","normal","13","up",3,11380,31,TRUE,"eligible"
"AT2","AT2","MIA","normal","13","down",3,11380,23,TRUE,"eligible"
"AT2","AT2","MIA","normal","15","up",3,11410,52,TRUE,"eligible"
"AT2","AT2","MIA","normal","15","down",3,11410,21,TRUE,"eligible"
"AT2","AT2","MIA","normal","18","up",3,10307,30,TRUE,"eligible"
"AT2","AT2","MIA","normal","18","down",3,10307,74,TRUE,"eligible"
"AT2","AT2","LUAD","normal","__none__","up",23,13159,2934,TRUE,"eligible"
"AT2","AT2","LUAD","normal","__none__","down",23,13159,2644,TRUE,"eligible"
"AT2","AT2","LUAD","normal","3","up",22,13227,2981,TRUE,"eligible"
"AT2","AT2","LUAD","normal","3","down",22,13227,2661,TRUE,"eligible"
"AT2","AT2","LUAD","normal","4","up",22,13015,2926,TRUE,"eligible"
"AT2","AT2","LUAD","normal","4","down",22,13015,2480,TRUE,"eligible"
"AT2","AT2","LUAD","normal","5","up",22,12944,2460,TRUE,"eligible"
"AT2","AT2","LUAD","normal","5","down",22,12944,2320,TRUE,"eligible"
"AT2","AT2","LUAD","normal","6","up",22,13142,2835,TRUE,"eligible"
"AT2","AT2","LUAD","normal","6","down",22,13142,2532,TRUE,"eligible"
"AT2","AT2","LUAD","normal","7","up",22,13020,2634,TRUE,"eligible"
"AT2","AT2","LUAD","normal","7","down",22,13020,2445,TRUE,"eligible"
"AT2","AT2","LUAD","normal","8","up",22,13223,2867,TRUE,"eligible"
"AT2","AT2","LUAD","normal","8","down",22,13223,2664,TRUE,"eligible"
"AT2","AT2","LUAD","normal","9","up",22,13161,2887,TRUE,"eligible"
"AT2","AT2","LUAD","normal","9","down",22,13161,2641,TRUE,"eligible"
"AT2","AT2","LUAD","normal","10","up",22,13103,2939,TRUE,"eligible"
