config,cell_floor,prior_count,view,resource,family,ligand,receptor,source,source_label,target,target_label,case,reference,biological_role,patient,case_score,reference_score,paired_difference,ligand_difference,receptor_difference
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,4,5.07210193960245,5.077628740172315,-0.005526800569865209,0.11105723532956002,-0.12211083646929044
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,6,5.971557667878255,6.2438961697863355,-0.27233850190808084,-0.3997034178911303,-0.14497358592502962
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,9,5.65036654644624,5.687666180274036,-0.03729963382779555,0.52038502110448,-0.5949842887600703
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,11,5.272892331454894,5.135931511300409,0.13696082015448496,0.22261808970903996,0.05130355059992997
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,20,5.6503524510300345,6.036545351479965,-0.38619290044993093,-0.4466161981718004,-0.32576960272805966
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,22,5.77669186220267,6.113016297177805,-0.3363244349751353,-0.6029437128534605,-0.06970515709680924
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,24,4.598433971460305,4.699298212383445,-0.10086424092313973,-0.1706729186304199,-0.031055563215860005
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AAH,normal,resource_RNA_compatibility_only,25,3.956769255609225,4.81844676152451,-0.861677505915285,-1.1806128130918898,-0.5427421987386802
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,3,5.255498345833615,5.1920862349021295,0.0634121109314858,-0.009350143950049628,0.13617436581302034
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,5,5.84775927585412,6.119110923674315,-0.27135164782019494,0.10736238793676023,-0.6500656835771501
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,9,6.00916435902522,5.687666180274036,0.3214981787511846,1.05823247391365,-0.4152361164112808
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,12,5.293270301539135,5.90854920100076,-0.6152788994616252,-0.4630966268874097,-0.7674611720358397
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,14,5.518248607949005,5.729123026131595,-0.21087441818259034,-0.4423433507976897,0.020594514432509925
unc20_pooled,50,1.0,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,AIS,normal,resource_RNA_compatibility_only,16,6.31394451441008,6.253811069079525,0.06013344533055509,0.31746340810996987,-0.1971965174488597
