patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
3,AIS,AT2,AT2,subtype,673,1491795,GSM9237902,1,0.2,pooled,unc20_pooled_0001
3,AIS,Adventitial fibroblasts,fibroblasts,subtype,21,36629,GSM9237902,1,0.2,pooled,unc20_pooled_0002
3,AIS,Alveolar fibroblasts,fibroblasts,subtype,102,151845,GSM9237902,1,0.2,pooled,unc20_pooled_0003
3,AIS,Monocyte-derived Mph,macrophages,subtype,31,76794,GSM9237902,1,0.2,pooled,unc20_pooled_0019
3,LUAD,AT2,AT2,subtype,310,934100,GSM9237903,1,0.2,pooled,unc20_pooled_0025
3,LUAD,Adventitial fibroblasts,fibroblasts,subtype,3,7185,GSM9237903,1,0.2,pooled,unc20_pooled_0026
3,LUAD,Alveolar fibroblasts,fibroblasts,subtype,77,120106,GSM9237903,1,0.2,pooled,unc20_pooled_0027
3,LUAD,Monocyte-derived Mph,macrophages,subtype,23,57365,GSM9237903,1,0.2,pooled,unc20_pooled_0041
3,normal,AT2,AT2,subtype,165,288778,GSM9237901,1,0.2,pooled,unc20_pooled_0053
3,normal,Adventitial fibroblasts,fibroblasts,subtype,11,23464,GSM9237901,1,0.2,pooled,unc20_pooled_0054
3,normal,Alveolar fibroblasts,fibroblasts,subtype,106,149829,GSM9237901,1,0.2,pooled,unc20_pooled_0055
3,normal,Alveolar macrophages,macrophages,subtype,1,11440,GSM9237901,1,0.2,pooled,unc20_pooled_0056
3,normal,Interstitial Mph perivascular,macrophages,subtype,1,1420,GSM9237901,1,0.2,pooled,unc20_pooled_0066
3,normal,Monocyte-derived Mph,macrophages,subtype,21,41951,GSM9237901,1,0.2,pooled,unc20_pooled_0069
4,AAH,AT2,AT2,subtype,3036,13035992,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0077
4,AAH,AT2 proliferating,AT2,subtype,12,110025,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0078
4,AAH,Adventitial fibroblasts,fibroblasts,subtype,57,192142,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0079
4,AAH,Alveolar fibroblasts,fibroblasts,subtype,1446,3130303,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0080
4,AAH,Alveolar macrophages,macrophages,subtype,502,7300036,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0081
4,AAH,Interstitial Mph perivascular,macrophages,subtype,71,149873,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0095
4,AAH,Monocyte-derived Mph,macrophages,subtype,46,159816,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0100
4,AAH,Myofibroblasts,fibroblasts,subtype,4,6177,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0102
4,AAH,Peribronchial fibroblasts,fibroblasts,subtype,16,72646,GSM9237906;GSM9237907,2,0.2,pooled,unc20_pooled_0105
4,LUAD,AT2,AT2,subtype,5063,25675943,GSM9237908,1,0.2,pooled,unc20_pooled_0114
4,LUAD,AT2 proliferating,AT2,subtype,33,573105,GSM9237908,1,0.2,pooled,unc20_pooled_0115
4,LUAD,Adventitial fibroblasts,fibroblasts,subtype,91,299809,GSM9237908,1,0.2,pooled,unc20_pooled_0116
4,LUAD,Alveolar fibroblasts,fibroblasts,subtype,2776,7873263,GSM9237908,1,0.2,pooled,unc20_pooled_0117
4,LUAD,Alveolar macrophages,macrophages,subtype,935,13199652,GSM9237908,1,0.2,pooled,unc20_pooled_0118
4,LUAD,Interstitial Mph perivascular,macrophages,subtype,122,297543,GSM9237908,1,0.2,pooled,unc20_pooled_0135
4,LUAD,Monocyte-derived Mph,macrophages,subtype,94,490395,GSM9237908,1,0.2,pooled,unc20_pooled_0140
4,LUAD,Myofibroblasts,fibroblasts,subtype,6,12705,GSM9237908,1,0.2,pooled,unc20_pooled_0143
4,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,39,124616,GSM9237908,1,0.2,pooled,unc20_pooled_0147
4,normal,AT2,AT2,subtype,7038,29720853,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0158
4,normal,AT2 proliferating,AT2,subtype,12,133999,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0159
4,normal,Adventitial fibroblasts,fibroblasts,subtype,164,527004,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0160
4,normal,Alveolar Mph proliferating,macrophages,subtype,2,8422,GSM9237904,1,0.2,pooled,unc20_pooled_0161
4,normal,Alveolar fibroblasts,fibroblasts,subtype,3706,8993827,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0162
4,normal,Alveolar macrophages,macrophages,subtype,1771,21388149,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0163
4,normal,Interstitial Mph perivascular,macrophages,subtype,139,300300,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0176
4,normal,Monocyte-derived Mph,macrophages,subtype,114,479271,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0180
4,normal,Myofibroblasts,fibroblasts,subtype,6,7716,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0182
4,normal,Peribronchial fibroblasts,fibroblasts,subtype,10,35550,GSM9237904;GSM9237905,2,0.2,pooled,unc20_pooled_0186
5,AIS,AT2,AT2,subtype,224,869513,GSM9237910,1,0.2,pooled,unc20_pooled_0197
5,AIS,Adventitial fibroblasts,fibroblasts,subtype,5,8761,GSM9237910,1,0.2,pooled,unc20_pooled_0198
5,AIS,Alveolar fibroblasts,fibroblasts,subtype,228,391190,GSM9237910,1,0.2,pooled,unc20_pooled_0199
5,AIS,Alveolar macrophages,macrophages,subtype,35,254905,GSM9237910,1,0.2,pooled,unc20_pooled_0200
5,AIS,Interstitial Mph perivascular,macrophages,subtype,7,12059,GSM9237910,1,0.2,pooled,unc20_pooled_0212
5,AIS,Monocyte-derived Mph,macrophages,subtype,3,11664,GSM9237910,1,0.2,pooled,unc20_pooled_0215
5,AIS,Myofibroblasts,fibroblasts,subtype,1,1241,GSM9237910,1,0.2,pooled,unc20_pooled_0217
5,LUAD,AT2,AT2,subtype,1071,4814870,GSM9237911,1,0.2,pooled,unc20_pooled_0226
5,LUAD,AT2 proliferating,AT2,subtype,25,190310,GSM9237911,1,0.2,pooled,unc20_pooled_0227
5,LUAD,Adventitial fibroblasts,fibroblasts,subtype,14,30961,GSM9237911,1,0.2,pooled,unc20_pooled_0228
5,LUAD,Alveolar fibroblasts,fibroblasts,subtype,131,355698,GSM9237911,1,0.2,pooled,unc20_pooled_0229
5,LUAD,Alveolar macrophages,macrophages,subtype,199,1384686,GSM9237911,1,0.2,pooled,unc20_pooled_0230
5,LUAD,Interstitial Mph perivascular,macrophages,subtype,53,121576,GSM9237911,1,0.2,pooled,unc20_pooled_0244
5,LUAD,Monocyte-derived Mph,macrophages,subtype,88,339544,GSM9237911,1,0.2,pooled,unc20_pooled_0250
5,LUAD,Myofibroblasts,fibroblasts,subtype,2,3082,GSM9237911,1,0.2,pooled,unc20_pooled_0252
5,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,427,1538625,GSM9237911,1,0.2,pooled,unc20_pooled_0255
5,normal,AT2,AT2,subtype,1727,6111600,GSM9237909,1,0.2,pooled,unc20_pooled_0264
5,normal,Adventitial fibroblasts,fibroblasts,subtype,2,2361,GSM9237909,1,0.2,pooled,unc20_pooled_0265
5,normal,Alveolar fibroblasts,fibroblasts,subtype,2911,6435989,GSM9237909,1,0.2,pooled,unc20_pooled_0266
5,normal,Alveolar macrophages,macrophages,subtype,435,4195129,GSM9237909,1,0.2,pooled,unc20_pooled_0267
5,normal,Interstitial Mph perivascular,macrophages,subtype,14,24947,GSM9237909,1,0.2,pooled,unc20_pooled_0280
5,normal,Monocyte-derived Mph,macrophages,subtype,20,76623,GSM9237909,1,0.2,pooled,unc20_pooled_0284
5,normal,Myofibroblasts,fibroblasts,subtype,6,8659,GSM9237909,1,0.2,pooled,unc20_pooled_0287
6,AAH,AT2,AT2,subtype,414,1136231,GSM9237913,1,0.2,pooled,unc20_pooled_0298
6,AAH,Adventitial fibroblasts,fibroblasts,subtype,34,71383,GSM9237913,1,0.2,pooled,unc20_pooled_0299
6,AAH,Alveolar fibroblasts,fibroblasts,subtype,247,535730,GSM9237913,1,0.2,pooled,unc20_pooled_0300
6,AAH,Alveolar macrophages,macrophages,subtype,77,651619,GSM9237913,1,0.2,pooled,unc20_pooled_0301
6,AAH,Interstitial Mph perivascular,macrophages,subtype,9,13816,GSM9237913,1,0.2,pooled,unc20_pooled_0314
6,AAH,Myofibroblasts,fibroblasts,subtype,1,1999,GSM9237913,1,0.2,pooled,unc20_pooled_0318
6,LUAD,AT2,AT2,subtype,474,1998913,GSM9237914,1,0.2,pooled,unc20_pooled_0332
6,LUAD,AT2 proliferating,AT2,subtype,3,77376,GSM9237914,1,0.2,pooled,unc20_pooled_0333
6,LUAD,Adventitial fibroblasts,fibroblasts,subtype,19,45306,GSM9237914,1,0.2,pooled,unc20_pooled_0334
6,LUAD,Alveolar fibroblasts,fibroblasts,subtype,283,673823,GSM9237914,1,0.2,pooled,unc20_pooled_0335
6,LUAD,Alveolar macrophages,macrophages,subtype,195,2037251,GSM9237914,1,0.2,pooled,unc20_pooled_0336
6,LUAD,Interstitial Mph perivascular,macrophages,subtype,41,79799,GSM9237914,1,0.2,pooled,unc20_pooled_0352
6,LUAD,Monocyte-derived Mph,macrophages,subtype,23,90358,GSM9237914,1,0.2,pooled,unc20_pooled_0356
6,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,44,188164,GSM9237914,1,0.2,pooled,unc20_pooled_0360
6,normal,AT2,AT2,subtype,142,421410,GSM9237912,1,0.2,pooled,unc20_pooled_0369
6,normal,Adventitial fibroblasts,fibroblasts,subtype,19,59181,GSM9237912,1,0.2,pooled,unc20_pooled_0370
6,normal,Alveolar fibroblasts,fibroblasts,subtype,117,235475,GSM9237912,1,0.2,pooled,unc20_pooled_0371
6,normal,Alveolar macrophages,macrophages,subtype,77,738556,GSM9237912,1,0.2,pooled,unc20_pooled_0372
6,normal,Interstitial Mph perivascular,macrophages,subtype,13,19647,GSM9237912,1,0.2,pooled,unc20_pooled_0383
6,normal,Monocyte-derived Mph,macrophages,subtype,4,12316,GSM9237912,1,0.2,pooled,unc20_pooled_0386
7,LUAD,AT2,AT2,subtype,1932,8613844,GSM9237916;GSM9237917,2,0.2,pooled,unc20_pooled_0401
7,LUAD,AT2 proliferating,AT2,subtype,3,11304,GSM9237917,1,0.2,pooled,unc20_pooled_0402
7,LUAD,Adventitial fibroblasts,fibroblasts,subtype,117,303469,GSM9237916;GSM9237917,2,0.2,pooled,unc20_pooled_0403
7,LUAD,Alveolar fibroblasts,fibroblasts,subtype,1579,3043372,GSM9237916;GSM9237917,2,0.2,pooled,unc20_pooled_0404
7,LUAD,Alveolar macrophages,macrophages,subtype,513,5470002,GSM9237916;GSM9237917,2,0.2,pooled,unc20_pooled_0405
7,LUAD,Interstitial Mph perivascular,macrophages,subtype,53,91701,GSM9237916;GSM9237917,2,0.2,pooled,unc20_pooled_0420
7,LUAD,Monocyte-derived Mph,macrophages,subtype,32,160546,GSM9237916;GSM9237917,2,0.2,pooled,unc20_pooled_0425
7,LUAD,Myofibroblasts,fibroblasts,subtype,20,29282,GSM9237916;GSM9237917,2,0.2,pooled,unc20_pooled_0427
7,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,14,49029,GSM9237917,1,0.2,pooled,unc20_pooled_0431
7,normal,AT2,AT2,subtype,1385,2781786,GSM9237915,1,0.2,pooled,unc20_pooled_0439
7,normal,Adventitial fibroblasts,fibroblasts,subtype,17,28264,GSM9237915,1,0.2,pooled,unc20_pooled_0440
7,normal,Alveolar fibroblasts,fibroblasts,subtype,788,1156902,GSM9237915,1,0.2,pooled,unc20_pooled_0441
7,normal,Alveolar macrophages,macrophages,subtype,82,469398,GSM9237915,1,0.2,pooled,unc20_pooled_0442
7,normal,Myofibroblasts,fibroblasts,subtype,4,5242,GSM9237915,1,0.2,pooled,unc20_pooled_0459
8,AIS,AT2,AT2,subtype,73,169136,GSM9237919,1,0.2,pooled,unc20_pooled_0468
8,AIS,Alveolar fibroblasts,fibroblasts,subtype,22,32216,GSM9237919,1,0.2,pooled,unc20_pooled_0469
8,AIS,Alveolar macrophages,macrophages,subtype,5,15045,GSM9237919,1,0.2,pooled,unc20_pooled_0470
8,LUAD,AT2,AT2,subtype,291,465848,GSM9237920,1,0.2,pooled,unc20_pooled_0483
8,LUAD,AT2 proliferating,AT2,subtype,1,1489,GSM9237920,1,0.2,pooled,unc20_pooled_0484
8,LUAD,Adventitial fibroblasts,fibroblasts,subtype,33,80633,GSM9237920,1,0.2,pooled,unc20_pooled_0485
8,LUAD,Alveolar fibroblasts,fibroblasts,subtype,37,65394,GSM9237920,1,0.2,pooled,unc20_pooled_0486
8,LUAD,Alveolar macrophages,macrophages,subtype,58,163472,GSM9237920,1,0.2,pooled,unc20_pooled_0487
