patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
3,AIS,AT1,other,subtype,164,323051,GSM9237902,1,0.3,pooled,unc30_pooled_0000
3,AIS,AT2,AT2,subtype,773,1793891,GSM9237902,1,0.3,pooled,unc30_pooled_0001
3,AIS,Adventitial fibroblasts,fibroblasts,subtype,33,54822,GSM9237902,1,0.3,pooled,unc30_pooled_0002
3,AIS,Alveolar fibroblasts,fibroblasts,subtype,173,268857,GSM9237902,1,0.3,pooled,unc30_pooled_0003
3,AIS,Alveolar macrophages,macrophages,subtype,2,5606,GSM9237902,1,0.3,pooled,unc30_pooled_0004
3,AIS,B cells,other,subtype,13,20499,GSM9237902,1,0.3,pooled,unc30_pooled_0005
3,AIS,Basal resting,other,subtype,23,30765,GSM9237902,1,0.3,pooled,unc30_pooled_0006
3,AIS,CD4 T cells,other,subtype,42,61224,GSM9237902,1,0.3,pooled,unc30_pooled_0007
3,AIS,CD8 T cells,other,subtype,21,36023,GSM9237902,1,0.3,pooled,unc30_pooled_0008
3,AIS,Classical monocytes,other,subtype,7,8539,GSM9237902,1,0.3,pooled,unc30_pooled_0009
3,AIS,EC aerocyte capillary,other,subtype,5,5985,GSM9237902,1,0.3,pooled,unc30_pooled_0010
3,AIS,EC arterial,other,subtype,18,22099,GSM9237902,1,0.3,pooled,unc30_pooled_0011
3,AIS,EC general capillary,other,subtype,8,8828,GSM9237902,1,0.3,pooled,unc30_pooled_0012
3,AIS,EC venous pulmonary,other,subtype,21,29798,GSM9237902,1,0.3,pooled,unc30_pooled_0013
3,AIS,EC venous systemic,other,subtype,8,11961,GSM9237902,1,0.3,pooled,unc30_pooled_0014
3,AIS,Goblet (bronchial),other,subtype,2,4387,GSM9237902,1,0.3,pooled,unc30_pooled_0015
3,AIS,Goblet (nasal),other,subtype,29,127320,GSM9237902,1,0.3,pooled,unc30_pooled_0016
3,AIS,Lymphatic EC differentiating,other,subtype,23,33629,GSM9237902,1,0.3,pooled,unc30_pooled_0017
3,AIS,Lymphatic EC mature,other,subtype,3,5270,GSM9237902,1,0.3,pooled,unc30_pooled_0018
3,AIS,Mast cells,other,subtype,11,16539,GSM9237902,1,0.3,pooled,unc30_pooled_0019
3,AIS,Monocyte-derived Mph,macrophages,subtype,85,194089,GSM9237902,1,0.3,pooled,unc30_pooled_0020
3,AIS,Multiciliated (non-nasal),other,subtype,113,393808,GSM9237902,1,0.3,pooled,unc30_pooled_0021
3,AIS,Non-classical monocytes,other,subtype,21,31062,GSM9237902,1,0.3,pooled,unc30_pooled_0022
3,AIS,Pericytes,other,subtype,6,7503,GSM9237902,1,0.3,pooled,unc30_pooled_0023
3,AIS,Plasma cells,other,subtype,7,9335,GSM9237902,1,0.3,pooled,unc30_pooled_0024
3,AIS,Suprabasal,other,subtype,1,1909,GSM9237902,1,0.3,pooled,unc30_pooled_0025
3,AIS,pre-TB secretory,other,subtype,1,1685,GSM9237902,1,0.3,pooled,unc30_pooled_0026
3,LUAD,AT1,other,subtype,190,358740,GSM9237903,1,0.3,pooled,unc30_pooled_0027
3,LUAD,AT2,AT2,subtype,344,1086108,GSM9237903,1,0.3,pooled,unc30_pooled_0028
3,LUAD,Adventitial fibroblasts,fibroblasts,subtype,13,20549,GSM9237903,1,0.3,pooled,unc30_pooled_0029
3,LUAD,Alveolar fibroblasts,fibroblasts,subtype,123,191308,GSM9237903,1,0.3,pooled,unc30_pooled_0030
3,LUAD,Alveolar macrophages,macrophages,subtype,1,5737,GSM9237903,1,0.3,pooled,unc30_pooled_0031
3,LUAD,B cells,other,subtype,10,14676,GSM9237903,1,0.3,pooled,unc30_pooled_0032
3,LUAD,Basal resting,other,subtype,31,49769,GSM9237903,1,0.3,pooled,unc30_pooled_0033
3,LUAD,CD4 T cells,other,subtype,62,101333,GSM9237903,1,0.3,pooled,unc30_pooled_0034
3,LUAD,CD8 T cells,other,subtype,17,24869,GSM9237903,1,0.3,pooled,unc30_pooled_0035
3,LUAD,Classical monocytes,other,subtype,6,8226,GSM9237903,1,0.3,pooled,unc30_pooled_0036
3,LUAD,Club (non-nasal),other,subtype,1,2737,GSM9237903,1,0.3,pooled,unc30_pooled_0037
3,LUAD,EC aerocyte capillary,other,subtype,5,8161,GSM9237903,1,0.3,pooled,unc30_pooled_0038
3,LUAD,EC arterial,other,subtype,17,21931,GSM9237903,1,0.3,pooled,unc30_pooled_0039
3,LUAD,EC general capillary,other,subtype,19,23211,GSM9237903,1,0.3,pooled,unc30_pooled_0040
3,LUAD,EC venous pulmonary,other,subtype,38,48088,GSM9237903,1,0.3,pooled,unc30_pooled_0041
3,LUAD,Goblet (bronchial),other,subtype,3,7400,GSM9237903,1,0.3,pooled,unc30_pooled_0042
3,LUAD,Goblet (nasal),other,subtype,3,13817,GSM9237903,1,0.3,pooled,unc30_pooled_0043
3,LUAD,Lymphatic EC differentiating,other,subtype,11,15469,GSM9237903,1,0.3,pooled,unc30_pooled_0044
3,LUAD,Mast cells,other,subtype,21,29924,GSM9237903,1,0.3,pooled,unc30_pooled_0045
3,LUAD,Monocyte-derived Mph,macrophages,subtype,55,145050,GSM9237903,1,0.3,pooled,unc30_pooled_0046
3,LUAD,Multiciliated (non-nasal),other,subtype,153,750149,GSM9237903,1,0.3,pooled,unc30_pooled_0047
3,LUAD,Myofibroblasts,fibroblasts,subtype,1,1476,GSM9237903,1,0.3,pooled,unc30_pooled_0048
3,LUAD,NK cells,other,subtype,1,1040,GSM9237903,1,0.3,pooled,unc30_pooled_0049
3,LUAD,Neuroendocrine,other,subtype,2,5519,GSM9237903,1,0.3,pooled,unc30_pooled_0050
3,LUAD,Non-classical monocytes,other,subtype,12,17999,GSM9237903,1,0.3,pooled,unc30_pooled_0051
3,LUAD,Pericytes,other,subtype,6,8434,GSM9237903,1,0.3,pooled,unc30_pooled_0052
3,LUAD,Plasma cells,other,subtype,5,7920,GSM9237903,1,0.3,pooled,unc30_pooled_0053
3,LUAD,Plasmacytoid DCs,other,subtype,1,1609,GSM9237903,1,0.3,pooled,unc30_pooled_0054
3,LUAD,SMG serous (bronchial),other,subtype,2,26125,GSM9237903,1,0.3,pooled,unc30_pooled_0055
3,LUAD,SMG serous (nasal),other,subtype,1,3484,GSM9237903,1,0.3,pooled,unc30_pooled_0056
3,LUAD,Smooth muscle,other,subtype,2,2197,GSM9237903,1,0.3,pooled,unc30_pooled_0057
3,LUAD,Suprabasal,other,subtype,4,6621,GSM9237903,1,0.3,pooled,unc30_pooled_0058
3,LUAD,pre-TB secretory,other,subtype,2,6572,GSM9237903,1,0.3,pooled,unc30_pooled_0059
3,normal,AT1,other,subtype,117,200123,GSM9237901,1,0.3,pooled,unc30_pooled_0060
3,normal,AT2,AT2,subtype,169,301251,GSM9237901,1,0.3,pooled,unc30_pooled_0061
3,normal,Adventitial fibroblasts,fibroblasts,subtype,17,33460,GSM9237901,1,0.3,pooled,unc30_pooled_0062
3,normal,Alveolar fibroblasts,fibroblasts,subtype,130,187672,GSM9237901,1,0.3,pooled,unc30_pooled_0063
