"cohort","comp","label","cell_floor","donor","disease","cells","library_size","TMM_factor"
"GSE135893","AT2","__broad__",50,"THD0001","control",1219,16705137,1.10120271631224
"GSE135893","AT2","__broad__",50,"THD0002","control",1044,10935829,0.982534070893399
"GSE135893","AT2","__broad__",50,"TILD028","IPF",61,317620,1.27802028949474
"GSE135893","AT2","__broad__",50,"VUHD071","control",98,410461,0.993760632224032
"GSE135893","AT2","__broad__",50,"VUHD65","control",328,4592587,0.925796980045076
"GSE135893","AT2","__broad__",50,"VUHD66","control",504,5838787,0.847978188715262
"GSE135893","AT2","__broad__",50,"VUHD67","control",1120,17080238,0.837005585574494
"GSE135893","AT2","__broad__",50,"VUILD53","IPF",109,587813,1.05881554032293
"GSE135893","AT2","__broad__",50,"VUILD59","IPF",1838,12300163,0.990849068410723
"GSE135893","AT2","__broad__",50,"VUILD60","IPF",137,1029209,1.0120542767435
"GSE135893","AT2","__broad__",50,"VUILD61","IPF",395,3653653,1.01610553645048
"GSE135893","AT2","__broad__",50,"VUILD63","IPF",99,454961,0.938754372654194
"GSE135893","AT2","__broad__",50,"VUILD64","IPF",428,1980747,1.00509735816466
"GSE135893","AT2","__broad__",50,"VUILD65","IPF",72,442811,1.08794322894606
"GSE135893","AT2","__broad__",30,"THD0001","control",1219,16705137,1.10120271631224
"GSE135893","AT2","__broad__",30,"THD0002","control",1044,10935829,0.982534070893399
"GSE135893","AT2","__broad__",30,"TILD028","IPF",61,317620,1.27802028949474
"GSE135893","AT2","__broad__",30,"VUHD071","control",98,410461,0.993760632224032
"GSE135893","AT2","__broad__",30,"VUHD65","control",328,4592587,0.925796980045076
"GSE135893","AT2","__broad__",30,"VUHD66","control",504,5838787,0.847978188715262
"GSE135893","AT2","__broad__",30,"VUHD67","control",1120,17080238,0.837005585574494
"GSE135893","AT2","__broad__",30,"VUILD53","IPF",109,587813,1.05881554032293
"GSE135893","AT2","__broad__",30,"VUILD59","IPF",1838,12300163,0.990849068410723
"GSE135893","AT2","__broad__",30,"VUILD60","IPF",137,1029209,1.0120542767435
"GSE135893","AT2","__broad__",30,"VUILD61","IPF",395,3653653,1.01610553645048
"GSE135893","AT2","__broad__",30,"VUILD63","IPF",99,454961,0.938754372654194
