cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,primary_effect,eligible_configurations,sensitivity_min,sensitivity_max,all_available_same_sign
GSE135893,broad,consensus,core,AREG,EGFR_ERBB2,AT2,__broad__,fibroblasts,__broad__,1.0843109158742743,6,1.0817784756038735,1.0890996898836969,True
GSE135893,broad,consensus,core,AREG,EGFR_ERBB2,macrophages,__broad__,fibroblasts,__broad__,0.7262711645169855,6,0.7231832769462772,0.732114588869913,True
GSE135893,broad,consensus,core,AREG,ERBB3,AT2,__broad__,fibroblasts,__broad__,0.7539752459138125,6,0.506212724522376,0.9498541706152164,True
GSE135893,broad,consensus,core,AREG,ERBB3,macrophages,__broad__,fibroblasts,__broad__,0.1437985517787865,6,-0.1893839366552407,0.4172053318401874,False
GSE135893,broad,consensus,core,HBEGF,CD44,AT2,__broad__,fibroblasts,__broad__,1.9943366373751528,6,1.9663119183216828,2.009153920677376,True
GSE135893,broad,consensus,core,HBEGF,CD44,macrophages,__broad__,fibroblasts,__broad__,0.8501706458213896,6,0.8491738330345608,0.8506711037829398,True
GSE135893,broad,consensus,core,HBEGF,CD82,AT2,__broad__,fibroblasts,__broad__,2.0106425903472216,6,1.9817739783301809,2.025887536306919,True
GSE135893,broad,consensus,core,HBEGF,CD82,macrophages,__broad__,fibroblasts,__broad__,0.7659247868854804,6,0.7652217230918925,0.7672268530890607,True
GSE135893,broad,consensus,core,HBEGF,CD9,AT2,__broad__,fibroblasts,__broad__,2.1694017332941806,6,2.1397617912035223,2.185035090030508,True
GSE135893,broad,consensus,core,HBEGF,CD9,macrophages,__broad__,fibroblasts,__broad__,1.0555775247912491,6,1.052943906293102,1.0569047697168923,True
GSE135893,broad,consensus,core,HBEGF,EGFR_ERBB2,AT2,__broad__,fibroblasts,__broad__,1.4961067472788865,6,1.4745955102868842,1.5075259965989192,True
GSE135893,broad,consensus,core,HBEGF,EGFR_ERBB2,macrophages,__broad__,fibroblasts,__broad__,0.4179216227265439,6,0.4147461854401122,0.4239396090010103,True
GSE135893,broad,consensus,core,HBEGF,ERBB2_ERBB4,AT2,__broad__,fibroblasts,__broad__,2.5065089279066486,6,2.2250537286006296,2.8092650327512896,True
GSE135893,broad,consensus,core,HBEGF,ERBB2_ERBB4,macrophages,__broad__,fibroblasts,__broad__,1.2756847226323358,6,1.0713048533030332,1.5061846065488085,True
GSE135893,broad,consensus,core,HBEGF,PRLR,AT2,__broad__,fibroblasts,__broad__,1.5852028535053446,6,1.5765131339710194,1.5852028535053446,True
GSE135893,broad,consensus,core,HBEGF,PRLR,macrophages,__broad__,fibroblasts,__broad__,0.7979803566808941,6,0.7361761275691467,0.8753499340292352,True
GSE135893,broad,consensus,core,IL1A,IL1R1_IL1RAP,AT2,__broad__,fibroblasts,__broad__,0.5883881682443032,6,0.5499677200740635,0.5887440821625531,True
GSE135893,broad,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,-0.305353515356991,9,-0.3755612976189706,0.2544692492282991,False
GSE135893,broad,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,0.5066695822434211,6,0.4556423184260074,0.5408160330487446,True
GSE135893,broad,consensus,core,IL1A,IL1R2_IL1RAP,AT2,__broad__,fibroblasts,__broad__,0.2379610229807975,6,0.2147245239020346,0.2379610229807975,True
GSE135893,broad,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,__broad__,AT2,__broad__,-0.5783023979883836,9,-0.7505031462567341,-0.3051997301556407,True
GSE135893,broad,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,0.180474727613616,6,0.0880268973477227,0.2434822173853563,True
GSE135893,broad,consensus,core,IL1B,ADRB2,AT2,__broad__,fibroblasts,__broad__,2.033710685982744,6,1.5584889942433846,2.535873047780756,True
GSE135893,broad,consensus,core,IL1B,ADRB2,macrophages,__broad__,AT2,__broad__,0.135785849550106,9,0.1342641439865728,0.3432780424236838,True
GSE135893,broad,consensus,core,IL1B,ADRB2,macrophages,__broad__,fibroblasts,__broad__,1.9651286410317268,6,1.6653923439146587,2.31579741235738,True
GSE135893,broad,consensus,core,IL1B,IL1R1_IL1RAP,AT2,__broad__,fibroblasts,__broad__,1.500925632779107,6,1.3579756565574828,1.601280595380744,True
GSE135893,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,AT2,__broad__,0.0435372612075344,9,-0.015811790240785,0.4706051500973682,False
GSE135893,broad,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,1.2847649841031794,6,1.2338998193144173,1.3186224442270156,True
GSE135893,broad,consensus,core,IL1B,IL1R2_IL1RAP,AT2,__broad__,fibroblasts,__broad__,1.150498487515601,6,0.9916281499512728,1.2660373992087148,True
GSE135893,broad,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,__broad__,AT2,__broad__,-0.2294116214238579,9,-0.4372444963284967,-0.0869398830798338,True
GSE135893,broad,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,0.9585701294733736,6,0.8662843982361332,1.0212886285636262,True
GSE135893,broad,consensus,core,IL1B,SIGIRR,AT2,__broad__,fibroblasts,__broad__,0.4781111143716288,6,0.3752722793893768,0.55656651183513,True
GSE135893,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,AT2,__broad__,0.0811040719581903,9,0.080764714878688,0.268169350232962,True
GSE135893,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,fibroblasts,__broad__,0.9094661485771436,6,0.908963830003504,0.9104094050560478,True
GSE135893,broad,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,0.6063795368929323,6,0.5478519010722405,0.6416085519764945,True
GSE135893,broad,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,-0.4274516347255779,6,-0.5344203138133361,-0.3324607599885589,True
GSE135893,broad,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,-0.0743192785029425,6,-0.0747514229264796,-0.0737026481992186,True
GSE135893,broad,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,-0.1981282130126196,6,-0.2002947910317711,-0.1941874707442021,True
GSE135893,broad,consensus,core,TGFB1,ACVRL1,macrophages,__broad__,fibroblasts,__broad__,-0.4127091506609712,6,-0.418129919045656,-0.4025586810502597,True
GSE135893,broad,consensus,core,TGFB1,CAV1,macrophages,__broad__,fibroblasts,__broad__,0.1562883633589713,6,0.1558549604110517,0.1565057711580468,True
GSE135893,broad,consensus,core,TGFB1,CXCR4,macrophages,__broad__,fibroblasts,__broad__,0.463342444853041,6,0.3386383393138548,0.6048673758901373,True
GSE135893,broad,consensus,core,TGFB1,EGFR,macrophages,__broad__,fibroblasts,__broad__,-0.1281042853166738,6,-0.1287645138329907,-0.1268318450325889,True
GSE135893,broad,consensus,core,TGFB1,ENG,macrophages,__broad__,fibroblasts,__broad__,-0.0816252095813139,6,-0.0816697813899383,-0.0816031554559142,True
GSE135893,broad,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,__broad__,fibroblasts,__broad__,-0.0429500871657526,6,-0.0495977971084213,-0.0429500871657526,True
GSE135893,broad,consensus,core,TGFB1,ITGB1,macrophages,__broad__,fibroblasts,__broad__,0.2514911715640577,6,0.2510912422950477,0.2516915735784986,True
GSE135893,broad,consensus,core,TGFB1,ITGB3,macrophages,__broad__,fibroblasts,__broad__,-0.0920965425767255,6,-0.1416628175600456,-0.0581544208380471,True
GSE135893,broad,consensus,core,TGFB1,ITGB5,macrophages,__broad__,fibroblasts,__broad__,-0.2277311906403323,6,-0.2283195599367884,-0.226575140920163,True
GSE135893,broad,consensus,core,TGFB1,ITGB8,macrophages,__broad__,fibroblasts,__broad__,0.1408218048453351,6,0.1158634189133431,0.1558565851317492,True
GSE135893,broad,consensus,core,TGFB1,LPP,macrophages,__broad__,fibroblasts,__broad__,0.2946924554520693,6,0.2921041981099712,0.2960003750884565,True
GSE135893,broad,consensus,core,TGFB1,SDC2,macrophages,__broad__,fibroblasts,__broad__,0.1002455986415178,6,0.0994500493242318,0.1006452764286747,True
GSE135893,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,0.0413356061030532,6,0.038072267695405,0.0430251018321685,True
GSE135893,broad,consensus,core,TGFB1,TGFBR3,macrophages,__broad__,fibroblasts,__broad__,-0.4791854291476287,6,-0.4804859728384674,-0.4766192229321229,True
GSE135893,broad,consensus,core,TGFB1,VASN,macrophages,__broad__,fibroblasts,__broad__,-0.2568704846015022,6,-0.2580384638063204,-0.2545966129638453,True
GSE135893,broad,consensus,exploratory,CCL2,ACKR1,fibroblasts,__broad__,macrophages,__broad__,3.033347924483779,6,2.7482662681860983,3.294756954331646,True
GSE135893,broad,consensus,exploratory,CCL2,ACKR2,fibroblasts,__broad__,macrophages,__broad__,1.105133538596219,6,0.9891503214251648,1.2038340610175209,True
GSE135893,broad,consensus,exploratory,CCL2,ACKR4,fibroblasts,__broad__,macrophages,__broad__,1.2230659653790994,6,1.1969877789400738,1.2579863754801246,True
GSE135893,broad,consensus,exploratory,CCL2,CCR1,fibroblasts,__broad__,macrophages,__broad__,1.8864429801819664,6,1.883457910919458,1.8879418937777728,True
GSE135893,broad,consensus,exploratory,CCL2,CCR10,fibroblasts,__broad__,macrophages,__broad__,1.7134698595201208,6,1.5839867524502873,1.859077996771036,True
GSE135893,broad,consensus,exploratory,CCL2,CCR2,fibroblasts,__broad__,macrophages,__broad__,2.0830860956113124,6,2.0333814308251688,2.1135557591503664,True
GSE135893,broad,consensus,exploratory,CCL2,CCR3,fibroblasts,__broad__,macrophages,__broad__,1.392320911227166,6,1.373206710521553,1.3951039592016468,True
GSE135893,broad,consensus,exploratory,CCL2,CCR4,fibroblasts,__broad__,macrophages,__broad__,1.4541163316507468,6,1.4232883979643054,1.4935914906872954,True
GSE135893,broad,consensus,exploratory,CCL2,CCR5,fibroblasts,__broad__,macrophages,__broad__,2.0478759264456734,6,2.0399983374697843,2.05186224450613,True
GSE135893,broad,consensus,exploratory,CXCL12,ACKR3,fibroblasts,__broad__,macrophages,__broad__,1.1574066057827226,6,1.1524173305079346,1.159927199262027,True
GSE135893,broad,consensus,exploratory,CXCL12,AVPR1A,fibroblasts,__broad__,macrophages,__broad__,1.3163737838943603,6,1.2774625199298857,1.3416849901643104,True
GSE135893,broad,consensus,exploratory,CXCL12,CCR4,fibroblasts,__broad__,macrophages,__broad__,1.2279241924338604,6,1.195200975763132,1.2683564102955005,True
GSE135893,broad,consensus,exploratory,CXCL12,CD4,fibroblasts,__broad__,macrophages,__broad__,1.403111086904051,6,1.3988432773056871,1.405259719075138,True
GSE135893,broad,consensus,exploratory,CXCL12,CXCR3,fibroblasts,__broad__,macrophages,__broad__,1.3871894083820249,6,1.3708726332135317,1.3871894083820249,True
GSE135893,broad,consensus,exploratory,CXCL12,CXCR4,fibroblasts,__broad__,macrophages,__broad__,1.4171909424635478,6,1.4130080479372458,1.4192970192474244,True
GSE135893,broad,consensus,exploratory,CXCL12,DPP4,fibroblasts,__broad__,macrophages,__broad__,2.4874057474116,6,2.3067362395591355,2.6613341304664284,True
GSE135893,broad,consensus,exploratory,CXCL12,GRM7,fibroblasts,__broad__,macrophages,__broad__,1.3869485456993818,6,1.308943124892756,1.4800777315422384,True
GSE135893,broad,consensus,exploratory,CXCL12,ITGA4,fibroblasts,__broad__,macrophages,__broad__,1.208269943479734,6,1.2050030699902845,1.209909390364607,True
GSE135893,broad,consensus,exploratory,CXCL12,ITGA5,fibroblasts,__broad__,macrophages,__broad__,1.5200539526760295,6,1.5154509805302308,1.5223707316744948,True
GSE135893,broad,consensus,exploratory,CXCL12,ITGAV,fibroblasts,__broad__,macrophages,__broad__,1.5778490738291264,6,1.57283846149455,1.580370852916042,True
GSE135893,broad,consensus,exploratory,CXCL12,ITGB1,fibroblasts,__broad__,macrophages,__broad__,1.4121044160261942,6,1.4080008840556155,1.4141707171169076,True
GSE135893,broad,consensus,exploratory,CXCL12,ITGB3,fibroblasts,__broad__,macrophages,__broad__,2.272939564799229,6,2.089310622906761,2.433093388563041,True
GSE135893,broad,consensus,exploratory,CXCL12,MTNR1A,fibroblasts,__broad__,macrophages,__broad__,1.1570548411276944,6,1.1530520240296431,1.1590707539454166,True
GSE135893,broad,consensus,exploratory,CXCL12,SDC4,fibroblasts,__broad__,macrophages,__broad__,1.6550248759188415,6,1.6502981393980054,1.657403715557532,True
GSE135893,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,1.3163739440181108,6,1.2006080329345976,1.3904733422465507,True
GSE135893,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,1.0486305367850113,6,0.9350054404796104,1.1216469871526606,True
GSE135893,broad,consensus,exploratory,FGF10,FGFRL1,fibroblasts,__broad__,AT2,__broad__,1.063145021160794,6,0.9498626209994449,1.1359330685364484,True
GSE135893,broad,consensus,exploratory,FGF7,FGFR1,fibroblasts,__broad__,AT2,__broad__,1.0485158116931474,6,1.0448393006741403,1.050368892860364,True
GSE135893,broad,consensus,exploratory,FGF7,FGFR2,fibroblasts,__broad__,AT2,__broad__,0.7807724044600493,6,0.7792367082191536,0.7815425377664749,True
GSE135893,broad,consensus,exploratory,FGF7,FGFR3,fibroblasts,__broad__,AT2,__broad__,0.6736382367193468,6,0.6725182682291795,0.675706326556365,True
GSE135893,broad,consensus,exploratory,FGF7,FGFR4,fibroblasts,__broad__,AT2,__broad__,0.319490184444632,6,0.1110643203547261,0.4769132765113895,True
GSE135893,broad,consensus,exploratory,FGF7,NRP1,fibroblasts,__broad__,AT2,__broad__,1.1070319674713591,6,1.0930166740921,1.1145953414962255,True
GSE135893,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophages,AT2,AT2,-0.3060310212418935,9,-0.3755571675664209,0.2361308044323156,False
GSE135893,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophages,AT2,AT2,-0.5789799038732859,9,-0.750499016204184,-0.3235381749516239,True
GSE135893,subtype,consensus,core,IL1B,ADRB2,macrophages,Macrophages,AT2,AT2,0.1417759709798831,9,0.1402844219468813,0.3393021377828606,True
GSE135893,subtype,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,Macrophages,AT2,AT2,0.0495273826373114,9,-0.0097915122804783,0.4666292454565468,False
GSE135893,subtype,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,Macrophages,AT2,AT2,-0.2234214999940817,9,-0.4412204009693194,-0.0810097633958459,True
GSE135893,subtype,consensus,core,IL1B,SIGIRR,macrophages,Macrophages,AT2,AT2,0.0870941933879665,9,0.0867849928389947,0.2641934455921406,True
