ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
AREG,AREG,0.686,0.1813992258969277,7.5664897,EGFR,EGFR,0.8909090909090909,0.18559378870534715,Macrophage,Fibroblast,0.06308540111011436,010I,IPF,cellchatdb
AREG,AREG,0.542,0.08078144576899593,7.5664897,EGFR,EGFR,0.8909090909090909,0.18559378870534715,Macrophage_Alveolar,Fibroblast,0.029112139634543135,010I,IPF,cellchatdb
HBEGF,HBEGF,0.43,0.026331668362550298,7.5664897,EGFR,EGFR,0.8909090909090909,0.18559378870534715,Macrophage_Alveolar,Fibroblast,0.009679382023109306,010I,IPF,cellchatdb
HBEGF,HBEGF,0.32,0.024512337851253507,7.5664897,EGFR,EGFR,0.8909090909090909,0.18559378870534715,Macrophage,Fibroblast,0.009016635861642657,010I,IPF,cellchatdb
TGFB1,TGFB1,0.554,0.08404039106338912,7.5664897,TGFBR1,TGFBR1_TGFBR2,0.4,0.03227044379796151,Macrophage,Fibroblast,0.005394779923312892,010I,IPF,cellchatdb
TGFB1,TGFB1,0.622,0.08249155937749109,7.5664897,TGFBR1,TGFBR1_TGFBR2,0.4,0.03227044379796151,Macrophage_Alveolar,Fibroblast,0.005295882766026388,010I,IPF,cellchatdb
CXCL12,CXCL12,0.2727272727272727,0.019521852284899444,7.5664897,CXCR4,CXCR4,0.596,0.10354816191442406,Fibroblast,Macrophage,0.0040266245865192,010I,IPF,cellchatdb
TGFB1,TGFB1,0.554,0.08404039106338912,7.5664897,ACVR1B,ACVR1B_TGFBR2,0.2909090909090909,0.018201991970738796,Macrophage,Fibroblast,0.0030500736360322086,010I,IPF,cellchatdb
TGFB1,TGFB1,0.622,0.08249155937749109,7.5664897,ACVR1B,ACVR1B_TGFBR2,0.2909090909090909,0.018201991970738796,Macrophage_Alveolar,Fibroblast,0.002994030265916197,010I,IPF,cellchatdb
CXCL12,CXCL12,0.2727272727272727,0.019521852284899444,7.5664897,CXCR4,CXCR4,0.468,0.031863334238069196,Fibroblast,Macrophage_Alveolar,0.0012425168398589076,010I,IPF,cellchatdb
IL1B,IL1B,0.254,0.010771747946558552,7.5664897,IL1RAP,IL1R1_IL1RAP,0.2727272727272727,0.020395035593485655,Macrophage_Alveolar,Fibroblast,0.000439187395229975,010I,IPF,cellchatdb
AREG,AREG,0.686,0.1813992258969277,7.5664897,ERBB2,EGFR_ERBB2,0.10909090909090909,0.0,Macrophage,Fibroblast,0.0,010I,IPF,cellchatdb
HBEGF,HBEGF,0.32,0.024512337851253507,7.5664897,ERBB2,EGFR_ERBB2,0.10909090909090909,0.0,Macrophage,Fibroblast,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.554,0.08404039106338912,7.5664897,ACVR1,ACVR1_TGFBR1_TGFBR2,0.23636363636363636,0.0,Macrophage,Fibroblast,0.0,010I,IPF,cellchatdb
HBEGF,HBEGF,0.32,0.024512337851253507,7.5664897,ERBB4,ERBB4,0.2,0.0,Macrophage,Fibroblast,0.0,010I,IPF,cellchatdb
IL1B,IL1B,0.11,0.0,7.5664897,IL1RAP,IL1R1_IL1RAP,0.2727272727272727,0.020395035593485655,Macrophage,Fibroblast,0.0,010I,IPF,cellchatdb
HBEGF,HBEGF,0.43,0.026331668362550298,7.5664897,ERBB4,ERBB4,0.2,0.0,Macrophage_Alveolar,Fibroblast,0.0,010I,IPF,cellchatdb
IL1A,IL1A,0.148,0.0,7.5664897,IL1RAP,IL1R1_IL1RAP,0.2727272727272727,0.020395035593485655,Macrophage_Alveolar,Fibroblast,0.0,010I,IPF,cellchatdb
HBEGF,HBEGF,0.32,0.024512337851253507,7.5664897,ERBB2,ERBB2_ERBB4,0.10909090909090909,0.0,Macrophage,Fibroblast,0.0,010I,IPF,cellchatdb
AREG,AREG,0.542,0.08078144576899593,7.5664897,ERBB2,EGFR_ERBB2,0.10909090909090909,0.0,Macrophage_Alveolar,Fibroblast,0.0,010I,IPF,cellchatdb
HBEGF,HBEGF,0.43,0.026331668362550298,7.5664897,ERBB2,EGFR_ERBB2,0.10909090909090909,0.0,Macrophage_Alveolar,Fibroblast,0.0,010I,IPF,cellchatdb
HBEGF,HBEGF,0.43,0.026331668362550298,7.5664897,ERBB2,ERBB2_ERBB4,0.10909090909090909,0.0,Macrophage_Alveolar,Fibroblast,0.0,010I,IPF,cellchatdb
VEGFA,VEGFA,0.36363636363636365,0.02748981054033095,7.5664897,FLT1,FLT1,0.144,0.0,Fibroblast,Macrophage,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.622,0.08249155937749109,7.5664897,ACVR1,ACVR1_TGFBR1_TGFBR2,0.23636363636363636,0.0,Macrophage_Alveolar,Fibroblast,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.18181818181818182,0.0,7.5664897,TGFBR1,TGFBR1_TGFBR2,0.258,0.012086043088603282,Fibroblast,Macrophage,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.18181818181818182,0.0,7.5664897,ACVR1B,ACVR1B_TGFBR2,0.154,0.0,Fibroblast,Macrophage,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.18181818181818182,0.0,7.5664897,ACVR1,ACVR1_TGFBR1_TGFBR2,0.146,0.0,Fibroblast,Macrophage,0.0,010I,IPF,cellchatdb
CXCL12,CXCL12,0.2727272727272727,0.019521852284899444,7.5664897,ACKR3,ACKR3,0.174,0.0,Fibroblast,Macrophage_Alveolar,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.18181818181818182,0.0,7.5664897,TGFBR1,TGFBR1_TGFBR2,0.298,0.01811428149058214,Fibroblast,Macrophage_Alveolar,0.0,010I,IPF,cellchatdb
FGF7,FGF7,0.5272727272727272,0.07826377736324996,7.5664897,FGFR1,FGFR1,0.114,0.0,Fibroblast,Macrophage_Alveolar,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.18181818181818182,0.0,7.5664897,ACVR1B,ACVR1B_TGFBR2,0.168,0.0,Fibroblast,Macrophage_Alveolar,0.0,010I,IPF,cellchatdb
TGFB1,TGFB1,0.18181818181818182,0.0,7.5664897,ACVR1,ACVR1_TGFBR1_TGFBR2,0.164,0.0,Fibroblast,Macrophage_Alveolar,0.0,010I,IPF,cellchatdb
