ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,LPP,LPP,0.8471615720524017,0.2712458152820396,Macrophage,Myofibroblast,0.04149687886822678,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,LPP,LPP,0.8471615720524017,0.2712458152820396,Macrophage_Alveolar,Myofibroblast,0.036432244560072095,063I,IPF,consensus
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,CAV1,CAV1,0.5283842794759825,0.12843231202430694,Macrophage,Myofibroblast,0.020087253601982887,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,CAV1,CAV1,0.5283842794759825,0.12843231202430694,Macrophage_Alveolar,Myofibroblast,0.017587686725987522,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,LPP,LPP,0.882,0.21207853868970838,Myofibroblast,Macrophage_Alveolar,0.01516157419895831,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,LPP,LPP,0.72,0.1669258389763728,Myofibroblast,Macrophage,0.011972236959692878,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ITGB8,ITGB8,0.726,0.14401705108219032,Myofibroblast,Macrophage_Alveolar,0.010346174755864794,063I,IPF,consensus
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,ITGB1,ITGB1,0.4759825327510917,0.04887900210470697,Macrophage,Myofibroblast,0.007741162100099582,063I,IPF,consensus
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,TGFBR3,TGFBR3,0.4366812227074236,0.048351115270461875,Macrophage,Myofibroblast,0.007658198813710932,063I,IPF,consensus
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,ITGB5,ITGB5,0.43231441048034935,0.04481566808212101,Macrophage,Myofibroblast,0.007102206176048724,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,SDC2,SDC2,0.506,0.09761062923274721,Myofibroblast,Macrophage,0.007035796874225944,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,ITGB1,ITGB1,0.4759825327510917,0.04887900210470697,Macrophage_Alveolar,Myofibroblast,0.006767277312668307,063I,IPF,consensus
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,SDC2,SDC2,0.3537117903930131,0.04266304671096677,Macrophage,Myofibroblast,0.006763374679511041,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,TGFBR3,TGFBR3,0.4366812227074236,0.048351115270461875,Macrophage_Alveolar,Myofibroblast,0.006694680887683862,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,SDC2,SDC2,0.528,0.08875242115874427,Myofibroblast,Macrophage_Alveolar,0.006401382468067269,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,ITGB5,ITGB5,0.43231441048034935,0.04481566808212101,Macrophage_Alveolar,Myofibroblast,0.006208202953224787,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,SDC2,SDC2,0.3537117903930131,0.04266304671096677,Macrophage_Alveolar,Myofibroblast,0.005911768545857411,063I,IPF,consensus
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,EGFR,EGFR,0.2838427947598253,0.026719154414545088,Macrophage,Myofibroblast,0.004246522179316334,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,CXCR4,CXCR4,0.49,0.057389861531087494,Myofibroblast,Macrophage,0.004148702171772881,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,EGFR,EGFR,0.2838427947598253,0.026719154414545088,Macrophage_Alveolar,Myofibroblast,0.0037106400306816476,063I,IPF,consensus
TGFB1,TGFB1,0.512,0.07980477165686617,7.3725753,ACVR1,ACVR1_TGFBR2,0.2576419213973799,0.022183810575171492,Macrophage,Myofibroblast,0.003528255212715078,063I,IPF,consensus
TGFB1,TGFB1,0.52,0.06969644517684781,7.3725753,ACVR1,ACVR1_TGFBR2,0.2576419213973799,0.022183810575171492,Macrophage_Alveolar,Myofibroblast,0.003082732846780877,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ENG,ENG,0.36,0.0322022499613106,Myofibroblast,Macrophage,0.0023321409032818173,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ITGB1,ITGB1,0.444,0.02930254330665849,Myofibroblast,Macrophage_Alveolar,0.0021225850346190053,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,CXCR4,CXCR4,0.384,0.028143934481528188,Myofibroblast,Macrophage_Alveolar,0.0020388301283236587,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ENG,ENG,0.444,0.028066666506454396,Myofibroblast,Macrophage_Alveolar,0.0020332439880505902,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ITGB1,ITGB1,0.296,0.025976726896609348,Myofibroblast,Macrophage,0.0018821266717955116,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ITGB5,ITGB5,0.292,0.019906246082890267,Myofibroblast,Macrophage_Alveolar,0.0014429286219846092,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ACVR1,ACVR1_TGFBR2,0.15,0.0,Myofibroblast,Macrophage_Alveolar,0.0,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ACVR1B,ACVR1B_TGFBR2,0.114,0.0,Myofibroblast,Macrophage_Alveolar,0.0,063I,IPF,consensus
VEGFA,VEGFA,0.18777292576419213,0.0,7.3725753,CD44,CD44,0.87,0.29668391641063385,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ACVR1,ACVR1_TGFBR1_TGFBR2,0.15,0.0,Myofibroblast,Macrophage_Alveolar,0.0,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,TGFBR1,TGFBR1_TGFBR2,0.218,0.0,Myofibroblast,Macrophage_Alveolar,0.0,063I,IPF,consensus
CXCL12,CXCL12,0.2183406113537118,0.0,7.3725753,CXCR4,CXCR4,0.49,0.057389861531087494,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
CXCL12,CXCL12,0.2183406113537118,0.0,7.3725753,CD4,CD4,0.318,0.028528277955103265,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
FGF7,FGF7,0.19213973799126638,0.0,7.3725753,NRP1,NRP1,0.298,0.023461522376672095,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
CXCL12,CXCL12,0.2183406113537118,0.0,7.3725753,ITGAV,ITGAV,0.366,0.03579238471385082,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
CXCL12,CXCL12,0.2183406113537118,0.0,7.3725753,ITGB1,ITGB1,0.296,0.025976726896609348,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
VEGFA,VEGFA,0.18777292576419213,0.0,7.3725753,SIRPA,SIRPA,0.394,0.03549782171791138,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
VEGFA,VEGFA,0.18777292576419213,0.0,7.3725753,ITGAV,ITGAV,0.366,0.03579238471385082,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
VEGFA,VEGFA,0.18777292576419213,0.0,7.3725753,NRP2,NRP2,0.292,0.027221098131274823,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
VEGFA,VEGFA,0.18777292576419213,0.0,7.3725753,ITGB1,ITGB1,0.296,0.025976726896609348,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ITGB5,ITGB5,0.138,0.0,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,ITGB8,ITGB8,0.24,0.0,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
VEGFA,VEGFA,0.18777292576419213,0.0,7.3725753,NRP1,NRP1,0.298,0.023461522376672095,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
CCL2,CCL2,0.2838427947598253,0.038456662996289026,7.3725753,CCR1,CCR1,0.216,0.0,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
TGFB1,TGFB1,0.314410480349345,0.036295484029391645,7.3725753,TGFBR1,TGFBR1_TGFBR2,0.23,0.0,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
CXCL12,CXCL12,0.2183406113537118,0.0,7.3725753,SDC4,SDC4,0.394,0.0399181493684897,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
CXCL12,CXCL12,0.2183406113537118,0.0,7.3725753,ITGA5,ITGA5,0.232,0.0,Myofibroblast,Macrophage,0.0,063I,IPF,consensus
VEGFA,VEGFA,0.18777292576419213,0.0,7.3725753,ITGAV,ITGAV,0.412,0.029223823127394466,Myofibroblast,Macrophage_Alveolar,0.0,063I,IPF,consensus
CXCL12,CXCL12,0.2183406113537118,0.0,7.3725753,ITGAV,ITGAV,0.412,0.029223823127394466,Myofibroblast,Macrophage_Alveolar,0.0,063I,IPF,consensus
