ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,LPP,LPP,0.8646616541353384,0.21200190777359307,Macrophage_Alveolar,ATII,0.03854010745241868,226C,control,consensus
VEGFA,VEGFA,0.494,0.050850047493614214,7.9036536,CD44,CD44,0.8646616541353384,0.20903047395649832,Macrophage,ATII,0.020815905807894303,226C,control,consensus
TGFB1,TGFB1,0.442,0.04183570177758544,7.9036536,LPP,LPP,0.8646616541353384,0.21200190777359307,Macrophage,ATII,0.017429327110003973,226C,control,consensus
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,ITGB1,ITGB1,0.5939849624060151,0.09054447131510379,Macrophage_Alveolar,ATII,0.01683184488811246,226C,control,consensus
HBEGF,HBEGF,0.332,0.03734092887300888,7.9036536,CD44,CD44,0.8646616541353384,0.20903047395649832,Macrophage,ATII,0.015370833359276467,226C,control,consensus
IL1B,IL1B,0.774,0.29475476078676577,7.9036536,ADRB2,ADRB2,0.3308270676691729,0.023866818392195288,Macrophage,ATII,0.013874506318721499,226C,control,consensus
HBEGF,HBEGF,0.332,0.03734092887300888,7.9036536,CD9,CD9,0.7293233082706767,0.16274930403065824,Macrophage,ATII,0.012008464446971732,226C,control,consensus
CXCL2,CXCL2,0.862,0.3818629781965246,7.9036536,DPP4,DPP4,0.2781954887218045,0.012842136116780978,Macrophage,ATII,0.009712612619875464,226C,control,consensus
VEGFA,VEGFA,0.494,0.050850047493614214,7.9036536,ITGB1,ITGB1,0.5939849624060151,0.09054447131510379,Macrophage,ATII,0.009124360740195988,226C,control,consensus
TGFB1,TGFB1,0.442,0.04183570177758544,7.9036536,ITGB1,ITGB1,0.5939849624060151,0.09054447131510379,Macrophage,ATII,0.007519019038688663,226C,control,consensus
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,CAV1,CAV1,0.46616541353383456,0.03738796178139214,Macrophage_Alveolar,ATII,0.007019633396189775,226C,control,consensus
TGFB1,TGFB1,0.5511111111111111,0.09453921331640736,7.9036536,EGFR,EGFR,0.49624060150375937,0.036220073571437084,Macrophage_Alveolar,ATII,0.006801852482050884,226C,control,consensus
IL1B,IL1B,0.64,0.13594115144986674,7.9036536,ADRB2,ADRB2,0.3308270676691729,0.023866818392195288,Macrophage_Alveolar,ATII,0.006447130340699631,226C,control,consensus
