donor,source,target,disease
010I,Fibroblast,Macrophage,IPF
010I,Fibroblast,Macrophage_Alveolar,IPF
010I,Macrophage,Fibroblast,IPF
010I,Macrophage_Alveolar,Fibroblast,IPF
021I,Fibroblast,Macrophage,IPF
021I,Fibroblast,Macrophage_Alveolar,IPF
021I,Macrophage,Fibroblast,IPF
021I,Macrophage,Myofibroblast,IPF
021I,Macrophage_Alveolar,Fibroblast,IPF
021I,Macrophage_Alveolar,Myofibroblast,IPF
021I,Myofibroblast,Macrophage,IPF
021I,Myofibroblast,Macrophage_Alveolar,IPF
022I,ATII,Fibroblast,IPF
022I,ATII,Myofibroblast,IPF
022I,Fibroblast,ATII,IPF
022I,Fibroblast,Macrophage,IPF
022I,Fibroblast,Macrophage_Alveolar,IPF
022I,Macrophage,ATII,IPF
022I,Macrophage,Fibroblast,IPF
022I,Macrophage,Myofibroblast,IPF
022I,Macrophage_Alveolar,ATII,IPF
022I,Macrophage_Alveolar,Fibroblast,IPF
022I,Macrophage_Alveolar,Myofibroblast,IPF
022I,Myofibroblast,ATII,IPF
022I,Myofibroblast,Macrophage,IPF
022I,Myofibroblast,Macrophage_Alveolar,IPF
034I,Macrophage,Myofibroblast,IPF
034I,Myofibroblast,Macrophage,IPF
040I,Fibroblast,Macrophage,IPF
040I,Fibroblast,Macrophage_Alveolar,IPF
040I,Macrophage,Fibroblast,IPF
040I,Macrophage,Myofibroblast,IPF
040I,Macrophage_Alveolar,Fibroblast,IPF
040I,Macrophage_Alveolar,Myofibroblast,IPF
040I,Myofibroblast,Macrophage,IPF
040I,Myofibroblast,Macrophage_Alveolar,IPF
041I,Fibroblast,Macrophage,IPF
041I,Fibroblast,Macrophage_Alveolar,IPF
041I,Macrophage,Fibroblast,IPF
041I,Macrophage_Alveolar,Fibroblast,IPF
051I,Fibroblast,Macrophage,IPF
051I,Fibroblast,Macrophage_Alveolar,IPF
051I,Macrophage,Fibroblast,IPF
051I,Macrophage,Myofibroblast,IPF
051I,Macrophage_Alveolar,Fibroblast,IPF
051I,Macrophage_Alveolar,Myofibroblast,IPF
051I,Myofibroblast,Macrophage,IPF
051I,Myofibroblast,Macrophage_Alveolar,IPF
063I,Macrophage,Myofibroblast,IPF
063I,Macrophage_Alveolar,Myofibroblast,IPF
063I,Myofibroblast,Macrophage,IPF
063I,Myofibroblast,Macrophage_Alveolar,IPF
098C,ATII,Fibroblast,control
