donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
THD0001,control,AT1,11,2218,0.004959422903516681
THD0001,control,AT2,1219,2218,0.5495942290351669
THD0001,control,B Cells,1,2218,0.0004508566275924256
THD0001,control,Basal,2,2218,0.0009017132551848512
THD0001,control,Ciliated,8,2218,0.0036068530207394047
THD0001,control,Endothelial Cells,62,2218,0.027953110910730387
THD0001,control,Fibroblasts,4,2218,0.0018034265103697023
THD0001,control,Lymphatic Endothelial Cells,8,2218,0.0036068530207394047
THD0001,control,MUC5B+,3,2218,0.001352569882777277
THD0001,control,Macrophages,292,2218,0.13165013525698827
THD0001,control,Mast Cells,6,2218,0.002705139765554554
THD0001,control,Mesothelial Cells,1,2218,0.0004508566275924256
THD0001,control,Monocytes,437,2218,0.19702434625789
THD0001,control,Myofibroblasts,2,2218,0.0009017132551848512
THD0001,control,NK Cells,28,2218,0.012623985572587917
THD0001,control,PLIN2+ Fibroblasts,3,2218,0.001352569882777277
THD0001,control,Plasma Cells,4,2218,0.0018034265103697023
THD0001,control,Proliferating Epithelial Cells,47,2218,0.021190261496844005
THD0001,control,Proliferating Macrophages,3,2218,0.001352569882777277
THD0001,control,Proliferating T Cells,4,2218,0.0018034265103697023
THD0001,control,SCGB3A2+,2,2218,0.0009017132551848512
THD0001,control,SCGB3A2+ SCGB1A1+,1,2218,0.0004508566275924256
THD0001,control,Smooth Muscle Cells,1,2218,0.0004508566275924256
THD0001,control,T Cells,9,2218,0.0040577096483318306
THD0001,control,Transitional AT2,38,2218,0.017132551848512173
THD0001,control,cDCs,22,2218,0.009918845807033363
THD0002,control,AT1,104,2647,0.039289761994710994
THD0002,control,AT2,1044,2647,0.3944087646392142
THD0002,control,Basal,12,2647,0.004533434076312807
THD0002,control,Ciliated,34,2647,0.012844729882886286
THD0002,control,Differentiating Ciliated,2,2647,0.0007555723460521345
THD0002,control,Endothelial Cells,187,2647,0.07064601435587457
THD0002,control,Fibroblasts,23,2647,0.008689081979599547
THD0002,control,Lymphatic Endothelial Cells,19,2647,0.007177937287495277
THD0002,control,MUC5B+,1,2647,0.00037778617302606723
THD0002,control,Macrophages,748,2647,0.2825840574234983
THD0002,control,Mast Cells,1,2647,0.00037778617302606723
THD0002,control,Monocytes,349,2647,0.13184737438609748
THD0002,control,Myofibroblasts,14,2647,0.005289006422364941
THD0002,control,NK Cells,1,2647,0.00037778617302606723
THD0002,control,Plasma Cells,2,2647,0.0007555723460521345
THD0002,control,Proliferating Macrophages,7,2647,0.0026445032111824707
THD0002,control,Proliferating T Cells,1,2647,0.00037778617302606723
THD0002,control,SCGB3A2+,20,2647,0.007555723460521345
THD0002,control,SCGB3A2+ SCGB1A1+,12,2647,0.004533434076312807
THD0002,control,Smooth Muscle Cells,24,2647,0.009066868152625614
THD0002,control,T Cells,1,2647,0.00037778617302606723
THD0002,control,Transitional AT2,29,2647,0.01095579901775595
THD0002,control,cDCs,12,2647,0.004533434076312807
THD0005,control,AT1,56,3494,0.01602747567258157
THD0005,control,AT2,30,3494,0.008586147681740127
THD0005,control,B Cells,8,3494,0.0022896393817973667
THD0005,control,Basal,1,3494,0.00028620492272467084
THD0005,control,Ciliated,143,3494,0.04092730394962794
THD0005,control,Endothelial Cells,553,3494,0.15827132226674298
THD0005,control,Fibroblasts,1,3494,0.00028620492272467084
THD0005,control,Lymphatic Endothelial Cells,141,3494,0.04035489410417859
THD0005,control,MUC5B+,1,3494,0.00028620492272467084
THD0005,control,Macrophages,958,3494,0.2741843159702347
THD0005,control,Mast Cells,179,3494,0.051230681167716084
THD0005,control,Mesothelial Cells,26,3494,0.007441327990841442
THD0005,control,Monocytes,863,3494,0.24699484831139096
THD0005,control,Myofibroblasts,11,3494,0.0031482541499713796
THD0005,control,NK Cells,23,3494,0.00658271322266743
THD0005,control,PLIN2+ Fibroblasts,1,3494,0.00028620492272467084
THD0005,control,Plasma Cells,134,3494,0.0383514596451059
THD0005,control,Proliferating Macrophages,11,3494,0.0031482541499713796
THD0005,control,Proliferating T Cells,72,3494,0.0206067544361763
THD0005,control,SCGB3A2+,7,3494,0.002003434459072696
THD0005,control,Smooth Muscle Cells,14,3494,0.004006868918145392
THD0005,control,T Cells,221,3494,0.06325128792215226
THD0005,control,Transitional AT2,4,3494,0.0011448196908986834
THD0005,control,cDCs,27,3494,0.007727532913566113
THD0005,control,pDCs,9,3494,0.0025758443045220377
TILD001,IPF,AT2,2,2128,0.0009398496240601503
TILD001,IPF,B Cells,1,2128,0.00046992481203007516
TILD001,IPF,Basal,27,2128,0.01268796992481203
TILD001,IPF,Ciliated,106,2128,0.04981203007518797
TILD001,IPF,Differentiating Ciliated,3,2128,0.0014097744360902255
TILD001,IPF,Endothelial Cells,50,2128,0.023496240601503758
TILD001,IPF,Fibroblasts,7,2128,0.003289473684210526
TILD001,IPF,HAS1 High Fibroblasts,179,2128,0.08411654135338346
TILD001,IPF,Lymphatic Endothelial Cells,4,2128,0.0018796992481203006
TILD001,IPF,MUC5AC+ High,1,2128,0.00046992481203007516
TILD001,IPF,MUC5B+,15,2128,0.007048872180451127
TILD001,IPF,Macrophages,431,2128,0.2025375939849624
TILD001,IPF,Mast Cells,15,2128,0.007048872180451127
TILD001,IPF,Mesothelial Cells,1,2128,0.00046992481203007516
TILD001,IPF,Monocytes,243,2128,0.11419172932330827
TILD001,IPF,Myofibroblasts,53,2128,0.024906015037593984
TILD001,IPF,PLIN2+ Fibroblasts,830,2128,0.3900375939849624
TILD001,IPF,Proliferating Macrophages,4,2128,0.0018796992481203006
TILD001,IPF,Proliferating T Cells,1,2128,0.00046992481203007516
TILD001,IPF,SCGB3A2+,46,2128,0.021616541353383457
TILD001,IPF,SCGB3A2+ SCGB1A1+,30,2128,0.014097744360902255
TILD001,IPF,Smooth Muscle Cells,34,2128,0.015977443609022556
TILD001,IPF,T Cells,2,2128,0.0009398496240601503
TILD001,IPF,cDCs,43,2128,0.020206766917293232
TILD006,IPF,AT2,36,3313,0.010866284334440085
TILD006,IPF,B Cells,7,3313,0.002112888620585572
TILD006,IPF,Basal,29,3313,0.008753395713854513
TILD006,IPF,Ciliated,89,3313,0.026863869604587986
TILD006,IPF,Differentiating Ciliated,7,3313,0.002112888620585572
TILD006,IPF,Endothelial Cells,229,3313,0.06912164201629943
TILD006,IPF,Fibroblasts,40,3313,0.012073649260488983
TILD006,IPF,KRT5-/KRT17+,15,3313,0.004527618472683369
TILD006,IPF,Lymphatic Endothelial Cells,7,3313,0.002112888620585572
TILD006,IPF,MUC5B+,41,3313,0.012375490492001207
TILD006,IPF,Macrophages,2122,3313,0.6405070932689405
TILD006,IPF,Mast Cells,12,3313,0.003622094778146695
TILD006,IPF,Mesothelial Cells,4,3313,0.0012073649260488982
TILD006,IPF,Monocytes,18,3313,0.005433142167220043
TILD006,IPF,Myofibroblasts,117,3313,0.035315424086930274
