config,donor,disease,resource,cells,pairs,retained_edges
all_cells_primary,010I,IPF,consensus,2857,4,106
all_cells_primary,010I,IPF,cellchatdb,2857,4,31
all_cells_primary,021I,IPF,consensus,1228,8,252
all_cells_primary,021I,IPF,cellchatdb,1228,8,70
all_cells_primary,022I,IPF,consensus,2702,14,380
all_cells_primary,022I,IPF,cellchatdb,2702,14,112
all_cells_primary,034I,IPF,consensus,2075,2,49
all_cells_primary,034I,IPF,cellchatdb,2075,2,12
all_cells_primary,040I,IPF,consensus,3587,8,233
all_cells_primary,040I,IPF,cellchatdb,3587,8,74
all_cells_primary,041I,IPF,consensus,2460,4,124
all_cells_primary,041I,IPF,cellchatdb,2460,4,36
all_cells_primary,49I,IPF,consensus,2537,4,111
all_cells_primary,49I,IPF,cellchatdb,2537,4,35
all_cells_primary,051I,IPF,consensus,4557,8,223
all_cells_primary,051I,IPF,cellchatdb,4557,8,51
all_cells_primary,063I,IPF,consensus,2820,4,96
all_cells_primary,063I,IPF,cellchatdb,2820,4,20
all_cells_primary,098C,control,consensus,5783,8,155
all_cells_primary,098C,control,cellchatdb,5783,8,27
all_cells_primary,133C,control,consensus,6989,2,50
all_cells_primary,133C,control,cellchatdb,6989,2,17
all_cells_primary,135I,IPF,consensus,4059,4,109
all_cells_primary,135I,IPF,cellchatdb,4059,4,27
all_cells_primary,138I,IPF,consensus,2153,4,143
all_cells_primary,138I,IPF,cellchatdb,2153,4,42
all_cells_primary,158I,IPF,consensus,3950,2,33
all_cells_primary,158I,IPF,cellchatdb,3950,2,8
all_cells_primary,160C,control,consensus,3862,2,35
all_cells_primary,160C,control,cellchatdb,3862,2,12
all_cells_primary,174I,IPF,consensus,3025,4,104
all_cells_primary,174I,IPF,cellchatdb,3025,4,28
all_cells_primary,192C,control,consensus,3282,8,292
all_cells_primary,192C,control,cellchatdb,3282,8,89
all_cells_primary,222C,control,consensus,5619,14,325
all_cells_primary,222C,control,cellchatdb,5619,14,90
all_cells_primary,225I,IPF,consensus,8718,8,131
all_cells_primary,225I,IPF,cellchatdb,8718,8,36
all_cells_primary,226C,control,consensus,9400,2,68
all_cells_primary,226C,control,cellchatdb,9400,2,20
all_cells_primary,228I,IPF,consensus,2455,8,254
all_cells_primary,228I,IPF,cellchatdb,2455,8,72
all_cells_primary,296C,control,consensus,2000,2,43
all_cells_primary,296C,control,cellchatdb,2000,2,16
all_cells_primary,396C,control,consensus,1125,2,19
all_cells_primary,396C,control,cellchatdb,1125,2,5
all_cells_primary,454C,control,consensus,617,2,38
all_cells_primary,454C,control,cellchatdb,617,2,13
all_cells_primary,1372C,control,consensus,2927,8,217
all_cells_primary,1372C,control,cellchatdb,2927,8,53
