"compartment","label","donor","disease","cells"
"AT2","ATII","022I","IPF",53
"AT2","ATII","098C","control",113
"AT2","ATII","133C","control",1514
"AT2","ATII","1372C","control",119
"AT2","ATII","158I","IPF",123
"AT2","ATII","160C","control",55
"AT2","ATII","192C","control",87
"AT2","ATII","222C","control",120
"AT2","ATII","225I","IPF",60
"AT2","ATII","226C","control",133
"AT2","ATII","296C","control",88
"AT2","ATII","396C","control",170
"AT2","ATII","454C","control",89
"fibroblasts","__broad__","010I","IPF",67
"fibroblasts","__broad__","021I","IPF",406
"fibroblasts","__broad__","022I","IPF",425
"fibroblasts","__broad__","034I","IPF",457
"fibroblasts","__broad__","040I","IPF",248
"fibroblasts","__broad__","041I","IPF",129
"fibroblasts","__broad__","051I","IPF",363
"fibroblasts","__broad__","063I","IPF",239
"fibroblasts","__broad__","098C","control",201
"fibroblasts","__broad__","123I","IPF",73
"fibroblasts","__broad__","135I","IPF",81
"fibroblasts","__broad__","1372C","control",195
"fibroblasts","__broad__","138I","IPF",264
"fibroblasts","__broad__","166I","IPF",72
"fibroblasts","__broad__","174I","IPF",79
"fibroblasts","__broad__","192C","control",116
"fibroblasts","__broad__","222C","control",137
"fibroblasts","__broad__","222I","IPF",93
"fibroblasts","__broad__","225I","IPF",608
"fibroblasts","__broad__","228I","IPF",240
"fibroblasts","__broad__","49I","IPF",103
"fibroblasts","__broad__","59I","IPF",52
"fibroblasts","Fibroblast","010I","IPF",55
"fibroblasts","Fibroblast","021I","IPF",120
"fibroblasts","Fibroblast","022I","IPF",134
"fibroblasts","Fibroblast","040I","IPF",102
"fibroblasts","Fibroblast","041I","IPF",92
"fibroblasts","Fibroblast","051I","IPF",144
"fibroblasts","Fibroblast","098C","control",177
"fibroblasts","Fibroblast","135I","IPF",72
"fibroblasts","Fibroblast","1372C","control",190
"fibroblasts","Fibroblast","138I","IPF",187
"fibroblasts","Fibroblast","174I","IPF",52
"fibroblasts","Fibroblast","192C","control",111
"fibroblasts","Fibroblast","222C","control",85
"fibroblasts","Fibroblast","228I","IPF",55
"macrophages","__broad__","001C","control",870
"macrophages","__broad__","002C","control",578
"macrophages","__broad__","003C","control",2050
"macrophages","__broad__","010I","IPF",2802
"macrophages","__broad__","021I","IPF",822
"macrophages","__broad__","022I","IPF",2224
"macrophages","__broad__","025I","IPF",2606
"macrophages","__broad__","034C","control",601
"macrophages","__broad__","034I","IPF",1677
"macrophages","__broad__","040I","IPF",3339
"macrophages","__broad__","041I","IPF",2368
"macrophages","__broad__","051I","IPF",4194
"macrophages","__broad__","053I","IPF",2232
"macrophages","__broad__","063I","IPF",2591
"macrophages","__broad__","065C","control",1489
"macrophages","__broad__","081C","control",845
"macrophages","__broad__","084C","control",348
"macrophages","__broad__","092C","control",3978
"macrophages","__broad__","098C","control",5493
"macrophages","__broad__","123I","IPF",997
"macrophages","__broad__","133C","control",5475
"macrophages","__broad__","135I","IPF",3987
"macrophages","__broad__","1372C","control",2618
"macrophages","__broad__","137C","control",695
"macrophages","__broad__","138I","IPF",1919
"macrophages","__broad__","145I","IPF",2670
"macrophages","__broad__","157I","IPF",4047
"macrophages","__broad__","158I","IPF",3827
"macrophages","__broad__","160C","control",3807
"macrophages","__broad__","166I","IPF",3856
"macrophages","__broad__","174I","IPF",2973
"macrophages","__broad__","177I","IPF",4409
"macrophages","__broad__","179I","IPF",2990
"macrophages","__broad__","192C","control",3084
"macrophages","__broad__","208C","control",1747
"macrophages","__broad__","209I","IPF",2819
"macrophages","__broad__","210I","IPF",1865
"macrophages","__broad__","212I","IPF",2384
"macrophages","__broad__","214I","IPF",578
"macrophages","__broad__","218C","control",3819
"macrophages","__broad__","221I","IPF",3321
"macrophages","__broad__","222C","control",5362
"macrophages","__broad__","222I","IPF",4547
"macrophages","__broad__","225I","IPF",8086
"macrophages","__broad__","226C","control",9267
"macrophages","__broad__","228I","IPF",2215
"macrophages","__broad__","253C","control",350
"macrophages","__broad__","296C","control",1912
"macrophages","__broad__","29I","IPF",914
