cohort,compartment,label,direction,scope,ligand,primary_pearson,primary_rank,planned_omissions,eligible_omissions,complete_omission_coverage,min_rank,max_rank,minimum_pearson,maximum_pearson
GSE135893,AT2,AT2,down,focused_triad,AREG,0.0025882380772254,1.0,14,14,True,1.0,2.0,-0.0084604361264765,0.0130041246259924
GSE135893,AT2,AT2,down,focused_triad,CXCL2,-0.0095847759043624,3.0,14,14,True,2.0,4.0,-0.0189496816959042,-0.0001281159916568
GSE135893,AT2,AT2,down,focused_triad,HBEGF,-0.0162604971144913,4.0,14,14,True,3.0,4.0,-0.0214457659638818,-0.0006303221932814
GSE135893,AT2,AT2,down,focused_triad,VEGFA,0.0002902328380818,2.0,14,11,False,1.0,2.0,-0.0140994397807508,0.0094626737908855
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,AREG,0.0025882380772254,8.0,14,14,True,5.0,10.0,-0.0084604361264765,0.0130041246259924
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,CXCL12,-0.002931691950803,10.0,14,14,True,6.0,11.0,-0.0133722282358113,0.0144837363889036
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,CXCL2,-0.0095847759043624,11.0,14,14,True,7.0,12.0,-0.0189496816959042,-0.0001281159916568
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,HBEGF,-0.0162604971144913,12.0,14,14,True,8.0,12.0,-0.0214457659638818,-0.0006303221932814
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,VEGFA,0.0002902328380818,9.0,14,14,True,4.0,10.0,-0.0140994397807508,0.0105309861790385
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,WNT10A,0.0292444784505148,1.0,14,12,False,1.0,2.0,0.0135118632790846,0.031547141097
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,WNT4,0.0244975056164281,6.0,14,11,False,4.0,7.0,0.0099499157701119,0.0276851179261252
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,WNT5A,0.0200364362009348,7.0,14,14,True,2.0,8.0,-0.0019068191913232,0.0286429969801022
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,WNT5B,0.0266929823739701,5.0,14,14,True,2.0,6.0,0.011764095853384,0.0319352449802862
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,WNT7A,0.0287396513839128,2.0,14,11,False,1.0,4.0,0.0125010361913068,0.0316451987458596
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,WNT7B,0.0286580108923735,3.0,14,14,True,1.0,4.0,0.0122677755512982,0.0339449610667938
GSE135893,AT2,AT2,down,source_agnostic_planned_panel,WNT9A,0.0277005702313472,4.0,14,11,False,2.0,5.0,0.0119598559332235,0.0306207349984153
GSE135893,AT2,AT2,up,focused_triad,AREG,0.0586034343479417,2.0,14,14,True,2.0,3.0,0.0388962717126364,0.0672662513341877
GSE135893,AT2,AT2,up,focused_triad,CXCL2,0.0743551444482965,1.0,14,14,True,1.0,1.0,0.064859576841757,0.0896931036321724
GSE135893,AT2,AT2,up,focused_triad,HBEGF,0.0254231253141076,4.0,14,14,True,3.0,4.0,0.0175596353301824,0.0360730233367401
GSE135893,AT2,AT2,up,focused_triad,VEGFA,0.0419813062484859,3.0,14,11,False,2.0,3.0,0.0383596735113019,0.0556488651175856
GSE135893,AT2,AT2,up,source_agnostic_planned_panel,AREG,0.0586034343479417,10.0,14,14,True,3.0,11.0,0.0388962717126364,0.0672662513341877
GSE135893,AT2,AT2,up,source_agnostic_planned_panel,CXCL12,0.0627386843481812,5.0,14,14,True,1.0,9.0,0.0551087072310464,0.0819265733233219
GSE135893,AT2,AT2,up,source_agnostic_planned_panel,CXCL2,0.0743551444482965,2.0,14,14,True,1.0,3.0,0.064859576841757,0.0896931036321724
GSE135893,AT2,AT2,up,source_agnostic_planned_panel,HBEGF,0.0254231253141076,12.0,14,14,True,8.0,12.0,0.0175596353301824,0.0360730233367401
GSE135893,AT2,AT2,up,source_agnostic_planned_panel,VEGFA,0.0419813062484859,11.0,14,14,True,7.0,11.0,0.0344866072418408,0.0556488651175856
GSE135893,AT2,AT2,up,source_agnostic_planned_panel,WNT10A,0.059969965615508,9.0,14,12,False,6.0,10.0,0.0456270972887647,0.0673600549425424
GSE135893,AT2,AT2,up,source_agnostic_planned_panel,WNT4,0.0660745434237342,3.0,14,11,False,2.0,5.0,0.0536122431513783,0.0741880462700512
