series,module,case,reference,n_case,n_reference,case_mean,reference_mean,difference,inference
GSE267226,GENE_AGER,PASC-PF,control,3,2,0.5334234253920433,2.5708817224394895,-2.037458297047446,descriptive_only
GSE267226,GENE_AQP5,PASC-PF,control,3,2,0.17290406849292028,0.03884701875770975,0.13405704973521054,descriptive_only
GSE267226,GENE_AREG,PASC-PF,control,3,2,0.23384277844011173,0.3075274461824409,-0.07368466774232915,descriptive_only
GSE267226,GENE_C1QA,PASC-PF,control,3,2,1.148027162704191,1.2738933513787007,-0.12586618867450983,descriptive_only
GSE267226,GENE_CCL2,PASC-PF,control,3,2,0.25506425095618007,0.2845643697279546,-0.029500118771774553,descriptive_only
GSE267226,GENE_CD3D,PASC-PF,control,3,2,0.1303522202337294,0.03352998536619735,0.09682223486753204,descriptive_only
GSE267226,GENE_CD8A,PASC-PF,control,3,2,0.12562257684331574,0.05697849747278845,0.06864407937052729,descriptive_only
GSE267226,GENE_CLDN4,PASC-PF,control,3,2,0.2948503608954625,0.6685135712279231,-0.3736632103324606,descriptive_only
GSE267226,GENE_COL1A1,PASC-PF,control,3,2,3.3245570581309347,1.4962382294740337,1.828318828656901,descriptive_only
GSE267226,GENE_CXCL12,PASC-PF,control,3,2,1.4061062236151576,0.3041478484253546,1.101958375189803,descriptive_only
GSE267226,GENE_FGF10,PASC-PF,control,3,2,0.13742533200974374,0.0847962315851908,0.052629100424552946,descriptive_only
GSE267226,GENE_FGF7,PASC-PF,control,3,2,0.8783916865551701,0.21440714502064614,0.6639845415345239,descriptive_only
GSE267226,GENE_HBEGF,PASC-PF,control,3,2,0.1336809253065873,0.3074504180726563,-0.17376949276606898,descriptive_only
GSE267226,GENE_IFNG,PASC-PF,control,3,2,0.02954628989872557,0.035373127747975,-0.005826837849249429,descriptive_only
GSE267226,GENE_IL1A,PASC-PF,control,3,2,0.030969770185511433,0.04492007961013815,-0.013950309424626717,descriptive_only
GSE267226,GENE_IL1B,PASC-PF,control,3,2,0.04113890211810786,0.07655738775781795,-0.03541848563971009,descriptive_only
GSE267226,GENE_IL1R1,PASC-PF,control,3,2,1.373594711076568,1.1920370911699147,0.1815576199066533,descriptive_only
GSE267226,GENE_IL1R2,PASC-PF,control,3,2,0.0870591372828155,0.3545827782841962,-0.2675236410013807,descriptive_only
GSE267226,GENE_IL1RAP,PASC-PF,control,3,2,0.20695518508040311,0.19608479746520663,0.010870387615196486,descriptive_only
GSE267226,GENE_IL1RN,PASC-PF,control,3,2,0.11939701008648695,0.0906621240490314,0.028734886037455554,descriptive_only
GSE267226,GENE_KRT17,PASC-PF,control,3,2,0.32356888034529335,0.02315462957403615,0.3004142507712572,descriptive_only
GSE267226,GENE_KRT5,PASC-PF,control,3,2,0.33072181152930663,0.0473152016690931,0.28340660986021354,descriptive_only
GSE267226,GENE_KRT8,PASC-PF,control,3,2,0.637032191287724,0.9340067179305536,-0.29697452664282953,descriptive_only
GSE267226,GENE_SFTPC,PASC-PF,control,3,2,1.8273396911448756,4.719995943166397,-2.8926562520215215,descriptive_only
GSE267226,GENE_SIGIRR,PASC-PF,control,3,2,0.4436809069617136,0.5163826691211753,-0.07270176215946167,descriptive_only
