cohort,set,source_genes,assayed_genes,assayed_fraction,pass_05,pass_07,pass_08
GSE136831,HALLMARK_E2F_TARGETS,200,196,0.98,True,True,True
GSE136831,HALLMARK_G2M_CHECKPOINT,200,196,0.98,True,True,True
GSE136831,HALLMARK_GLYCOLYSIS,200,193,0.965,True,True,True
GSE136831,HALLMARK_HYPOXIA,200,189,0.945,True,True,True
GSE136831,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,86,0.9885057471264368,True,True,True
GSE136831,HALLMARK_INFLAMMATORY_RESPONSE,200,197,0.985,True,True,True
GSE136831,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,191,0.955,True,True,True
GSE136831,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,192,0.96,True,True,True
GSE136831,HALLMARK_P53_PATHWAY,200,194,0.97,True,True,True
GSE136831,HALLMARK_TGF_BETA_SIGNALING,54,53,0.9814814814814815,True,True,True
GSE136831,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,197,0.985,True,True,True
GSE136831,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,1.0,True,True,True
GSE136831,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,300,297,0.99,True,True,True
GSE135893,HALLMARK_E2F_TARGETS,200,195,0.975,True,True,True
GSE135893,HALLMARK_G2M_CHECKPOINT,200,190,0.95,True,True,True
GSE135893,HALLMARK_GLYCOLYSIS,200,198,0.99,True,True,True
GSE135893,HALLMARK_HYPOXIA,200,194,0.97,True,True,True
GSE135893,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,87,1.0,True,True,True
GSE135893,HALLMARK_INFLAMMATORY_RESPONSE,200,199,0.995,True,True,True
GSE135893,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,196,0.98,True,True,True
GSE135893,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,184,0.92,True,True,True
GSE135893,HALLMARK_P53_PATHWAY,200,193,0.965,True,True,True
GSE135893,HALLMARK_TGF_BETA_SIGNALING,54,54,1.0,True,True,True
GSE135893,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,198,0.99,True,True,True
GSE135893,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,1.0,True,True,True
GSE135893,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,300,300,1.0,True,True,True
GSE300288,HALLMARK_E2F_TARGETS,199,195,0.9798994974874372,True,True,True
GSE300288,HALLMARK_G2M_CHECKPOINT,195,189,0.9692307692307692,True,True,True
GSE300288,HALLMARK_GLYCOLYSIS,200,197,0.985,True,True,True
GSE300288,HALLMARK_HYPOXIA,199,194,0.9748743718592965,True,True,True
GSE300288,HALLMARK_IL6_JAK_STAT3_SIGNALING,85,83,0.9764705882352941,True,True,True
GSE300288,HALLMARK_INFLAMMATORY_RESPONSE,197,196,0.9949238578680203,True,True,True
GSE300288,HALLMARK_INTERFERON_GAMMA_RESPONSE,188,181,0.9627659574468085,True,True,True
GSE300288,HALLMARK_OXIDATIVE_PHOSPHORYLATION,195,182,0.9333333333333333,True,True,True
GSE300288,HALLMARK_P53_PATHWAY,200,194,0.97,True,True,True
GSE300288,HALLMARK_TGF_BETA_SIGNALING,53,53,1.0,True,True,True
GSE300288,HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,193,0.9846938775510204,True,True,True
GSE300288,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,1.0,True,True,True
GSE300288,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,260,257,0.9884615384615385,True,True,True
GSE308103,HALLMARK_E2F_TARGETS,200,191,0.955,True,True,True
GSE308103,HALLMARK_G2M_CHECKPOINT,200,189,0.945,True,True,True
GSE308103,HALLMARK_GLYCOLYSIS,200,191,0.955,True,True,True
GSE308103,HALLMARK_HYPOXIA,200,195,0.975,True,True,True
GSE308103,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,86,0.9885057471264368,True,True,True
GSE308103,HALLMARK_INFLAMMATORY_RESPONSE,200,198,0.99,True,True,True
GSE308103,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,188,0.94,True,True,True
GSE308103,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,186,0.93,True,True,True
GSE308103,HALLMARK_P53_PATHWAY,200,190,0.95,True,True,True
GSE308103,HALLMARK_TGF_BETA_SIGNALING,54,53,0.9814814814814815,True,True,True
GSE308103,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,196,0.98,True,True,True
GSE308103,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,41,0.9761904761904762,True,True,True
GSE308103,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,300,294,0.98,True,True,True
