cohort,label,cell_floor,prior_count,module,n_IPF,n_control,eligible,difference_IPF_minus_control
GSE136831,ATII,30,1.0,ADI_published_holdout,6,11,True,-0.18882765194368112
GSE136831,ATII,30,1.0,AT1_published_holdout,6,11,True,-0.07346406464018518
GSE136831,ATII,30,1.0,AT2_published_holdout,6,11,True,-0.0055482490513281135
GSE136831,ATII,30,1.0,HALLMARK_HYPOXIA,6,11,True,-0.2811563400871355
GSE136831,ATII,30,1.0,HALLMARK_INFLAMMATORY_RESPONSE,6,11,True,-0.30671651073943673
GSE136831,ATII,30,1.0,HALLMARK_P53_PATHWAY,6,11,True,-0.06466665769400848
GSE136831,ATII,30,1.0,HPCS_author_top100,6,11,True,-0.33705296540565133
GSE136831,ATII,30,1.0,HPCS_excluding_operational_markers,6,11,True,-0.3367645517597815
GSE136831,ATII,30,1.0,HPCS_without_ADI_or_operational_markers,6,11,True,-0.375232579905592
GSE136831,ATII,30,1.0,Han_ISR_source_symbols,6,11,True,-0.32074898446042877
GSE136831,ATII,30,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,6,11,True,-0.32626046100312633
GSE136831,ATII,50,0.5,ADI_published_holdout,3,10,True,-0.1329410626013292
GSE136831,ATII,50,0.5,AT1_published_holdout,3,10,True,-0.09832696807612784
GSE136831,ATII,50,0.5,AT2_published_holdout,3,10,True,-0.05701815125338516
GSE136831,ATII,50,0.5,HALLMARK_HYPOXIA,3,10,True,-0.33563449671325385
GSE136831,ATII,50,0.5,HALLMARK_INFLAMMATORY_RESPONSE,3,10,True,-0.32672627750293026
GSE136831,ATII,50,0.5,HALLMARK_P53_PATHWAY,3,10,True,-0.19180660127783433
GSE136831,ATII,50,0.5,HPCS_author_top100,3,10,True,-0.43251583408523553
GSE136831,ATII,50,0.5,HPCS_excluding_operational_markers,3,10,True,-0.4287410064969359
GSE136831,ATII,50,0.5,HPCS_without_ADI_or_operational_markers,3,10,True,-0.4696210979874955
GSE136831,ATII,50,0.5,Han_ISR_source_symbols,3,10,True,-0.4906205677281741
GSE136831,ATII,50,0.5,Han_ISR_without_HPCS_ADI_or_operational_markers,3,10,True,-0.5230923585506915
GSE136831,ATII,50,1.0,ADI_published_holdout,3,10,True,-0.12312451898226762
GSE136831,ATII,50,1.0,AT1_published_holdout,3,10,True,-0.07758663511685526
GSE136831,ATII,50,1.0,AT2_published_holdout,3,10,True,-0.027891141158431942
GSE136831,ATII,50,1.0,HALLMARK_HYPOXIA,3,10,True,-0.27152356520410637
GSE136831,ATII,50,1.0,HALLMARK_INFLAMMATORY_RESPONSE,3,10,True,-0.25013460266755905
GSE136831,ATII,50,1.0,HALLMARK_P53_PATHWAY,3,10,True,-0.1442028395129782
GSE136831,ATII,50,1.0,HPCS_author_top100,3,10,True,-0.34331251307147426
GSE136831,ATII,50,1.0,HPCS_excluding_operational_markers,3,10,True,-0.34158452663229255
GSE136831,ATII,50,1.0,HPCS_without_ADI_or_operational_markers,3,10,True,-0.3762413936532081
GSE136831,ATII,50,1.0,Han_ISR_source_symbols,3,10,True,-0.41253705533587626
GSE136831,ATII,50,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,3,10,True,-0.44067315071829505
GSE136831,ATII,50,2.0,ADI_published_holdout,3,10,True,-0.1154291606887643
GSE136831,ATII,50,2.0,AT1_published_holdout,3,10,True,-0.06090845771452802
GSE136831,ATII,50,2.0,AT2_published_holdout,3,10,True,-0.00536943940961887
GSE136831,ATII,50,2.0,HALLMARK_HYPOXIA,3,10,True,-0.21635471751970314
GSE136831,ATII,50,2.0,HALLMARK_INFLAMMATORY_RESPONSE,3,10,True,-0.18735467595230748
GSE136831,ATII,50,2.0,HALLMARK_P53_PATHWAY,3,10,True,-0.10416730110366235
GSE136831,ATII,50,2.0,HPCS_author_top100,3,10,True,-0.2646175869409042
GSE136831,ATII,50,2.0,HPCS_excluding_operational_markers,3,10,True,-0.26425968537345046
GSE136831,ATII,50,2.0,HPCS_without_ADI_or_operational_markers,3,10,True,-0.29322549890485483
GSE136831,ATII,50,2.0,Han_ISR_source_symbols,3,10,True,-0.3423363705733502
GSE136831,ATII,50,2.0,Han_ISR_without_HPCS_ADI_or_operational_markers,3,10,True,-0.36620980900365874
GSE136831,ATII,100,1.0,ADI_published_holdout,1,6,False,-0.0104559032390803
GSE136831,ATII,100,1.0,AT1_published_holdout,1,6,False,0.11807809009364689
GSE136831,ATII,100,1.0,AT2_published_holdout,1,6,False,0.13618562620859986
GSE136831,ATII,100,1.0,HALLMARK_HYPOXIA,1,6,False,-0.21314089786712742
GSE136831,ATII,100,1.0,HALLMARK_INFLAMMATORY_RESPONSE,1,6,False,-0.2744739547784443
GSE136831,ATII,100,1.0,HALLMARK_P53_PATHWAY,1,6,False,0.04453157555818876
GSE136831,ATII,100,1.0,HPCS_author_top100,1,6,False,-0.40901464670578935
GSE136831,ATII,100,1.0,HPCS_excluding_operational_markers,1,6,False,-0.4013963722309959
GSE136831,ATII,100,1.0,HPCS_without_ADI_or_operational_markers,1,6,False,-0.4413453396781919
GSE136831,ATII,100,1.0,Han_ISR_source_symbols,1,6,False,-0.2065195782578586
GSE136831,ATII,100,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,1,6,False,-0.1719338350473123
GSE135893,AT2,30,1.0,ADI_published_holdout,9,8,True,0.029574425045231223
GSE135893,AT2,30,1.0,AT1_published_holdout,9,8,True,0.12712851648296564
GSE135893,AT2,30,1.0,AT2_published_holdout,9,8,True,0.02794062334283076
GSE135893,AT2,30,1.0,HALLMARK_HYPOXIA,9,8,True,0.01176273766871283
GSE135893,AT2,30,1.0,HALLMARK_INFLAMMATORY_RESPONSE,9,8,True,0.12600181024660628
GSE135893,AT2,30,1.0,HALLMARK_P53_PATHWAY,9,8,True,0.1468682778988093
GSE135893,AT2,30,1.0,HPCS_author_top100,9,8,True,0.15917090608612083
GSE135893,AT2,30,1.0,HPCS_excluding_operational_markers,9,8,True,0.15467283023527578
GSE135893,AT2,30,1.0,HPCS_without_ADI_or_operational_markers,9,8,True,0.14026379118307863
GSE135893,AT2,30,1.0,Han_ISR_source_symbols,9,8,True,-0.08673179676274945
