donor,disease,label,cells,unit_id,full_library_sum
001C,control,ATI,40,GSE136831_0,95901
001C,control,ATII,10,GSE136831_1,28548
001C,control,Basal,19,GSE136831_2,96955
001C,control,Ciliated,14,GSE136831_3,57379
001C,control,Club,14,GSE136831_4,71903
002C,control,ATII,4,GSE136831_5,34639
002C,control,Ciliated,15,GSE136831_6,179651
003C,control,ATI,3,GSE136831_7,27586
003C,control,ATII,15,GSE136831_8,184621
003C,control,Ciliated,26,GSE136831_9,301995
003C,control,Club,17,GSE136831_10,114251
010I,IPF,ATI,11,GSE136831_11,101355
010I,IPF,ATII,31,GSE136831_12,297204
010I,IPF,Aberrant_Basaloid,26,GSE136831_13,487914
010I,IPF,Basal,40,GSE136831_14,234131
010I,IPF,Ciliated,424,GSE136831_15,3844931
010I,IPF,Club,144,GSE136831_16,1258858
021I,IPF,ATI,31,GSE136831_17,254724
021I,IPF,ATII,20,GSE136831_18,224111
021I,IPF,Aberrant_Basaloid,17,GSE136831_19,421864
021I,IPF,Basal,39,GSE136831_20,742198
021I,IPF,Ciliated,144,GSE136831_21,1406338
021I,IPF,Club,41,GSE136831_22,263753
022I,IPF,ATI,19,GSE136831_23,132652
022I,IPF,ATII,53,GSE136831_24,390229
022I,IPF,Aberrant_Basaloid,4,GSE136831_25,27620
022I,IPF,Basal,93,GSE136831_26,795014
022I,IPF,Ciliated,110,GSE136831_27,1068020
022I,IPF,Club,58,GSE136831_28,409559
025I,IPF,ATI,3,GSE136831_29,9417
025I,IPF,ATII,1,GSE136831_30,5145
025I,IPF,Aberrant_Basaloid,3,GSE136831_31,14181
025I,IPF,Basal,12,GSE136831_32,68706
025I,IPF,Ciliated,114,GSE136831_33,732981
025I,IPF,Club,20,GSE136831_34,225502
034C,control,ATI,1,GSE136831_35,17300
034C,control,ATII,2,GSE136831_36,12212
034C,control,Ciliated,9,GSE136831_37,82677
034I,IPF,ATI,4,GSE136831_38,36468
034I,IPF,ATII,19,GSE136831_39,187249
034I,IPF,Aberrant_Basaloid,5,GSE136831_40,42142
034I,IPF,Basal,523,GSE136831_41,3543308
034I,IPF,Ciliated,70,GSE136831_42,482607
034I,IPF,Club,131,GSE136831_43,1130654
040I,IPF,ATI,9,GSE136831_44,107765
040I,IPF,ATII,12,GSE136831_45,128138
040I,IPF,Aberrant_Basaloid,3,GSE136831_46,143877
040I,IPF,Basal,27,GSE136831_47,244314
040I,IPF,Ciliated,201,GSE136831_48,1739538
040I,IPF,Club,14,GSE136831_49,142053
041I,IPF,ATI,5,GSE136831_50,17741
041I,IPF,ATII,4,GSE136831_51,30223
041I,IPF,Aberrant_Basaloid,16,GSE136831_52,285086
041I,IPF,Basal,24,GSE136831_53,183837
041I,IPF,Ciliated,164,GSE136831_54,1263404
041I,IPF,Club,32,GSE136831_55,265028
051I,IPF,ATI,3,GSE136831_56,47551
051I,IPF,ATII,3,GSE136831_57,24692
051I,IPF,Aberrant_Basaloid,15,GSE136831_58,158854
051I,IPF,Basal,38,GSE136831_59,428475
051I,IPF,Ciliated,336,GSE136831_60,2600297
051I,IPF,Club,54,GSE136831_61,441446
053I,IPF,ATI,1,GSE136831_62,3950
053I,IPF,ATII,2,GSE136831_63,9334
053I,IPF,Aberrant_Basaloid,3,GSE136831_64,42003
053I,IPF,Basal,6,GSE136831_65,33240
053I,IPF,Ciliated,128,GSE136831_66,1198381
053I,IPF,Club,14,GSE136831_67,95650
063I,IPF,ATI,4,GSE136831_68,14716
063I,IPF,ATII,9,GSE136831_69,30498
063I,IPF,Aberrant_Basaloid,3,GSE136831_70,13324
063I,IPF,Basal,28,GSE136831_71,167915
063I,IPF,Ciliated,22,GSE136831_72,97138
063I,IPF,Club,16,GSE136831_73,36205
065C,control,ATI,2,GSE136831_74,9428
065C,control,ATII,2,GSE136831_75,21959
065C,control,Basal,2,GSE136831_76,15865
065C,control,Ciliated,26,GSE136831_77,173324
065C,control,Club,2,GSE136831_78,9739
081C,control,ATI,1,GSE136831_79,11274
081C,control,ATII,1,GSE136831_80,17049
081C,control,Ciliated,3,GSE136831_81,16507
081C,control,Club,2,GSE136831_82,13600
084C,control,ATI,1,GSE136831_83,4675
084C,control,ATII,2,GSE136831_84,13493
084C,control,Basal,1,GSE136831_85,20233
084C,control,Ciliated,2,GSE136831_86,9748
084C,control,Club,2,GSE136831_87,4124
092C,control,ATI,1,GSE136831_88,4162
098C,control,ATI,12,GSE136831_89,36086
098C,control,ATII,113,GSE136831_90,541726
098C,control,Basal,31,GSE136831_91,210554
098C,control,Ciliated,182,GSE136831_92,970195
098C,control,Club,13,GSE136831_93,41598
123I,IPF,ATI,1,GSE136831_94,2526
123I,IPF,ATII,4,GSE136831_95,43365
123I,IPF,Aberrant_Basaloid,1,GSE136831_96,19041
123I,IPF,Basal,11,GSE136831_97,91204
123I,IPF,Ciliated,79,GSE136831_98,703409
123I,IPF,Club,16,GSE136831_99,133020
133C,control,ATI,118,GSE136831_100,414645
133C,control,ATII,1514,GSE136831_101,16325187
133C,control,Basal,3,GSE136831_102,24374
133C,control,Ciliated,80,GSE136831_103,647721
133C,control,Club,17,GSE136831_104,102389
135I,IPF,ATI,3,GSE136831_105,26177
135I,IPF,ATII,15,GSE136831_106,185803
135I,IPF,Aberrant_Basaloid,78,GSE136831_107,1263565
135I,IPF,Basal,30,GSE136831_108,447283
135I,IPF,Ciliated,344,GSE136831_109,2863588
135I,IPF,Club,175,GSE136831_110,2038908
1372C,control,ATI,49,GSE136831_111,179702
1372C,control,ATII,119,GSE136831_112,1821148
1372C,control,Basal,24,GSE136831_113,149046
1372C,control,Ciliated,138,GSE136831_114,650254
