cohort,case,reference,scope,cell_floor,prior_count,module,n_paired_donors,eligible,mean_difference,positive_donors,loo_min,loo_max,reason
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,ADI_published_holdout,1,False,0.01388783266892002,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,AT1_published_holdout,1,False,0.30478343343582015,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,AT2_published_holdout,1,False,-0.5005397217885301,0.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,HALLMARK_HYPOXIA,1,False,0.53176073976935,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,HALLMARK_INFLAMMATORY_RESPONSE,1,False,0.3576557340513302,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,HALLMARK_P53_PATHWAY,1,False,0.27069942036670014,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,HPCS_author_top100,1,False,1.1303495037718703,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,HPCS_excluding_operational_markers,1,False,1.0967781698813202,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,HPCS_without_ADI_or_operational_markers,1,False,1.04181802307824,1.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,Han_ISR_source_symbols,1,False,-0.22089480537980943,0.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,1,False,-0.28760094262528035,0.0,,,measured_with_pair_count_gate
