source_group,ensembl_id,mouse_symbol,pdf_page
gene.clic,ENSMUSG00000032715,Trib3,2
gene.clic,ENSMUSG00000027313,Chac1,2
gene.clic,ENSMUSG00000005667,Mthfd2,2
gene.clic,ENSMUSG00000040010,Slc7a5,2
gene.clic,ENSMUSG00000031490,Eif4ebp1,2
gene.clic,ENSMUSG00000025408,Ddit3,2
gene.clic,ENSMUSG00000020142,Slc1a4,2
gene.clic,ENSMUSG00000038539,Atf5,2
gene.clic,ENSMUSG00000028893,Sesn2,2
gene.clic,ENSMUSG00000029752,Asns,2
gene.clic,ENSMUSG00000029777,Gars,2
gene.clic,ENSMUSG00000031770,Herpud1,2
gene.clic,ENSMUSG00000040435,Ppp1r15a,2
gene.clic,ENSMUSG00000026628,Atf3,2
gene.clic,ENSMUSG00000036390,Gadd45a,2
gene.clic,ENSMUSG00000001918,Slc1a5,2
gene.clic,ENSMUSG00000026663,Atf6,2
gene.clic,ENSMUSG00000010095,Slc3a2,2
gene.clic,ENSMUSG00000026456,Cyb5r1,2
gene.clic,ENSMUSG00000025007,Aldh18a1,2
gene.clic,ENSMUSG00000026142,Rhbdd1,2
gene.clic,ENSMUSG00000030717,Nupr1,2
gene.clic,ENSMUSG00000053398,Phgdh,2
gene.clic,ENSMUSG00000027737,Slc7a11,2
gene.clic,ENSMUSG00000005413,Hmox1,2
gene.clic,ENSMUSG00000023067,Cdkn1a,2
gene.clic,ENSMUSG00000024587,Nars,2
gene.clic,ENSMUSG00000031960,Aars,2
gene.clic,ENSMUSG00000029446,Psph,2
gene.clic,ENSMUSG00000068739,Sars,2
gene.clic,ENSMUSG00000037851,Iars,2
gene.clic,ENSMUSG00000024493,Lars,2
gene.clic,ENSMUSG00000028542,Slc6a9,2
gene.clic,ENSMUSG00000028811,Yars,2
gene.clic,ENSMUSG00000028179,Cth,2
gene.clic,ENSMUSG00000020256,Aldh1l2,2
gene.clic,ENSMUSG00000040618,Pck2,2
gene.clic,ENSMUSG00000031700,Gpt2,2
gene.clic,ENSMUSG00000023883,Phf10,3
gene.clic,ENSMUSG00000022241,Tars,3
gene.clic,ENSMUSG00000030738,Eif3c,3
gene.clic,ENSMUSG00000027944,Hax1,3
gene.clic,ENSMUSG00000025403,Shmt2,3
gene.clic,ENSMUSG00000025140,Pycr1,3
gene.clic,ENSMUSG00000021831,Ero1l,3
gene.clic,ENSMUSG00000041168,Lonp1,3
gene.clic,ENSMUSG00000074656,Eif2s2,3
gene.clic,ENSMUSG00000040354,Mars,3
gene.clic,ENSMUSG00000034667,Xpot,3
gene.clic,ENSMUSG00000038742,Angptl6,3
gene.clic,ENSMUSG00000031513,Leprotl1,3
gene.clic,ENSMUSG00000041028,Ghitm,3
gene.clic,ENSMUSG00000024359,Hspa9,3
gene.clic,ENSMUSG00000038615,Nfe2l1,3
gene.clic,ENSMUSG00000021203,Otub2,3
gene.clic,ENSMUSG00000025190,Got1,3
gene.clic,ENSMUSG00000038508,Gdf15,3
gene.clic,ENSMUSG00000028982,Slc25a33,3
gene.clic,ENSMUSG00000001627,Ifrd1,3
gene.clic,ENSMUSG00000023952,Gtpbp2,3
gene.clic,ENSMUSG00000023045,Soat2,3
gene.clic,ENSMUSG00000056749,Nfil3,3
gene.clic,ENSMUSG00000036432,Siah2,3
gene.clic,ENSMUSG00000027357,Crls1,3
gene.clic,ENSMUSG00000042747,Krtcap2,3
gene.clic,ENSMUSG00000039512,Uhrf1bp1,3
gene.clic,ENSMUSG00000032252,Glce,3
gene.clic,ENSMUSG00000028059,Arhgef2,3
gene.clic,ENSMUSG00000056501,Cebpb,3
gene.clic,ENSMUSG00000026483,Fam129a,3
gene.clic,ENSMUSG00000023977,Ubr2,3
gene.clic,ENSMUSG00000036693,Nop14,3
gene.clic,ENSMUSG00000022365,Derl1,3
gene.clic,ENSMUSG00000031297,Slc7a3,3
gene.clic,ENSMUSG00000038550,Ciart,3
gene.clic,ENSMUSG00000040511,Pvr,3
gene.clic,ENSMUSG00000023951,Vegfa,3
gene.clic,ENSMUSG00000040675,Mthfd1l,3
gene.clic,ENSMUSG00000037242,Clic4,3
gene.clic,ENSMUSG00000000278,Scpep1,4
gene.clic,ENSMUSG00000018848,Rars,4
gene.clic,ENSMUSG00000022369,Mtbp,4
gene.clic,ENSMUSG00000021196,Pfkp,4
gene.clic,ENSMUSG00000033813,Tcea1,4
gene.clic,ENSMUSG00000037722,Gnpnat1,4
gene.clic,ENSMUSG00000028972,Car6,4
gene.clic,ENSMUSG00000026317,Cln8,4
gene.clic,ENSMUSG00000041390,Mdfic,4
gene.clic,ENSMUSG00000022364,Tbc1d31,4
gene.clic,ENSMUSG00000047407,Tgif1,4
gene.clic,ENSMUSG00000055725,Paqr3,4
gene.clic,ENSMUSG00000020108,Ddit4,4
gene.clic,ENSMUSG00000015652,Steap1,4
gene.clic,ENSMUSG00000054136,Adm2,4
gene.clic,ENSMUSG00000024664,Fads3,4
extended,ENSMUSG00000042406,Atf4,4
extended,ENSMUSG00000042750,Bex2,4
extended,ENSMUSG00000036478,Btg1,4
extended,ENSMUSG00000010755,Cars,4
extended,ENSMUSG00000024039,Cbs,4
extended,ENSMUSG00000071470,Ccnb1ip1,4
extended,ENSMUSG00000034563,Ccpg1,4
extended,ENSMUSG00000056216,Cebpg,4
extended,ENSMUSG00000048065,Cyb5r2,4
extended,ENSMUSG00000035530,Eif1,4
extended,ENSMUSG00000006941,Eif1b,4
extended,ENSMUSG00000031490,Epb41l4a,4
extended,ENSMUSG00000043068,Fam89a,4
extended,ENSMUSG00000030827,Fgf21,4
extended,ENSMUSG00000020875,Hoxb9,4
extended,ENSMUSG00000025950,Idh1,4
extended,ENSMUSG00000028266,Lmo4,4
extended,ENSMUSG00000052727,Map1b,4
extended,ENSMUSG00000024235,Map3k8,4
extended,ENSMUSG00000020000,Moxd1,4
extended,ENSMUSG00000039670,Oxld1,4
extended,ENSMUSG00000024014,Pim1,4
extended,ENSMUSG00000070366,Plpp4,4
extended,ENSMUSG00000024640,Psat1,4
extended,ENSMUSG00000026475,Rgs16,5
