cohort,unit,unit_type,genotype,stage,injury,independence,seed,group,n_cells,module,kind,n_genes,total_genes,coverage,score,interpretable,label_overlap
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,205,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.0933635847986387,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,205,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06787456445993033,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10857,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.09289830516945806,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10857,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.07290271363219691,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,202,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.09651546550003838,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,202,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.07081565299387083,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10860,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.09263066226961897,True,
GSE247130,P9_control,pooled_library,control,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10860,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.07246952556344821,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,447,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.08563550283544039,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,447,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06487695749440715,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10223,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.07901926572320965,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,10223,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06293931051829908,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,414,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.08514024641426057,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,414,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06335403726708075,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10256,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.07886478249827668,True,
GSE247130,P9_Cebpa_mutant,pooled_library,Cebpa_mutant,P9,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,10256,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06287051482059283,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,19,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.08363933088535291,False,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,19,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.061654135338345864,False,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6875,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.08157406624383369,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,6875,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06707670995670996,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,19,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.07915136678906567,False,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,19,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.05764411027568922,False,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,6875,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.08106215644820296,True,
GSE247130,7wk_control,pooled_library,control,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,6875,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06683844155844157,True,
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,60,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.08410852713178293,True,
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,60,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.06555555555555556,True,
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,9744,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.07136094881684298,True,
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,9744,Han_ISR_without_HPCS_ADI_or_operational_markers,specificity_sensitivity_removed_shared_genes,105,105,1.0,0.061436586128704354,True,
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,74,Han_ISR_source_symbols,source_supplementary_table_full_symbol_list,129,129,1.0,0.08265241986172218,True,
