module_a,module_b,intersection,jaccard,genes
HPCS_author_top100,HPCS_excluding_operational_markers,98,0.98,1810013L24Rik;2610035D17Rik;3110043O21Rik;5031415H12Rik;9930111J21Rik1;AI413582;Aaed1;Abcg1;Abtb2;Actn1;Agap1;Arid5a;Ascc3;Asns;B3gnt2;B930095G15Rik;Bax;Bcl10;Btg1;Cars;Cdk17;Chac1;Chic2;Chmp4c;Chrnb1;Cln8;Creb5;Cwh43;Cxcl1;Cxcl16;Ddit3;Dennd2c;Dusp10;Ets1;Fam50a;Fam83g;Fbxo30;Gcnt2;Gdf15;Gm10157;Gm28048;Grpel2;Gtpbp4;Hmces;Hs3st1;Iars;Il23a;Il24;Itga2;Klf6;Klhl2;Lif;Llph-ps2;Ly6a;Maff;Mapk11;Mcpt8;Mxd1;Nars;Ntm;Ocln;Otud4;Otud7b;Pik3c2a;Ppp1r13l;Prkca;Prkx;Procr;Ptgs2;Pvr;Pvt1;Pxdc1;Rdh10;Relb;Rhbdf2;Rhob;Rnf19b;Rrad;Sema7a;Sgms2;Slc1a4;Slc38a2;Slc9a4;Smcr8;Tgfa;Tgif1;Tigit;Tm4sf1;Tnf;Tnfaip3;Tnfrsf11b;Trib1;Trim15;Trp53inp1;Tspan5;Ugcg;Zdhhc5;Zfand2a
HPCS_author_top100,HPCS_without_ADI_or_operational_markers,91,0.91,1810013L24Rik;2610035D17Rik;3110043O21Rik;5031415H12Rik;9930111J21Rik1;AI413582;Aaed1;Abcg1;Abtb2;Agap1;Arid5a;Ascc3;Asns;B3gnt2;B930095G15Rik;Bcl10;Btg1;Cars;Cdk17;Chac1;Chic2;Chmp4c;Chrnb1;Cln8;Creb5;Cwh43;Cxcl1;Ddit3;Dennd2c;Dusp10;Ets1;Fam50a;Fam83g;Fbxo30;Gcnt2;Gm10157;Gm28048;Grpel2;Gtpbp4;Hmces;Hs3st1;Iars;Il23a;Il24;Itga2;Klhl2;Lif;Llph-ps2;Maff;Mapk11;Mcpt8;Mxd1;Ntm;Ocln;Otud4;Otud7b;Pik3c2a;Ppp1r13l;Prkca;Prkx;Procr;Ptgs2;Pvr;Pvt1;Pxdc1;Rdh10;Relb;Rhbdf2;Rhob;Rnf19b;Rrad;Sema7a;Sgms2;Slc1a4;Slc38a2;Slc9a4;Smcr8;Tgfa;Tgif1;Tigit;Tm4sf1;Tnf;Tnfaip3;Tnfrsf11b;Trib1;Trim15;Trp53inp1;Tspan5;Ugcg;Zdhhc5;Zfand2a
HPCS_author_top100,ADI_published_holdout,7,0.014256619144602852,Actn1;Bax;Cxcl16;Gdf15;Klf6;Ly6a;Nars
HPCS_author_top100,AT2_published_holdout,0,0.0,
HPCS_author_top100,AT1_published_holdout,4,0.00808080808080808,Cxcl16;Klf6;Otud7b;Pxdc1
HPCS_author_top100,DATP_PATS_holdout_panel,0,0.0,
HPCS_author_top100,HALLMARK_HYPOXIA,9,0.03103448275862069,Btg1;Ddit3;Ets1;Gcnt2;Hs3st1;Klf6;Maff;Prkca;Tnfaip3
HPCS_author_top100,HALLMARK_INFLAMMATORY_RESPONSE,5,0.017123287671232876,Klf6;Lif;Mxd1;Pvr;Sgms2
HPCS_author_top100,HALLMARK_P53_PATHWAY,12,0.041666666666666664,Bax;Btg1;Ddit3;Lif;Mxd1;Procr;Pvt1;Rhbdf2;Rnf19b;Rrad;Tgfa;Tm4sf1
HPCS_excluding_operational_markers,HPCS_without_ADI_or_operational_markers,91,0.9285714285714286,1810013L24Rik;2610035D17Rik;3110043O21Rik;5031415H12Rik;9930111J21Rik1;AI413582;Aaed1;Abcg1;Abtb2;Agap1;Arid5a;Ascc3;Asns;B3gnt2;B930095G15Rik;Bcl10;Btg1;Cars;Cdk17;Chac1;Chic2;Chmp4c;Chrnb1;Cln8;Creb5;Cwh43;Cxcl1;Ddit3;Dennd2c;Dusp10;Ets1;Fam50a;Fam83g;Fbxo30;Gcnt2;Gm10157;Gm28048;Grpel2;Gtpbp4;Hmces;Hs3st1;Iars;Il23a;Il24;Itga2;Klhl2;Lif;Llph-ps2;Maff;Mapk11;Mcpt8;Mxd1;Ntm;Ocln;Otud4;Otud7b;Pik3c2a;Ppp1r13l;Prkca;Prkx;Procr;Ptgs2;Pvr;Pvt1;Pxdc1;Rdh10;Relb;Rhbdf2;Rhob;Rnf19b;Rrad;Sema7a;Sgms2;Slc1a4;Slc38a2;Slc9a4;Smcr8;Tgfa;Tgif1;Tigit;Tm4sf1;Tnf;Tnfaip3;Tnfrsf11b;Trib1;Trim15;Trp53inp1;Tspan5;Ugcg;Zdhhc5;Zfand2a
HPCS_excluding_operational_markers,ADI_published_holdout,7,0.014314928425357873,Actn1;Bax;Cxcl16;Gdf15;Klf6;Ly6a;Nars
HPCS_excluding_operational_markers,AT2_published_holdout,0,0.0,
HPCS_excluding_operational_markers,AT1_published_holdout,4,0.008113590263691683,Cxcl16;Klf6;Otud7b;Pxdc1
HPCS_excluding_operational_markers,DATP_PATS_holdout_panel,0,0.0,
HPCS_excluding_operational_markers,HALLMARK_HYPOXIA,9,0.03125,Btg1;Ddit3;Ets1;Gcnt2;Hs3st1;Klf6;Maff;Prkca;Tnfaip3
HPCS_excluding_operational_markers,HALLMARK_INFLAMMATORY_RESPONSE,5,0.017241379310344827,Klf6;Lif;Mxd1;Pvr;Sgms2
HPCS_excluding_operational_markers,HALLMARK_P53_PATHWAY,12,0.04195804195804196,Bax;Btg1;Ddit3;Lif;Mxd1;Procr;Pvt1;Rhbdf2;Rnf19b;Rrad;Tgfa;Tm4sf1
HPCS_without_ADI_or_operational_markers,ADI_published_holdout,0,0.0,
HPCS_without_ADI_or_operational_markers,AT2_published_holdout,0,0.0,
HPCS_without_ADI_or_operational_markers,AT1_published_holdout,2,0.004098360655737705,Otud7b;Pxdc1
HPCS_without_ADI_or_operational_markers,DATP_PATS_holdout_panel,0,0.0,
HPCS_without_ADI_or_operational_markers,HALLMARK_HYPOXIA,8,0.028368794326241134,Btg1;Ddit3;Ets1;Gcnt2;Hs3st1;Maff;Prkca;Tnfaip3
HPCS_without_ADI_or_operational_markers,HALLMARK_INFLAMMATORY_RESPONSE,4,0.014084507042253521,Lif;Mxd1;Pvr;Sgms2
HPCS_without_ADI_or_operational_markers,HALLMARK_P53_PATHWAY,11,0.039285714285714285,Btg1;Ddit3;Lif;Mxd1;Procr;Pvt1;Rhbdf2;Rnf19b;Rrad;Tgfa;Tm4sf1
ADI_published_holdout,AT2_published_holdout,10,0.01272264631043257,App;Cd63;Cldn18;Cnn2;Jun;Rpl5;Rps19;Sdc4;Sparc;Tpm1
