cohort,unit,seed,module,case,reference,n_case,n_reference,difference,interpretable,unit_type
GSE247130,P9_control,17,HPCS_author_top100,two_marker,reference,221,10841,0.020133511391872097,True,pooled_library
GSE247130,P9_control,17,HPCS_excluding_operational_markers,two_marker,reference,221,10841,0.010021099425351704,True,pooled_library
GSE247130,P9_control,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,221,10841,0.008555791997988602,True,pooled_library
GSE247130,P9_control,17,ADI_published_holdout,two_marker,reference,221,10841,0.012615161880832892,True,pooled_library
GSE247130,P9_control,17,AT2_published_holdout,two_marker,reference,221,10841,-0.044737916137890466,True,pooled_library
GSE247130,P9_control,17,AT1_published_holdout,two_marker,reference,221,10841,-0.001269909305260386,True,pooled_library
GSE247130,P9_control,17,DATP_PATS_holdout_panel,two_marker,reference,221,10841,0.04935929087705839,True,pooled_library
GSE247130,P9_control,17,HALLMARK_HYPOXIA,two_marker,reference,221,10841,0.004341724128691202,True,pooled_library
GSE247130,P9_control,17,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,221,10841,0.0025531509958044984,True,pooled_library
GSE247130,P9_control,17,HALLMARK_P53_PATHWAY,two_marker,reference,221,10841,0.009291776994762593,True,pooled_library
GSE247130,P9_control,29,HPCS_author_top100,two_marker,reference,210,10852,0.025687440126301794,True,pooled_library
GSE247130,P9_control,29,HPCS_excluding_operational_markers,two_marker,reference,210,10852,0.015684348877576207,True,pooled_library
GSE247130,P9_control,29,HPCS_without_ADI_or_operational_markers,two_marker,reference,210,10852,0.012684884598538906,True,pooled_library
GSE247130,P9_control,29,ADI_published_holdout,two_marker,reference,210,10852,0.012417616171762902,True,pooled_library
GSE247130,P9_control,29,AT2_published_holdout,two_marker,reference,210,10852,-0.04809291463201543,True,pooled_library
GSE247130,P9_control,29,AT1_published_holdout,two_marker,reference,210,10852,-0.0019417505839773863,True,pooled_library
GSE247130,P9_control,29,DATP_PATS_holdout_panel,two_marker,reference,210,10852,0.03993119547856,True,pooled_library
GSE247130,P9_control,29,HALLMARK_HYPOXIA,two_marker,reference,210,10852,0.004009041240569902,True,pooled_library
GSE247130,P9_control,29,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,210,10852,0.0032700505824992954,True,pooled_library
GSE247130,P9_control,29,HALLMARK_P53_PATHWAY,two_marker,reference,210,10852,0.0090282516566208,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,HPCS_author_top100,two_marker,reference,423,10247,0.022980982401110406,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,HPCS_excluding_operational_markers,two_marker,reference,423,10247,0.013050955415324195,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,423,10247,0.011445752178597002,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,ADI_published_holdout,two_marker,reference,423,10247,0.026157805341956886,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,AT2_published_holdout,two_marker,reference,423,10247,-0.002385192118928292,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,AT1_published_holdout,two_marker,reference,423,10247,0.010952567035656113,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,DATP_PATS_holdout_panel,two_marker,reference,423,10247,0.040863792766269606,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,HALLMARK_HYPOXIA,two_marker,reference,423,10247,0.007533694304424202,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,423,10247,0.005668664688518704,True,pooled_library
GSE247130,P9_Cebpa_mutant,17,HALLMARK_P53_PATHWAY,two_marker,reference,423,10247,0.006589838694008601,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,HPCS_author_top100,two_marker,reference,376,10294,0.026934813025602702,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,HPCS_excluding_operational_markers,two_marker,reference,376,10294,0.01710293886837469,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,HPCS_without_ADI_or_operational_markers,two_marker,reference,376,10294,0.014974326786538206,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,ADI_published_holdout,two_marker,reference,376,10294,0.026499379773131382,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,AT2_published_holdout,two_marker,reference,376,10294,-0.0049414065305593,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,AT1_published_holdout,two_marker,reference,376,10294,0.01324987389247817,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,DATP_PATS_holdout_panel,two_marker,reference,376,10294,0.034724317821990903,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,HALLMARK_HYPOXIA,two_marker,reference,376,10294,0.0063992552428732,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,376,10294,0.006395818241148404,True,pooled_library
GSE247130,P9_Cebpa_mutant,29,HALLMARK_P53_PATHWAY,two_marker,reference,376,10294,0.006429428978226889,True,pooled_library
GSE247130,7wk_control,17,HPCS_author_top100,two_marker,reference,30,6864,0.04217396638449271,True,pooled_library
GSE247130,7wk_control,17,HPCS_excluding_operational_markers,two_marker,reference,30,6864,0.032390906584454995,True,pooled_library
GSE247130,7wk_control,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,30,6864,0.0289494904320486,True,pooled_library
GSE247130,7wk_control,17,ADI_published_holdout,two_marker,reference,30,6864,0.03915680473372779,True,pooled_library
GSE247130,7wk_control,17,AT2_published_holdout,two_marker,reference,30,6864,-0.07005730636997132,True,pooled_library
GSE247130,7wk_control,17,AT1_published_holdout,two_marker,reference,30,6864,0.012486727931754094,True,pooled_library
GSE247130,7wk_control,17,DATP_PATS_holdout_panel,two_marker,reference,30,6864,0.069303613053613,True,pooled_library
GSE247130,7wk_control,17,HALLMARK_HYPOXIA,two_marker,reference,30,6864,0.010091051080898708,True,pooled_library
GSE247130,7wk_control,17,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,30,6864,0.0034015092050806023,True,pooled_library
GSE247130,7wk_control,17,HALLMARK_P53_PATHWAY,two_marker,reference,30,6864,0.002683774558774596,True,pooled_library
GSE247130,7wk_control,29,HPCS_author_top100,two_marker,reference,32,6862,0.032243073984874804,True,pooled_library
GSE247130,7wk_control,29,HPCS_excluding_operational_markers,two_marker,reference,32,6862,0.022230794965573203,True,pooled_library
GSE247130,7wk_control,29,HPCS_without_ADI_or_operational_markers,two_marker,reference,32,6862,0.02110544759477541,True,pooled_library
GSE247130,7wk_control,29,ADI_published_holdout,two_marker,reference,32,6862,0.026414866526167924,True,pooled_library
GSE247130,7wk_control,29,AT2_published_holdout,two_marker,reference,32,6862,-0.06590985381616782,True,pooled_library
GSE247130,7wk_control,29,AT1_published_holdout,two_marker,reference,32,6862,0.014486531219051468,True,pooled_library
GSE247130,7wk_control,29,DATP_PATS_holdout_panel,two_marker,reference,32,6862,0.0790737637229185,True,pooled_library
GSE247130,7wk_control,29,HALLMARK_HYPOXIA,two_marker,reference,32,6862,0.010541668454387892,True,pooled_library
GSE247130,7wk_control,29,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,32,6862,0.0008795388236902957,True,pooled_library
GSE247130,7wk_control,29,HALLMARK_P53_PATHWAY,two_marker,reference,32,6862,0.0125725211754769,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,HPCS_author_top100,two_marker,reference,81,9723,0.036349092072634204,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,HPCS_excluding_operational_markers,two_marker,reference,81,9723,0.026463259283343296,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,81,9723,0.0224085284694389,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,ADI_published_holdout,two_marker,reference,81,9723,0.04022087024246859,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,AT2_published_holdout,two_marker,reference,81,9723,-0.015136107870008408,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,AT1_published_holdout,two_marker,reference,81,9723,0.018818399788550433,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,DATP_PATS_holdout_panel,two_marker,reference,81,9723,0.0628870325294611,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,HALLMARK_HYPOXIA,two_marker,reference,81,9723,0.0147694831742443,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,81,9723,0.0087439652058156,True,pooled_library
GSE247130,7wk_Cebpa_mutant,17,HALLMARK_P53_PATHWAY,two_marker,reference,81,9723,0.014058583768108993,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,HPCS_author_top100,two_marker,reference,64,9740,0.03890481465470651,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,HPCS_excluding_operational_markers,two_marker,reference,64,9740,0.02908152281910309,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,HPCS_without_ADI_or_operational_markers,two_marker,reference,64,9740,0.0237149163124971,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,ADI_published_holdout,two_marker,reference,64,9740,0.04622647159479801,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,AT2_published_holdout,two_marker,reference,64,9740,-0.010916412476364323,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,AT1_published_holdout,two_marker,reference,64,9740,0.02481313899609755,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,DATP_PATS_holdout_panel,two_marker,reference,64,9740,0.0595578798767967,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,HALLMARK_HYPOXIA,two_marker,reference,64,9740,0.012868984458874896,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,64,9740,0.009111647739177803,True,pooled_library
GSE247130,7wk_Cebpa_mutant,29,HALLMARK_P53_PATHWAY,two_marker,reference,64,9740,0.0105237449189121,True,pooled_library
GSE247130,SeV_control,17,HPCS_author_top100,two_marker,reference,29,8512,0.052104683214388096,False,pooled_library
GSE247130,SeV_control,17,HPCS_excluding_operational_markers,two_marker,reference,29,8512,0.042201539374019,False,pooled_library
GSE247130,SeV_control,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,29,8512,0.037343666152148604,False,pooled_library
GSE247130,SeV_control,17,ADI_published_holdout,two_marker,reference,29,8512,0.0751456933115281,False,pooled_library
GSE247130,SeV_control,17,AT2_published_holdout,two_marker,reference,29,8512,-0.08870902919203208,False,pooled_library
GSE247130,SeV_control,17,AT1_published_holdout,two_marker,reference,29,8512,0.042800731094073924,False,pooled_library
GSE247130,SeV_control,17,DATP_PATS_holdout_panel,two_marker,reference,29,8512,0.1790838896810993,False,pooled_library
GSE247130,SeV_control,17,HALLMARK_HYPOXIA,two_marker,reference,29,8512,0.014133957278545606,False,pooled_library
GSE247130,SeV_control,17,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,29,8512,0.010841258009555904,False,pooled_library
GSE247130,SeV_control,17,HALLMARK_P53_PATHWAY,two_marker,reference,29,8512,0.020585769876397597,False,pooled_library
GSE247130,SeV_control,29,HPCS_author_top100,two_marker,reference,36,8515,0.0626885818970994,True,pooled_library
GSE247130,SeV_control,29,HPCS_excluding_operational_markers,two_marker,reference,36,8515,0.0533585400982594,True,pooled_library
GSE247130,SeV_control,29,HPCS_without_ADI_or_operational_markers,two_marker,reference,36,8515,0.049367812691086296,True,pooled_library
GSE247130,SeV_control,29,ADI_published_holdout,two_marker,reference,36,8515,0.07471203824991257,True,pooled_library
GSE247130,SeV_control,29,AT2_published_holdout,two_marker,reference,36,8515,-0.08702693764930669,True,pooled_library
GSE247130,SeV_control,29,AT1_published_holdout,two_marker,reference,36,8515,0.048924014938562715,True,pooled_library
GSE247130,SeV_control,29,DATP_PATS_holdout_panel,two_marker,reference,36,8515,0.166887410017181,True,pooled_library
GSE247130,SeV_control,29,HALLMARK_HYPOXIA,two_marker,reference,36,8515,0.018027127073122304,True,pooled_library
GSE247130,SeV_control,29,HALLMARK_INFLAMMATORY_RESPONSE,two_marker,reference,36,8515,0.010077304556584801,True,pooled_library
GSE247130,SeV_control,29,HALLMARK_P53_PATHWAY,two_marker,reference,36,8515,0.0191030600927002,True,pooled_library
GSE247130,SeV_Cebpa_mutant,17,HPCS_author_top100,two_marker,reference,209,8544,0.0520867464209149,True,pooled_library
GSE247130,SeV_Cebpa_mutant,17,HPCS_excluding_operational_markers,two_marker,reference,209,8544,0.04254652599900689,True,pooled_library
GSE247130,SeV_Cebpa_mutant,17,HPCS_without_ADI_or_operational_markers,two_marker,reference,209,8544,0.03854098163639609,True,pooled_library
GSE247130,SeV_Cebpa_mutant,17,ADI_published_holdout,two_marker,reference,209,8544,0.06048159574179682,True,pooled_library
GSE247130,SeV_Cebpa_mutant,17,AT2_published_holdout,two_marker,reference,209,8544,-0.01755901822123318,True,pooled_library
