config,label,cell_floor,module,case,reference,patient,difference
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,3,0.2211073160576999
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,4,0.0038403964816602
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,5,0.04898312033015
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,6,0.2132112239439703
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,7,0.4278805328218107
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,8,0.0744405412542796
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,9,0.3954215228937094
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,10,-0.0319130730988295
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,11,0.49035865835204
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,12,0.2966743610392699
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,13,0.39347110011356
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,14,0.2081674696758897
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,15,0.0758534117655695
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,16,0.08685760148024
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,17,0.0469255493606706
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,18,0.3210572026114997
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,19,0.0578313350186201
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,20,0.4781010411658402
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,21,0.0103547308419402
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,22,0.1480541397229897
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,23,0.1499619505270404
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,24,-0.1133499128563899
unc20_pooled,__broad__,50,AT1_published_holdout,LUAD,normal,25,-0.1636367959317004
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,3,0.1792443919545396
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,4,-0.0757266482303196
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,5,-0.4671766821185397
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,6,0.0481825311053496
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,7,0.1129954903143701
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,8,0.0945484184289702
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,9,0.2078441435412799
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,10,0.03245027421515
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,11,0.1534640120318497
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,12,0.0157008965491201
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,13,0.0911172523476802
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,14,0.1863684594681398
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,15,-0.01912212116176
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,16,0.1355312274939004
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,17,-0.2483160343522596
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,18,-0.0504299753160593
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,19,0.0082419937023701
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,20,0.2187835191605796
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,21,-0.0743487386989203
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,22,0.0818998677595503
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,23,0.0298495777707499
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,24,-0.2957423975453794
unc20_pooled,__broad__,50,AT2_published_holdout,LUAD,normal,25,-0.35866183899196
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,3,0.7023012607278902
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,4,-0.0152763779825999
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,5,0.1519110634184004
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,6,0.2218796376324201
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,7,0.21791415879406
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,8,0.1478998417723902
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,9,0.5497807118570606
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,10,0.1863587119258101
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,11,0.74301815788239
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,12,0.2319659587279803
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,13,0.5229379620416097
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,14,0.2998876119587494
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,15,0.2326274293196597
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,16,0.3751707617643305
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,17,0.0585907310042603
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,18,0.2098615290093004
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,19,0.20469395239249
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,20,0.6597255428315996
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,21,0.0264549451818307
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,22,0.1505960019352903
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,23,0.0662383396614902
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,24,0.0986007588895505
unc20_pooled,__broad__,50,HALLMARK_HYPOXIA,LUAD,normal,25,-0.2154438375521001
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,3,0.8241813561936402
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,4,-0.1780441590875501
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,5,0.0692118484087398
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,6,0.4964740976830502
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,7,0.2296308250358998
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,8,0.7907208175587899
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,9,1.0801059946832798
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,10,0.52859295936844
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,11,1.3298875312248502
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,12,0.1246199331003001
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,13,1.24736947006835
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,14,0.6473836602702199
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,15,0.7153433764409702
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,16,0.0431080860841999
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,17,0.12785424635645
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,18,0.3951305195027998
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,19,0.45164469036939
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,20,0.4574710394391799
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,21,-0.38463804818223
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,22,0.3651245218323602
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,23,0.1775717340033802
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,24,0.2465861907033302
unc20_pooled,__broad__,50,HALLMARK_INFLAMMATORY_RESPONSE,LUAD,normal,25,-0.3502830124753604
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,3,0.3971335042362502
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,4,-0.0273990951910603
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,5,0.2688089490421399
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,6,0.6849826636259095
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,7,0.1893922518472397
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,8,0.3584209686592903
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,9,0.8700465806783795
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,10,-0.2539106726387699
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,11,1.28181399658091
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,12,0.52768830730533
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,13,0.8331773950882302
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,14,0.6146800302357196
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,15,0.2381648582856304
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,16,0.05354721832333
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,17,0.3090540917792603
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,18,0.5949602211860299
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,19,0.2914577118055597
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,20,0.1663369783672998
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,21,0.1346100875958793
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,22,0.3837308619232003
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,23,0.15137532610433
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,24,-0.1085766991266199
unc20_pooled,__broad__,50,HPCS_without_ADI_or_operational_markers,LUAD,normal,25,-0.44744687607285
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,3,0.7167641874936499
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,4,0.2556216531549102
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,5,0.83119190309153
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,6,0.65795793261392
unc20_pooled,__broad__,50,Han_ISR_without_HPCS_ADI_or_operational_markers,LUAD,normal,7,0.4515266442065302
