cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
0,CTSB,50.140965,4.585024,0.0,0.0,0.996,0.4495491787945677
0,CD68,49.296494,5.0866346,0.0,0.0,0.98,0.15312955965430805
0,MRC1,49.227478,6.5297403,0.0,0.0,0.946,0.057503086535223916
0,FTL,49.18683,3.9649055,0.0,0.0,1.0,0.9519248756032773
0,CD163,48.458004,5.3741255,0.0,0.0,0.964,0.10786037637023457
0,C1QA,47.863102,6.298023,0.0,0.0,0.947,0.1129110703730031
0,C1QC,47.58325,6.015218,0.0,0.0,0.931,0.07078454113509672
0,VSIG4,47.44382,5.5234427,0.0,0.0,0.927,0.06999887762355494
0,CTSZ,47.27484,3.6071544,0.0,0.0,0.987,0.4251936099367728
0,C1QB,47.17742,6.314176,0.0,0.0,0.931,0.10164989337423772
0,HLA-DRA,46.97722,4.41426,0.0,0.0,0.999,0.5036477234464439
0,MS4A7,46.85337,4.761734,0.0,0.0,0.954,0.10037786673650342
0,SLCO2B1,46.224915,5.9255214,0.0,0.0,0.886,0.037973736391185606
0,PSAP,45.67097,3.3255181,0.0,0.0,0.994,0.584832952972427
0,TYROBP,45.338196,4.3746657,0.0,0.0,0.997,0.26166336189157846
0,CTSD,44.939728,3.612866,0.0,0.0,0.99,0.5991619589210221
0,HLA-DPB1,44.816593,3.8688269,0.0,0.0,0.985,0.38269295521717983
0,FCGR2A,44.788235,4.3041697,0.0,0.0,0.931,0.12286280818586554
0,AIF1,44.47325,4.5514774,0.0,0.0,0.988,0.16296905982266452
0,CD74,44.427746,3.5918744,0.0,0.0,1.0,0.640465412099218
1,HLA-DPB1,31.610197,5.385858,2.673954277267519e-219,6.604934460278499e-215,0.9840848806366048,0.3964243930973969
1,HLA-DRA,31.53391,5.170695,2.9799588051638883e-218,3.6803981223176605e-214,0.9946949602122016,0.5149897630886224
1,HLA-DPA1,31.421555,5.080226,1.0274108589279384e-216,8.459358542126335e-213,0.9893899204244032,0.45459198596080724
1,CD74,31.046495,4.3684053,1.272123041895196e-211,7.855677814463309e-208,1.0,0.6486545773618017
1,HLA-DQB1,30.185833,4.574763,3.6346515714023326e-200,1.7955905693041805e-196,0.9761273209549072,0.30981281076338113
1,MS4A6A,29.714558,4.893191,4.9802754356238003e-194,2.0502963922557248e-190,0.9734748010610079,0.12770546943550745
1,RGS1,29.439838,5.507259,1.6986224829183215e-190,5.993953421509352e-187,0.9442970822281167,0.16901871892366188
