leiden_cluster,cluster_label,n_cells,gene,mean_log1p_cp10k,median_log1p_cp10k,q25_log1p_cp10k,q75_log1p_cp10k,q95_log1p_cp10k,pct_expressing
6,L6  Ciliated (CC),255,KRT8,2.2865562438964844,2.3418736457824707,2.041034698486328,2.5944461822509766,2.930427312850952,99.6078431372549
6,L6  Ciliated (CC),255,CLDN4,1.5961567163467407,1.6123241186141968,1.3071086406707764,1.9513989686965942,2.317866086959839,98.4313725490196
6,L6  Ciliated (CC),255,KRT17,0.05710184574127197,0.0,0.0,0.0,0.38490334153175354,7.0588235294117645
6,L6  Ciliated (CC),255,SFN,0.07450979948043823,0.0,0.0,0.0,0.5343686938285828,14.50980392156863
11,L11  Motile ciliated,516,KRT8,2.0538902282714844,2.2121782302856445,1.7114601135253906,2.582446813583374,3.1361634731292725,90.69767441860465
11,L11  Motile ciliated,516,CLDN4,2.0226292610168457,2.179816722869873,1.606158971786499,2.6228272914886475,3.3417043685913086,88.75968992248062
11,L11  Motile ciliated,516,KRT17,0.21488267183303833,0.0,0.0,0.0,1.5712697505950928,13.565891472868216
11,L11  Motile ciliated,516,SFN,0.07260467112064362,0.0,0.0,0.0,0.7749592065811157,6.007751937984496
12,L12  SCGB3A2-CC-like,1430,KRT8,2.431467056274414,2.4686264991760254,2.1456046104431152,2.8029744625091553,3.1934850215911865,99.44055944055944
12,L12  SCGB3A2-CC-like,1430,CLDN4,2.4491026401519775,2.531327724456787,2.0692625045776367,2.9359817504882812,3.4597084522247314,98.04195804195804
12,L12  SCGB3A2-CC-like,1430,KRT17,0.6803422570228577,0.0,0.0,1.230778694152832,2.954664707183838,38.25174825174825
12,L12  SCGB3A2-CC-like,1430,SFN,0.2355530709028244,0.0,0.0,0.0,1.2944735288619995,23.496503496503497
9,L9  Ciliated-low,416,KRT8,1.8083337545394897,2.4322283267974854,0.0,2.9122893810272217,3.547999382019043,64.66346153846155
9,L9  Ciliated-low,416,CLDN4,0.8194665312767029,0.0,0.0,2.0801310539245605,3.179018974304199,31.971153846153843
9,L9  Ciliated-low,416,KRT17,0.21198654174804688,0.0,0.0,0.0,2.5697977542877197,7.451923076923077
9,L9  Ciliated-low,416,SFN,0.09664846956729889,0.0,0.0,0.0,0.0,3.8461538461538463
13,L13  Neuroendocrine,31,KRT8,1.8057256937026978,1.8137606382369995,1.1828089952468872,2.475383758544922,3.2152597904205322,87.09677419354838
13,L13  Neuroendocrine,31,CLDN4,1.1501412391662598,1.4710986614227295,0.0,2.0874245166778564,2.3086483478546143,67.74193548387096
