cluster,epithelial_score,pan_epithelial_fraction,selected
0,-0.554,0.027,False
1,-0.532,0.041,False
2,-1.359,0.014,False
3,-1.055,0.01,False
4,-0.523,0.009,False
5,-1.288,0.015,False
6,-1.706,0.012,False
7,-0.489,0.012,False
8,-0.423,0.012,False
9,-0.513,0.011,False
10,-0.908,0.014,False
11,1.563,0.857,True
12,1.296,0.614,True
13,0.783,0.175,False
14,-0.404,0.015,False
15,-0.044,0.016,False
16,1.184,0.831,True
17,-0.546,0.348,False
18,1.561,0.908,True
19,-0.667,0.022,False
20,-0.295,0.015,False
21,0.143,0.352,False
22,-0.335,0.012,False
23,-0.557,0.017,False
24,1.607,0.763,True
25,0.876,0.17,True
26,1.718,0.508,True
27,-1.004,0.009,False
28,-0.491,0.007,False
29,1.247,0.806,True
30,1.714,0.95,True
