cluster,genes
0,"FMO5, ALOX15B, SDR16C5"
1,"KRT5, S100A2, KRT15"
2,"LYZ, SRGN, TYROBP"
3,"HLA-DRB5, CYB5A, KLK11"
4,"LCN2, WFDC2, BPIFB1"
5,"SERPINF1, BTF3, MGST1"
6,"TMEM190, CAPS, C1orf194"
7,"CETN2, TPPP3, C11orf88"
8,"SCGB3A2, NCOA7, SCGB1A1"
9,"DNAAF1, RP1, DNAH12"
10,"S100A10, TMSB4X, AGER"
11,"CLDN5, EPAS1, PECAM1"
12,"CD69, CXCR4, CORO1A"
13,"LAMP3, SFTPC, SFTPA1"
14,"SCG2, SCGN, BEX1"
15,"IGFBP2, KRT17, SOD3"
16,"RTKN2, LMO7, EMP2"
17,"CFAP74, CEP126, DYNLRB2"
18,"PIGR, SFTPB, MET"
19,"PAPSS2, HOPX, ANKRD29"
