leiden_cluster,n_cells,median_pct_mt,median_total_counts,median_n_genes,mean_doublet_score,n_samples_present,max_single_sample_fraction,dominant_sample
0,681,6.51547,13104.0,3437.0,0.07874721,3,0.4052863436123348,DD047Q
1,597,6.6782007,6906.0,2241.0,0.045698356,3,0.9698492462311558,DD046Q
10,576,5.9627414,1294.5,743.5,0.05102046,2,0.9982638888888888,DD046Q
11,477,4.512267,24838.0,4698.0,0.07236682,3,0.5324947589098532,DD073R
12,759,7.1844826,16886.0,4000.0,0.054088976,3,0.9828722002635046,DD046Q
13,728,5.7904835,897.5,456.0,0.025758583,3,0.6881868131868132,DD047Q
14,496,5.0129995,800.5,454.0,0.07549019,3,0.5423387096774194,DD046Q
15,739,5.0301814,933.0,488.0,0.0743269,3,0.7537212449255751,DD046Q
16,255,5.2827773,23462.0,4503.0,0.09167569,3,0.5254901960784314,DD073R
17,651,6.175144,13546.0,3569.0,0.05885738,3,0.9846390168970814,DD046Q
18,131,6.404353,1456.0,697.0,0.08199536,2,0.6412213740458015,DD046Q
19,432,7.4012947,3447.5,1207.5,0.029435001,3,0.4675925925925926,DD073R
2,1074,4.520632,9142.0,2617.0,0.036811884,3,0.9534450651769087,DD073R
20,310,5.7361827,10313.0,3326.0,0.08226559,3,0.6129032258064516,DD046Q
21,297,4.3356643,3136.0,1668.0,0.051648464,3,0.4612794612794613,DD047Q
22,512,7.8314466,5258.0,1792.5,0.029100234,3,0.671875,DD073R
23,205,3.8870893,5461.0,2232.0,0.06779301,3,0.3902439024390244,DD046Q
24,289,4.263566,837.0,494.0,0.066232264,3,0.4290657439446367,DD046Q
25,1169,5.875557,10080.0,3199.0,0.040205065,3,0.8451668092386655,DD073R
26,2052,7.162199,7710.5,3100.5,0.05071182,3,0.9702729044834308,DD047Q
27,214,9.967651,18595.5,4812.5,0.05113716,3,0.8598130841121495,DD073R
28,658,7.1397104,1818.5,1014.0,0.049537316,3,0.48936170212765956,DD047Q
29,472,6.8776455,2787.5,1304.0,0.046604306,3,0.7584745762711864,DD073R
3,1210,6.2009163,1122.5,677.0,0.0513404,3,0.9925619834710744,DD046Q
30,471,2.1001616,957.0,618.0,0.046922073,3,0.46284501061571126,DD047Q
31,235,9.205895,2724.0,1137.0,0.037422486,3,0.825531914893617,DD073R
32,1251,7.518892,8330.0,2506.0,0.053323515,3,0.9872102318145484,DD047Q
33,111,6.6961737,17442.0,3688.0,0.10499932,3,0.6666666666666666,DD047Q
34,873,4.6296296,1881.0,1129.0,0.030831326,3,0.6632302405498282,DD047Q
35,21,6.60802,17901.0,4779.0,0.11077162,2,0.8571428571428571,DD047Q
36,517,4.7420034,26668.0,5731.0,0.1378831,1,1.0,DD047Q
37,392,4.653554,1605.0,930.0,0.029831981,3,0.5255102040816326,DD047Q
38,1003,5.9278803,9156.0,3068.0,0.038816888,3,0.9700897308075773,DD073R
39,865,3.6269908,13154.0,3263.0,0.07138074,3,0.9780346820809248,DD047Q
4,1420,7.3384085,3617.0,1376.5,0.037770655,3,0.5464788732394367,DD046Q
40,499,5.7571115,8644.0,2873.0,0.0320905,2,0.6132264529058116,DD047Q
5,1854,6.165369,3489.5,1237.5,0.025221914,3,0.3651564185544768,DD073R
6,1661,6.5960913,2673.0,1271.0,0.0356562,3,0.8278145695364238,DD047Q
7,681,6.732673,762.0,483.0,0.060385346,3,0.5447870778267254,DD046Q
8,555,6.553208,9385.0,2872.0,0.04338786,3,0.809009009009009,DD073R
9,336,5.415619,9443.5,3159.5,0.06319586,2,0.9970238095238095,DD046Q
